prop_id	pid	role	role_desc
125	5711	leasegiver
125	5711	owner
125	5712	lateoccup
125	5713	leasetaker
126	5714	leasegiver
126	5715	leasegiver
126	5716	leasetaker
127	5717	assess
128	5718	recoverer
128	5719	recoverer
128	5720	recoverer
128	5721	recovervs
128	5722	recovervs
129	5723	quitclaimer
129	5724	quitclaimer
130	5725	quitowner
131	5726	quitpayer
131	5727	quitowner
132	5728	quitowner
132	5729	quitpayer
133	5730	tenant
135	5731	leasegiver
135	5732	leasetaker
136	5733	assess
137	5734	leasetaker
137	5735	leasetaker
138	5736	occupier
139	5737	occupier
140	5738	leasetaker
141	5739	occupier
142	7028	leasetaker
142	7028	occupier
143	7029	assess
144	7030	leasegiver
144	7031	leasetaker	
145	7032	leasegiver	
145	7033	leasetaker	
146	7035	occupier	occupant or tenant
146	7035	tenant	occupant or tenant
147	7037	occupier	
147	7039	leasetaker	
148	7040	occupier	
149	7041	grantee	
150	7042	rentpayer	
151	7043	rentpayer	
152	7044	rentpayer	
153	7045	rentpayer	
154	7046	rentpayer	
155	7047	leasetaker	
156	7048	rentpayer	
157	7049	petition	request for new lease
158	7050	leasegiver	
158	7051	leasegiver	
158	7051	leasetaker	
158	7052	leasetaker	
159	7053	rentpayer	
160	7054	assess	
161	7055	assess	
162	7056	assess	
163	7057	assess	
164	7058	rentpayer	
164	7059	lateowner	
165	7060	rentpayer	
165	7061	rentpayer	
166	7062	petition	
166	7062	tenant	
166	7063	petition
166	7063	tenant
167	7064	leasegiver
167	7065	leasetaker
167	7066	leasetaker
169	7067	rentpayer
170	7068	assess
170	7068	occupier
171	7069	assess
171	7069	occupier
172	7070	leasegiver
172	7071	leasetaker
173	7070	leasegiver
173	7071	leasetaker
174	7072	assess
174	7072	occupier
175	7073	assess
175	7073	occupier
176	7074	assess
176	7074	occupier
177	7075	rentpayer
177	7076	rentpayer
178	7075	rentpayer
178	7076	rentpayer
179	7077	leasegiver
179	7078	leasetaker
180	7079	leasegiver
180	7079	rebuilder
180	7080	lateoccup
180	7081	leasetaker
181	7083	leasegiver
181	7084	leasetaker
182	7085	leasegiver	
182	7086	occupier	
182	7087	leasetaker	
183	7088	granter	
183	7089	leasegiver	
183	7090	grantee	
184	7091	granter	
184	7092	grantee	
184	7093	leaseholder	
185	7094	tenant	late tenant
185	7095	owner	
185	7095	tenant	
186	7077	assess	
186	7077	occupier	
187	7098	assess	
187	7098	occupier	
188	7099	granter	
188	7100	grantee	
189	7101	assess	
189	7101	occupier	
190	7102	assess	
190	7102	occupier	
191	7103	leasetaker	agreements made including extension of terms
191	7103	seller	release of term to City
191	7104	leasetaker	agreements made including extension of terms
191	7105	leasegiver	agreements made including extension of terms
192	7106	lateoccup	
192	7107	grantee	
192	7107	tenant	
192	7108	granter	
193	7109	leasetaker	
193	7110	neighbour	
193	7111	neighbour
194	7112	owner
195	7113	leaseholder
195	7114	leaseholder
196	7115	leasegiver
196	7116	leasetaker
196	7117	tenant
197	7119	rentpayer
197	7120	rentpayer
199	7121	grantee
201	7122	assess
201	7122	occupier
202	7123	subtenant
203	7124	quitpayer
203	7125	quitpayer
203	7126	freeholder
204	7127	occupier	
205	7128	occupier	
206	7129	occupier	
207	7130	buyer	
207	7130	petition	
208	7131	seller	
208	7132	seller	
208	7133	buyer	
208	7134	occupier	now or late occupied
208	7135	occupier	
208	7136	lateoccup	formerly occupied by
208	7137	lateoccup	formerly occupied by
209	7138	granter	inheritance
209	7139	grantee	inheritance
210	7141	seller	
210	7142	buyer	
211	7143	assess	
211	7143	occupier	
211	7144	assess	
211	7144	occupier	
212	7145	granter	inheritance
212	7146	grantee	inheritance
212	7147	grantee	inheritance
212	7148	grantee	inheritance
212	7149	grantee	inheritance
214	7150	assess	
214	7150	occupier	
214	7151	assess	
214	7151	occupier	
215	7152	assess	
215	7152	occupier	
215	7153	assess	
215	7153	occupier	
216	7154	granter	presumably a bequest of the tenancy to pid7155?
216	7154	tenant	
216	7155	grantee	presumably a bequest of the tenancy to pid7155?
216	7155	tenant	
217	7156	occupier	
217	7157	occupier	
217	7158	occupier	
218	7159	occupier	
218	7160	occupier	
219	7161	occupier	
220	7162	seller	
220	7163	seller	
220	7164	lateowner	probably late owner - possibly late occupier
220	7165	buyer	
220	7166	grantee	conveyed to as part of assurance
220	7167	grantee	conveyed to as part of assurance
220	7168	grantee	conveyed to as part of assurance
221	7169	recoverer	
221	7170	recoverer	
221	7171	recovervs	
221	7172	recovervs	
221	7173	recovervs	called to warrant by the recovervs party
222	7174	grantee	
222	7174	granter	
222	7175	grantee	
222	7175	granter	
222	7176	lateowner	had held the tenements by previous grant
222	7177	grantee	
222	7177	lateowner	had made the initial grant
222	7178	grantee	
223	7179	granter	test bequest
223	7180	grantee	test recip
223	7181	grantee	test recip
224	7182	lateoccup	
225	7183	buyer	
225	7183	rentpayer	
225	7183	seller	
225	7184	owner	owner of a rent due on 11/8a
225	7185	buyer	
227	7188	occupier	possibly an occupier
227	7189	occupier	
227	7190	occupier	
228	7191	owner	
228	7192	occupier	
229	7193	leasetaker	
229	7194	occupier	
230	7195	leasetaker	extension to lease
231	7196	owner	disputed owner
231	7197	owner	disputed owner
231	7198	tenant	
232	13908	leasegiver	
232	13909	leasetaker	
232	13910	occupier	occupier of 11/8A2
232	13911	lateoccup	late occupier of 11/8A3
233	13912	leaseholder	
233	13912	petition	
233	13913	owner	
234	13914	occupier	
234	13914	rentpayer	
235	7106	lateoccup	
235	7107	grantee	
235	7107	tenant	
235	7108	granter	
236	7109	leasetaker	
236	7110	neighbour	
236	7111	neighbour	
237	7162	seller	
237	7163	seller	
237	7164	lateowner	probably late owner - possibly late occupier
237	7165	buyer	
237	7166	grantee	conveyed to as part of assurance
237	7167	grantee	conveyed to as part of assurance
237	7168	grantee	conveyed to as part of assurance
238	7162	seller	
238	7163	seller	
238	7164	lateowner	probably late owner - possibly late occupier
238	7165	buyer	
238	7166	grantee	conveyed to as part of assurance
238	7167	grantee	conveyed to as part of assurance
238	7168	grantee	conveyed to as part of assurance
239	7162	seller	
239	7163	seller	
239	7164	lateowner	probably late owner - possibly late occupier
239	7165	buyer	
239	7166	grantee	conveyed to as part of assurance
239	7167	grantee	conveyed to as part of assurance
239	7168	grantee	conveyed to as part of assurance
240	7169	recoverer	
240	7170	recoverer	
240	7171	recovervs	
240	7172	recovervs	
240	7173	recovervs	called to warrant by the recovervs party
241	7169	recoverer	
241	7170	recoverer	
241	7171	recovervs	
241	7172	recovervs	
241	7173	recovervs	called to warrant by the recovervs party
242	7169	recoverer	
242	7170	recoverer	
242	7171	recovervs	
242	7172	recovervs	
242	7173	recovervs	called to warrant by the recovervs party
243	7174	grantee	
243	7174	granter	
243	7175	grantee	
243	7175	granter	
243	7176	lateowner	had held the tenements by previous grant
243	7177	grantee	
243	7177	lateowner	had made the initial grant
243	7178	grantee	
244	7174	grantee	
244	7174	granter	
244	7175	grantee	
244	7175	granter	
244	7176	lateowner	had held the tenements by previous grant
244	7177	grantee	
244	7177	lateowner	had made the initial grant
244	7178	grantee	
245	7174	grantee	
245	7174	granter	
245	7175	grantee	
245	7175	granter	
245	7176	lateowner	had held the tenements by previous grant
245	7177	grantee	
245	7177	lateowner	had made the initial grant
245	7178	grantee	
246	7179	granter	test bequest
246	7180	grantee	test recip
246	7181	grantee	test recip
247	7179	granter	test bequest
247	7180	grantee	test recip
247	7181	grantee	test recip
248	7179	granter	test bequest
248	7180	grantee	test recip
248	7181	grantee	test recip
249	7182	lateoccup	
250	7182	lateoccup	
251	7182	lateoccup	
252	7193	leasetaker	
252	7194	occupier	
253	7193	leasetaker	
253	7194	occupier	
254	7195	leasetaker	extension to lease
255	7195	leasetaker	extension to lease
256	13908	leasegiver	
256	13909	leasetaker	
256	13910	occupier	occupier of 11/8A2
256	13911	lateoccup	late occupier of 11/8A3
257	13908	leasegiver	
257	13909	leasetaker	
257	13910	occupier	occupier of 11/8A2
257	13911	lateoccup	late occupier of 11/8A3
258	13912	leaseholder	
258	13912	petition	
258	13913	owner	
259	13912	leaseholder	
259	13912	petition	
259	13913	owner	
260	13914	occupier	
260	13914	rentpayer	
261	13914	occupier	
261	13914	rentpayer	
262	13914	occupier	
262	13914	rentpayer	
263	13915	leasegiver	
263	13916	occupier	
263	13917	leasetaker	
263	13918	occupier	later occupier
264	13915	leasegiver	
264	13916	occupier	
264	13917	leasetaker	
264	13918	occupier	later occupier
265	13919	granter	
265	13920	grantee	
265	13920	rentpayer	
266	13921	leasegiver	
266	13922	leasetaker	
266	13922	occupier	
266	13922	rentpayer	
267	13923	lateoccup	
267	13924	leasetaker	
267	13925	leasegiver	
268	13926	leasetaker	
268	13926	petition	asked for new lease - got it 1630
268	13927	leasegiver	
268	13927	surveyor	conducted a view/valuation
268	13928	neighbour	
268	13929	neighbour	
269	13926	leasetaker	
269	13926	petition	asked for new lease - got it 1630
269	13927	leasegiver	
269	13927	surveyor	conducted a view/valuation
269	13928	neighbour	
269	13929	neighbour	
270	13926	leasetaker	
270	13926	petition	asked for new lease - got it 1630
270	13927	leasegiver	
270	13927	surveyor	conducted a view/valuation
270	13928	neighbour	
270	13929	neighbour	
271	13926	leasetaker	
271	13926	petition	asked for new lease - got it 1630
271	13927	leasegiver	
271	13927	surveyor	conducted a view/valuation
271	13928	neighbour	
271	13929	neighbour	
272	13926	leasetaker	
272	13926	petition	asked for new lease - got it 1630
272	13927	leasegiver	
272	13927	surveyor	conducted a view/valuation
272	13928	neighbour	
272	13929	neighbour	
273	13930	rentpayer	
274	13931	rentpayer	
274	13932	rentpayer	
275	13933	occupier	
276	13934	leasetaker	
276	13934	occupier	
276	13935	lateoccup	dead leaseholder
277	13936	granter	bequest of lease
277	13937	grantee	test recipient of lease
277	13938	grantee	test recipient of lease in reversion
278	13939	occupier	
279	13940	occupier
280	13941	leaseholder
281	13942	owner
281	13943	occupier
282	13944	buyer
282	13944	leasetaker
282	13944	petition
282	13946	seller
282	13947	leasegiver
283	13944	buyer
283	13944	leasetaker
283	13944	petition
283	13946	seller
283	13947	leasegiver
284	13944	buyer
284	13944	leasetaker
284	13944	petition	
284	13946	seller	
284	13947	leasegiver	
285	13948	occupier	
286	13949	occupier	
287	13950	occupier	
288	13951	leasetaker	
289	13951	leasetaker	
290	13952	occupier	
290	13953	subtenant	
291	13952	occupier	
291	13953	subtenant	
292	13954	leaseholder	lease expired 1605
292	13955	rentpayer	
293	13954	leaseholder	lease expired 1605
293	13955	rentpayer	
294	13956	leasetaker	
295	13957	lateoccup	
295	13958	granter	
295	13959	grantee	
295	13959	leasetaker	
296	13960	petition	
296	13961	petition	
296	13962	petition	
296	13963	owner	
299	13964	petition	"petitioned for new lease, offered one, refused"
299	13965	leasetaker	took the new lease
299	13966	leasegiver	
300	13967	rentpayer	
301	13968	occupier	
302	13969	dispute	
302	13969	leasetaker	
302	13970	dispute
302	13970	leasegiver
304	13973	rentpayer
305	13975	occupier
306	13976	leasetaker
307	13977	rentpayer
308	13978	occupier
309	13979	occupier
310	13980	granter
310	13980	leasetaker
310	13981	grantee
310	13981	leasetaker
311	13980	granter
311	13980	leasetaker
311	13981	grantee
311	13981	leasetaker
312	13982	occupier
313	13985	occupier
314	13986	leasetaker
314	13987	occupier
315	13988	lateoccup
316	13989	lateoccup
316	13990	rentpayer
317	13991	granter
317	13992	leasegiver
317	13993	leasetaker
317	13994	occupier
318	13995	rentpayer
319	13996	leasetaker
319	13996	petition
319	13998	leasegiver
319	13999	leasetaker
320	13996	leasetaker
320	13996	petition
320	13998	leasegiver
320	13999	leasetaker
321	13996	leasetaker
321	13996	petition
321	13998	leasegiver
321	13999	leasetaker
322	14000	lateoccup
322	14001	leasetaker
322	14001	rentpayer
322	14002	leasetaker
322	14002	rentpayer
323	14003	rentpayer
324	14004	occupier
325	14005	leasetaker
325	14005	petition	
326	14006	petition	
327	14008	leasetaker	extension to existing lease
327	14008	petition	
328	14009	rentpayer	
329	14010	rentpayer	
330	14011	occupier	
331	14012	occupier	
332	14013	leasetaker	extension to existing lease
332	14013	petition	
332	14014	leasetaker	extension to existing lease
333	14015	alienate	
333	14016	grantee	
335	14017	occupier	of propid335
336	14017	occupier	of propid335
337	14018	dispute	
337	14018	tenant	
337	14019	dispute	
337	14019	leaseholder	
337	14020	dispute	
337	14021	dispute	
337	14022	lateoccup	late tenant
338	14023	occupier	
339	14024	dispute	
339	14024	occupier	
339	14025	dispute	
339	14025	neighbour	
340	14026	occupier	
341	14024	dispute	
341	14024	occupier	
341	14025	dispute	
341	14025	neighbour	
342	14027	rentpayer
343	14028	leasetaker
343	14028	petition
343	14029	petition
343	14030	lateoccup
344	14031	rentpayer
345	14032	rentpayer
346	14033	granter
346	14034	grantee
347	14035	subletter
347	14036	subtenant
348	14037	granter
348	14038	grantee
348	14038	granter
348	14038	rentpayer
348	14039	grantee
349	14040	leasetaker
349	14040	occupier
350	14041	grantee
350	14041	subletter
