event_id	event_date	parish	event	unrelated_memo	marriage_authorisation	licence_issuer	memo	marriage_location	reg_order_num
170	1/10/1556 00:00:00	All Hallows Honey Lane	Burial						70000
171	15/4/1557 00:00:00	All Hallows Honey Lane	Burial						71000
172	29/5/1557 00:00:00	All Hallows Honey Lane	Burial						72000
173	30/4/1558 00:00:00	All Hallows Honey Lane	Burial						73000
174	3/5/1558 00:00:00	All Hallows Honey Lane	Burial						74000
175	10/5/1558 00:00:00	All Hallows Honey Lane	Burial						75000
176	4/7/1558 00:00:00	All Hallows Honey Lane	Burial						76000
177	2/8/1558 00:00:00	All Hallows Honey Lane	Burial						77000
178	23/8/1558 00:00:00	All Hallows Honey Lane	Burial	"The Partchment Booke Began heere HR comment: ""This Parchment Register cannot now be traced"""					78000
179	7/12/1558 00:00:00	All Hallows Honey Lane	Burial						79000
180	26/11/1559 00:00:00	All Hallows Honey Lane	Burial				Entries for 1559-1561 are in a very mixed-up order; perhaps the dating is incorrect (i.e. a confusion between old and new style dating) but there is no obvious solution.		80000
181	30/1/1559 00:00:00	All Hallows Honey Lane	Burial						81000
182	8/9/1559 00:00:00	All Hallows Honey Lane	Burial						82000
183	26/9/1559 00:00:00	All Hallows Honey Lane	Burial						83000
184	20/12/1559 00:00:00	All Hallows Honey Lane	Burial						84000
185	6/1/1560 00:00:00	All Hallows Honey Lane	Burial						85000
186	18/6/1560 00:00:00	All Hallows Honey Lane	Burial						86000
187	3/7/1561 00:00:00	All Hallows Honey Lane	Burial						87000
188	18/12/1561 00:00:00	All Hallows Honey Lane	Burial						88000
189	18/12/1561 00:00:00	All Hallows Honey Lane	Burial						89000
190	27/10/1561 00:00:00	All Hallows Honey Lane	Burial						90000
191	15/5/1562 00:00:00	All Hallows Honey Lane	Burial						91000
192	3/2/1562 00:00:00	All Hallows Honey Lane	Burial						92000
193	18/4/1563 00:00:00	All Hallows Honey Lane	Burial						93000
194	27/8/1563 00:00:00	All Hallows Honey Lane	Burial						94000
195	4/9/1563 00:00:00	All Hallows Honey Lane	Burial						95000
196	5/9/1563 00:00:00	All Hallows Honey Lane	Burial						96000
197	6/9/1563 00:00:00	All Hallows Honey Lane	Burial						97000
198	8/9/1563 00:00:00	All Hallows Honey Lane	Burial						98000
199	10/9/1563 00:00:00	All Hallows Honey Lane	Burial						99000
200	14/9/1563 00:00:00	All Hallows Honey Lane	Burial						100000
201	20/9/1563 00:00:00	All Hallows Honey Lane	Burial						101000
202	27/9/1563 00:00:00	All Hallows Honey Lane	Burial						102000
203	30/9/1563 00:00:00	All Hallows Honey Lane	Burial						103000
204	3/10/1563 00:00:00	All Hallows Honey Lane	Burial						104000
205	9/10/1563 00:00:00	All Hallows Honey Lane	Burial						105000
206	15/10/1563 00:00:00	All Hallows Honey Lane	Burial						106000
207	20/10/1563 00:00:00	All Hallows Honey Lane	Burial						107000
208	24/10/1563 00:00:00	All Hallows Honey Lane	Burial						108000
209	28/10/1563 00:00:00	All Hallows Honey Lane	Burial						109000
210	30/10/1563 00:00:00	All Hallows Honey Lane	Burial						110000
211	6/11/1563 00:00:00	All Hallows Honey Lane	Burial						111000
212	8/11/1563 00:00:00	All Hallows Honey Lane	Burial						112000
213	10/11/1563 00:00:00	All Hallows Honey Lane	Burial						113000
214	16/11/1563 00:00:00	All Hallows Honey Lane	Burial						114000
215	9/12/1563 00:00:00	All Hallows Honey Lane	Burial						115000
216	20/12/1563 00:00:00	All Hallows Honey Lane	Burial						116000
217	15/4/1564 00:00:00	All Hallows Honey Lane	Burial	"HR ""The writing of the transcript ends with this entry"""					117000
218	11/4/1565 00:00:00	All Hallows Honey Lane	Burial						118000
219	5/5/1565 00:00:00	All Hallows Honey Lane	Burial						119000
220	6/4/1566 00:00:00	All Hallows Honey Lane	Burial						120000
221	9/5/1566 00:00:00	All Hallows Honey Lane	Burial						121000
222	12/5/1566 00:00:00	All Hallows Honey Lane	Burial						122000
223	7/6/1566 00:00:00	All Hallows Honey Lane	Burial						123000
224	16/6/1566 00:00:00	All Hallows Honey Lane	Burial						124000
225	3/1/1566 00:00:00	All Hallows Honey Lane	Burial						125000
226	22/5/1567 00:00:00	All Hallows Honey Lane	Burial						126000
227	11/9/1567 00:00:00	All Hallows Honey Lane	Burial				imputed birth		127000
229	13/4/1568 00:00:00	All Hallows Honey Lane	Burial	"HR:""these two entries are written by the same hand as the other entries on a piece of paper pasted over two cancelled entries"""					128000
230	30/7/1568 00:00:00	All Hallows Honey Lane	Burial	"HR:""these two entries are written by the same hand as the other entries on a piece of paper pasted over two cancelled entries"""					129000
231	5/8/1568 00:00:00	All Hallows Honey Lane	Burial						130000
232	25/8/1568 00:00:00	All Hallows Honey Lane	Burial						131000
233	24/3/1569 00:00:00	All Hallows Honey Lane	Burial				Date: should be 1568 old style		132000
234	20/7/1569 00:00:00	All Hallows Honey Lane	Burial						133000
235	31/8/1569 00:00:00	All Hallows Honey Lane	Burial						134000
236	22/9/1569 00:00:00	All Hallows Honey Lane	Burial						135000
237	5/11/1569 00:00:00	All Hallows Honey Lane	Burial						136000
238	19/11/1569 00:00:00	All Hallows Honey Lane	Burial						137000
239	3/8/1570 00:00:00	All Hallows Honey Lane	Burial						138000
240	22/8/1570 00:00:00	All Hallows Honey Lane	Burial						139000
241	22/9/1570 00:00:00	All Hallows Honey Lane	Burial						140000
242	20/10/1570 00:00:00	All Hallows Honey Lane	Burial						141000
243	12/1/1570 00:00:00	All Hallows Honey Lane	Burial						142000
244	9/4/1571 00:00:00	All Hallows Honey Lane	Burial						143000
245	11/4/1571 00:00:00	All Hallows Honey Lane	Burial						144000
246	30/6/1571 00:00:00	All Hallows Honey Lane	Burial						145000
247	10/7/1571 00:00:00	All Hallows Honey Lane	Burial						146000
248	17/10/1572 00:00:00	All Hallows Honey Lane	Burial						147000
249	23/8/1573 00:00:00	All Hallows Honey Lane	Burial						148000
250	14/12/1573 00:00:00	All Hallows Honey Lane	Burial						149000
251	28/4/1574 00:00:00	All Hallows Honey Lane	Burial						150000
252	19/5/1574 00:00:00	All Hallows Honey Lane	Burial						151000
253	5/6/1574 00:00:00	All Hallows Honey Lane	Burial						152000
254	29/4/1575 00:00:00	All Hallows Honey Lane	Burial						153000
255	4/6/1575 00:00:00	All Hallows Honey Lane	Burial						154000
256	5/8/1575 00:00:00	All Hallows Honey Lane	Burial						155000
257	15/8/1575 00:00:00	All Hallows Honey Lane	Burial						156000
258	6/11/1575 00:00:00	All Hallows Honey Lane	Burial						157000
259	20/12/1575 00:00:00	All Hallows Honey Lane	Burial						158000
260	27/4/1576 00:00:00	All Hallows Honey Lane	Burial						159000
261	5/5/1576 00:00:00	All Hallows Honey Lane	Burial						160000
262	8/5/1576 00:00:00	All Hallows Honey Lane	Burial						161000
263	10/6/1576 00:00:00	All Hallows Honey Lane	Burial						162000
264	3/8/1576 00:00:00	All Hallows Honey Lane	Burial						163000
265	6/8/1577 00:00:00	All Hallows Honey Lane	Burial						164000
266	14/8/1577 00:00:00	All Hallows Honey Lane	Burial						165000
267	30/4/1578 00:00:00	All Hallows Honey Lane	Burial						166000
268	8/9/1578 00:00:00	All Hallows Honey Lane	Burial						167000
269	10/9/1578 00:00:00	All Hallows Honey Lane	Burial						168000
270	11/9/1578 00:00:00	All Hallows Honey Lane	Burial						169000
271	2/11/1578 00:00:00	All Hallows Honey Lane	Burial						170000
272	23/3/1578 00:00:00	All Hallows Honey Lane	Burial						171000
273	1/9/1579 00:00:00	All Hallows Honey Lane	Burial				imputed birth		172000
275	14/11/1579 00:00:00	All Hallows Honey Lane	Burial						173000
276	18/10/1580 00:00:00	All Hallows Honey Lane	Burial						174000
277	30/10/1580 00:00:00	All Hallows Honey Lane	Burial						175000
278	24/1/1580 00:00:00	All Hallows Honey Lane	Burial						176000
279	27/7/1581 00:00:00	All Hallows Honey Lane	Burial						177000
280	17/2/1581 00:00:00	All Hallows Honey Lane	Burial						178000
281	14/8/1582 00:00:00	All Hallows Honey Lane	Burial						179000
282	14/8/1582 00:00:00	All Hallows Honey Lane	Burial						180000
283	6/10/1582 00:00:00	All Hallows Honey Lane	Burial						181000
284	30/11/1582 00:00:00	All Hallows Honey Lane	Burial				"date given as Nov 31 1582, but next two dates are 14 and 26 Nov"		182000
285	14/11/1582 00:00:00	All Hallows Honey Lane	Burial						183000
286	26/11/1582 00:00:00	All Hallows Honey Lane	Burial						184000
287	17/12/1582 00:00:00	All Hallows Honey Lane	Burial						185000
288	1/2/1582 00:00:00	All Hallows Honey Lane	Burial				"HR: ""against this entry appears ""RC"" in capitals, possibly the initials of the Rector, Richard Caser"""		186000
289	4/5/1583 00:00:00	All Hallows Honey Lane	Burial						187000
290	7/5/1583 00:00:00	All Hallows Honey Lane	Burial						188000
291	24/6/1583 00:00:00	All Hallows Honey Lane	Burial						189000
292	8/7/1583 00:00:00	All Hallows Honey Lane	Burial						190000
293	12/7/1583 00:00:00	All Hallows Honey Lane	Burial						191000
294	1/10/1583 00:00:00	All Hallows Honey Lane	Burial						192000
295	27/10/1583 00:00:00	All Hallows Honey Lane	Burial						193000
296	13/10/1584 00:00:00	All Hallows Honey Lane	Burial						194000
297	14/11/1584 00:00:00	All Hallows Honey Lane	Burial						195000
298	1/6/1585 00:00:00	All Hallows Honey Lane	Burial						196000
299	4/8/1585 00:00:00	All Hallows Honey Lane	Burial						197000
300	1/1/1585 00:00:00	All Hallows Honey Lane	Burial						198000
301	28/3/1586 00:00:00	All Hallows Honey Lane	Burial						199000
302	21/4/1586 00:00:00	All Hallows Honey Lane	Burial						200000
303	7/11/1586 00:00:00	All Hallows Honey Lane	Burial						201000
304	13/1/1586 00:00:00	All Hallows Honey Lane	Burial						202000
305	24/5/1587 00:00:00	All Hallows Honey Lane	Burial						203000
306	2/10/1587 00:00:00	All Hallows Honey Lane	Burial						204000
307	28/10/1587 00:00:00	All Hallows Honey Lane	Burial				HR gets surname wrong and  omits burial date		205000
308	4/5/1588 00:00:00	All Hallows Honey Lane	Burial						206000
309	11/5/1588 00:00:00	All Hallows Honey Lane	Burial						207000
310	10/5/1589 00:00:00	All Hallows Honey Lane	Burial						208000
311	26/5/1589 00:00:00	All Hallows Honey Lane	Burial						209000
312	19/9/1589 00:00:00	All Hallows Honey Lane	Burial						210000
313	16/10/1589 00:00:00	All Hallows Honey Lane	Burial						211000
314	18/10/1589 00:00:00	All Hallows Honey Lane	Burial						212000
315	6/11/1590 00:00:00	All Hallows Honey Lane	Burial						213000
316	4/3/1590 00:00:00	All Hallows Honey Lane	Burial						214000
317	28/7/1591 00:00:00	All Hallows Honey Lane	Burial						215000
318	16/10/1591 00:00:00	All Hallows Honey Lane	Burial						216000
319	7/1/1591 00:00:00	All Hallows Honey Lane	Burial						217000
320	15/4/1592 00:00:00	All Hallows Honey Lane	Burial						218000
321	4/8/1592 00:00:00	All Hallows Honey Lane	Burial						219000
322	19/8/1592 00:00:00	All Hallows Honey Lane	Burial						220000
323	10/10/1592 00:00:00	All Hallows Honey Lane	Burial						221000
324	16/10/1592 00:00:00	All Hallows Honey Lane	Burial						222000
325	16/10/1592 00:00:00	All Hallows Honey Lane	Burial						223000
326	7/11/1592 00:00:00	All Hallows Honey Lane	Burial						224000
327	5/4/1593 00:00:00	All Hallows Honey Lane	Burial						225000
328	16/4/1593 00:00:00	All Hallows Honey Lane	Burial						226000
329	13/9/1593 00:00:00	All Hallows Honey Lane	Burial						227000
330	22/9/1593 00:00:00	All Hallows Honey Lane	Burial	I haue bene clarke fro[-] Christmas after			Interlined.  HR omits date		228000
331	7/10/1593 00:00:00	All Hallows Honey Lane	Burial						229000
332	18/10/1593 00:00:00	All Hallows Honey Lane	Burial						230000
333	12/11/1593 00:00:00	All Hallows Honey Lane	Burial						231000
334	22/8/1594 00:00:00	All Hallows Honey Lane	Burial						232000
335	22/11/1594 00:00:00	All Hallows Honey Lane	Burial						233000
336	22/11/1594 00:00:00	All Hallows Honey Lane	Burial						234000
337	22/2/1594 00:00:00	All Hallows Honey Lane	Burial	fro[-] this place vnto Tho. Evens are refistered in an other booke of p[_]chment bought January 11 Ao Domini 1594 HR: Tho Evens bur. 1 May 1598; this parchment register cannot now be traced. Interlined.					235000
338	13/5/1595 00:00:00	All Hallows Honey Lane	Burial				Date: HR has March		236000
339	30/3/1596 00:00:00	All Hallows Honey Lane	Burial						237000
340	9/5/1596 00:00:00	All Hallows Honey Lane	Burial						238000
341	6/6/1596 00:00:00	All Hallows Honey Lane	Burial						239000
342	8/8/1596 00:00:00	All Hallows Honey Lane	Burial						240000
343	27/8/1596 00:00:00	All Hallows Honey Lane	Burial						241000
344	4/9/1596 00:00:00	All Hallows Honey Lane	Burial				interlined		242000
345	13/2/1596 00:00:00	All Hallows Honey Lane	Burial						243000
346	27/3/1596 00:00:00	All Hallows Honey Lane	Burial				Presumably should be 1597 old style		244000
347	24/4/1597 00:00:00	All Hallows Honey Lane	Burial						245000
348	19/5/1597 00:00:00	All Hallows Honey Lane	Burial						246000
349	24/5/1597 00:00:00	All Hallows Honey Lane	Burial						247000
350	2/9/1597 00:00:00	All Hallows Honey Lane	Burial						248000
351	4/9/1597 00:00:00	All Hallows Honey Lane	Burial						249000
352	29/9/1597 00:00:00	All Hallows Honey Lane	Burial						250000
353	6/1/1597 00:00:00	All Hallows Honey Lane	Burial				"HR: ""here follow two cancelled entries of the above two burials; in the second one Mr V. N. is stated to be bur. in the newe church yeard"""		251000
354	11/1/1597 00:00:00	All Hallows Honey Lane	Burial				"HR: ""here follow two cancelled entries of the above two burials; in the second one Mr V. N. is stated to be bur. in the newe church yeard"""		252000
355	1/5/1598 00:00:00	All Hallows Honey Lane	Burial						253000
356	9/5/1598 00:00:00	All Hallows Honey Lane	Burial						254000
357	26/9/1598 00:00:00	All Hallows Honey Lane	Burial						255000
358	7/10/1598 00:00:00	All Hallows Honey Lane	Burial						256000
359	10/1/1598 00:00:00	All Hallows Honey Lane	Burial						257000
360	25/4/1599 00:00:00	All Hallows Honey Lane	Burial						258000
361	3/9/1599 00:00:00	All Hallows Honey Lane	Burial						259000
362	27/9/1599 00:00:00	All Hallows Honey Lane	Burial						260000
363	4/10/1599 00:00:00	All Hallows Honey Lane	Burial						261000
364	22/4/1600 00:00:00	All Hallows Honey Lane	Burial				imputed birth		262000
366	26/4/1600 00:00:00	All Hallows Honey Lane	Burial						263000
367	31/5/1600 00:00:00	All Hallows Honey Lane	Burial						264000
368	24/6/1600 00:00:00	All Hallows Honey Lane	Burial				entry order wrong: for John Collyns see event id 390		265000
369	9/8/1600 00:00:00	All Hallows Honey Lane	Burial						266000
370	26/8/1600 00:00:00	All Hallows Honey Lane	Burial				"imputed birth. ""he had ye same day 6s 10d / 2 of Sep 3s 4d / & 5 Sep 10 s of ye p[_]ishioners to co[-]fort himselfe & his wife"		267000
372	28/10/1600 00:00:00	All Hallows Honey Lane	Burial						268000
373	1/9/1601 00:00:00	All Hallows Honey Lane	Burial						269000
374	3/9/1601 00:00:00	All Hallows Honey Lane	Burial						270000
375	21/9/1601 00:00:00	All Hallows Honey Lane	Burial						271000
376	16/11/1601 00:00:00	All Hallows Honey Lane	Burial						272000
377	23/2/1601 00:00:00	All Hallows Honey Lane	Burial				Date: HR has Nov 16		273000
378	13/5/1602 00:00:00	All Hallows Honey Lane	Burial						274000
379	12/6/1602 00:00:00	All Hallows Honey Lane	Burial						275000
380	22/6/1602 00:00:00	All Hallows Honey Lane	Burial						276000
381	29/7/1602 00:00:00	All Hallows Honey Lane	Burial						277000
382	30/7/1602 00:00:00	All Hallows Honey Lane	Burial						278000
383	2/11/1602 00:00:00	All Hallows Honey Lane	Burial						279000
384	12/1/1602 00:00:00	All Hallows Honey Lane	Burial						280000
385	21/2/1602 00:00:00	All Hallows Honey Lane	Burial						281000
386	14/4/1603 00:00:00	All Hallows Honey Lane	Burial						282000
387	20/7/1603 00:00:00	All Hallows Honey Lane	Burial						283000
388	31/7/1603 00:00:00	All Hallows Honey Lane	Burial						284000
389	15/8/1603 00:00:00	All Hallows Honey Lane	Burial						285000
390	24/6/1600 00:00:00	All Hallows Honey Lane	Burial				"interlined, entry order wrong: should be after event id 368"		265001
391	12/5/1540 00:00:00	All Hallows Honey Lane	Baptism						287000
392	1/8/1540 00:00:00	All Hallows Honey Lane	Baptism						288000
393	1/10/1540 00:00:00	All Hallows Honey Lane	Baptism						289000
394	1/10/1540 00:00:00	All Hallows Honey Lane	Baptism						290000
395	29/1/1540 00:00:00	All Hallows Honey Lane	Baptism						291000
396	19/2/1540 00:00:00	All Hallows Honey Lane	Baptism						292000
397	9/4/1541 00:00:00	All Hallows Honey Lane	Baptism						293000
398	22/4/1541 00:00:00	All Hallows Honey Lane	Baptism						294000
399	11/5/1541 00:00:00	All Hallows Honey Lane	Baptism						295000
400	19/8/1541 00:00:00	All Hallows Honey Lane	Baptism						296000
401	22/8/1541 00:00:00	All Hallows Honey Lane	Baptism						297000
402	23/1/1541 00:00:00	All Hallows Honey Lane	Baptism						298000
403	7/2/1541 00:00:00	All Hallows Honey Lane	Baptism						299000
404	24/3/1542 00:00:00	All Hallows Honey Lane	Baptism				Date: from order of reg likely that this should be 1541 old style		300000
