ind_role_id	pid	role
867	561	servant
868	562	mention
869	563	recip
870	564	recip
871	565	recip
872	566	recip
873	567	recip
874	568	recip
875	568	super
876	568	servant
877	569	recip
878	569	servant
879	570	recip
880	570	servant
881	571	recip
882	571	servant
883	572	recip
884	572	servant
885	573	recip
886	573	servant
887	574	recip
888	574	debtor
889	575	recip
890	575	debtor
891	576	recip
892	577	recip
893	578	recip
894	578	religofficer
895	579	recip
896	579	family
897	580	family
898	581	recip
899	581	family
900	582	business
901	583	business
902	584	business
903	585	business
904	586	business
905	587	business
906	588	wit
907	589	wit
908	590	wit
909	591	test
910	592	creditor
911	592	friend
912	593	creditor
913	593	friend
914	594	creditor
915	594	friend
916	595	recip
917	595	creditor
918	595	friend
919	595	super
920	596	family
921	597	family
922	598	family
923	599	family
924	600	recip
925	601	recip
926	602	recip
927	603	recip
928	604	recip
929	605	recip
930	606	recip
931	607	recip
932	608	recip
933	609	recip
934	610	recip
935	611	recip
936	612	recip
937	613	recip
938	614	secofficer
939	615	secofficer
940	616	secofficer
941	617	recip
942	617	exec
943	617	family
944	617	secofficer
945	618	recip
946	619	mention
947	620	recip
948	621	recip
949	622	recip
950	623	recip
951	624	recip
952	625	recip
953	626	recip
954	626	friend
955	626	super
956	627	recip
957	627	friend
958	627	super
959	628	recip
960	629	recip
961	630	recip
962	630	family
963	631	recip
964	631	family
965	632	recip
966	633	recip
967	633	family
968	634	recip
969	635	wit
970	636	wit
971	637	wit
972	638	test
973	639	recip
974	639	family
975	640	recip
976	640	servant
977	641	recip
978	641	family
979	642	recip
980	642	family
981	643	recip
982	643	family
983	644	family
984	645	recip
985	645	family
986	646	recip
987	647	recip
988	648	recip
989	649	recip
990	650	recip
991	651	recip
992	652	recip
993	653	recip
994	654	recip
995	655	recip
996	655	family
997	656	recip
998	656	exec
999	656	family
1000	657	recip
1001	657	friend
1002	657	super
1003	658	recip
1004	658	friend
1005	658	super
1006	659	recip
1007	659	friend
1008	659	super
1009	660	wit
1010	661	wit
1011	662	wit
1012	663	wit
1013	664	test
1014	665	recip
1015	666	recip
1016	667	recip
1017	668	recip
1018	669	recip
1019	670	recip
1020	671	recip
1021	672	recip
1022	673	recip
1023	674	recip
1024	675	recip
1025	676	recip
1026	676	family
1027	677	recip
1028	677	apprentice
1029	678	recip
1030	678	apprentice
1031	679	recip
1032	679	servant
1033	680	recip
1034	680	servant
1035	681	recip
1036	681	exec
1037	682	recip
1038	682	servant
1039	683	recip
1040	683	family
1041	684	recip
1042	684	family
1043	685	family
1044	686	recip
1045	686	family
1046	687	recip
1047	687	family
1048	688	recip
1049	688	family
1050	689	recip
1051	690	recip
1052	690	exec
1053	691	recip
1054	692	recip
1055	692	super
1056	693	recip
1057	693	family
1058	693	super
1059	694	recip
1060	694	family
1061	694	super
1062	695	family
1063	696	recip
1064	696	family
1065	697	recip
1066	697	family
1067	698	mention
1068	699	recip
1069	699	creditor
1070	700	recip
1071	700	servant
1072	701	business
1073	702	debtor
1074	703	recip
1075	703	friend
1076	703	super
1077	704	recip
1078	705	recip
1079	705	super
1080	706	recip
1081	707	recip
1082	707	family
1083	708	recip
1084	708	family
1085	708	apprentice
1086	709	test
1087	710	recip
1088	711	recip
1089	711	family
1090	711	super
1091	712	recip
1092	712	exec
1093	712	family
1094	713	recip
1095	713	family
1096	714	recip
1097	714	family
1098	715	recip
1099	715	family
1100	716	recip
1101	716	family
1102	717	recip
1103	717	family
1104	718	recip
1105	718	family
1106	718	super
1107	719	recip
1108	719	family
1109	720	recip
1110	720	family
1111	721	recip
1112	721	family
1113	722	recip
1114	722	family
1115	723	recip
1116	723	family
1117	724	recip
1118	724	family
1119	725	recip
1120	726	recip
1121	727	recip
1122	727	business
1123	728	recip
1124	729	recip
1125	730	recip
1126	731	recip
1127	732	recip
1128	733	recip
1129	734	recip
1130	735	recip
1131	736	recip
1132	737	recip
1133	738	recip
1134	739	recip
1135	740	recip
1136	741	recip
1137	742	recip
1138	742	servant
1139	743	recip
1140	744	recip
1141	745	recip
1142	746	recip
1143	747	recip
1144	748	recip
1145	749	recip
1146	750	recip
1147	751	recip
1148	752	recip
1149	752	employee
1150	753	business
1151	754	business
1152	755	recip
1153	755	servant
1154	756	recip
1155	756	servant
1156	757	recip
1157	757	servant
1158	758	recip
1159	758	debtor
1160	759	recip
1161	759	servant
1162	760	wit
1163	761	wit
1164	762	wit
1165	763	recip
1166	763	family
1167	764	recip
1168	764	family
1169	765	recip
1170	766	recip
1171	767	test
1172	768	recip
1173	768	exec
1174	768	family
1175	769	wit
1176	770	wit
1177	771	wit
1178	772	test
1179	773	recip
1180	774	recip
1181	774	family
1182	775	recip
1183	775	family
1184	776	recip
1185	776	family
1186	777	recip
1187	777	family
1188	778	recip
1189	779	recip
1190	779	apprentice
1191	780	recip
1192	781	recip
1193	781	exec
1194	782	recip
1195	782	exec
1196	783	recip
1197	783	super
1198	784	test
1199	785	recip
1200	785	exec
1201	785	family
1202	786	family
1203	787	recip
1204	787	family
1205	787	wit
1206	788	recip
1207	788	family
1208	789	recip
1209	789	family
1210	790	recip
1211	790	family
1212	791	recip
1213	791	family
1214	792	recip
1215	792	family
1216	793	recip
1217	793	family
1218	794	recip
1219	794	family
1220	794	business
1221	795	recip
1222	795	family
1223	796	recip
1224	796	family
1225	797	recip
1226	797	family
1227	798	recip
1228	798	family
1229	799	recip
1230	799	family
1231	800	recip
1232	800	family
1233	800	super
1234	801	family
1235	802	family
1236	803	recip
1237	803	family
1238	804	recip
1239	804	family
1240	805	recip
1241	805	family
1242	806	recip
1243	806	family
1244	807	recip
1245	807	family
1246	807	wit
1247	808	recip
1248	808	family
1249	809	recip
1250	809	family
1251	810	recip
1252	811	recip
1253	812	recip
1254	813	recip
1255	814	recip
1256	815	recip
1257	816	family
1258	816	business
1259	817	recip
1260	817	wit
1261	817	friend
1262	818	recip
1263	819	recip
1264	820	recip
1265	820	wit
1266	821	recip
1267	822	recip
1268	822	exec
1269	822	wit
1270	822	friend
1271	823	recip
1272	824	recip
1273	824	wit
1274	824	servant
1275	825	recip
1276	826	recip
1277	827	recip
1278	828	recip
1279	828	super
1280	829	secofficer
1281	830	secofficer
1282	831	wit
1283	832	wit
1284	833	wit
1285	834	recip
1286	834	family
1287	835	recip
1288	836	business
1289	837	wit
1290	838	test
1291	839	recip
1292	839	exec
1293	839	family
1294	839	secofficer
1295	840	wit
1296	841	wit
1297	842	wit
1298	843	test
1299	844	recip
1300	844	exec
1301	844	family
1302	845	wit
1303	846	wit
1304	847	wit
1305	848	test
1306	849	recip
1307	849	exec
1308	849	family
1309	850	recip
1310	850	family
1311	851	recip
1312	851	family
1313	852	recip
1314	852	family
1315	853	recip
1316	853	family
1317	854	recip
1318	854	family
1319	855	recip
1320	855	family
1321	856	recip
1322	856	family
1323	857	recip
1324	857	exec
1325	857	friend
1326	858	wit
1327	859	wit
1328	860	test
1329	861	recip
1330	861	exec
1331	861	family
1332	862	wit
1333	863	business
1334	864	recip
1335	864	exec
1336	864	family
1337	865	recip
1338	865	family
1339	865	business
1340	865	super
1341	866	recip
1342	866	family
1343	867	recip
1344	867	family
1345	868	recip
1346	868	family
1347	869	recip
1348	869	family
1349	870	family
1350	871	recip
1351	871	secofficer
1352	872	recip
1353	873	recip
1354	873	family
1355	874	recip
1356	874	family
1357	874	super
1358	875	wit
1359	876	wit
1360	877	wit
1361	878	test
1362	879	recip
1363	879	family
1364	880	recip
1365	880	family
1366	881	recip
1367	881	exec
1368	881	family
1369	882	recip
1370	882	exec
1371	882	family
1372	883	recip
1373	883	family
1374	884	recip
1375	884	family
1376	885	recip
1377	885	family
1378	886	family
1379	887	family
1380	888	recip
1381	888	family
1382	889	family
1383	890	family
1384	891	recip
1385	891	family
1386	892	recip
1387	892	family
1388	893	family
1389	894	recip
1390	894	family
1391	895	wit
1392	896	wit
1393	897	wit
1394	898	test
1395	899	recip
1396	900	recip
1397	900	super
1398	901	recip
1399	901	super
1400	902	recip
1401	902	super
1402	903	recip
1403	903	exec
1404	903	family
1405	904	recip
1406	905	mention
1407	906	recip
1408	907	recip
1409	909	family
1410	910	recip
1411	910	family
1412	911	recip
1413	911	family
1414	912	recip
1415	913	recip
1416	914	wit
1417	915	wit
1418	916	test
1419	917	recip
1420	917	family
1421	918	recip
1422	918	family
1423	919	recip
1424	919	family
1425	920	recip
1426	920	family
1427	921	recip
1428	921	family
1429	922	recip
1430	922	family
1431	923	recip
1432	924	recip
1433	925	recip
1434	925	servant
1435	926	recip
1436	926	exec
1437	926	family
1438	927	wit
1439	928	wit
1440	929	business
1441	930	wit
1442	931	test
1443	932	recip
1444	932	family
1445	933	recip
1446	933	family
1447	934	recip
1448	934	family
1449	935	recip
1450	935	wit
1451	935	apprentice
1452	936	recip
1453	936	apprentice
1454	937	recip
1455	937	family
1456	938	recip
1457	938	wit
1458	938	friend
1459	938	super
1460	939	recip
1461	940	recip
1462	940	exec
1463	940	family
1464	941	wit
1465	942	test
1466	943	recip
1467	943	family
1468	944	recip
1469	944	family
1470	945	recip
1471	945	family
1472	946	recip
1473	946	exec
1474	946	family
1475	947	recip
1476	947	exec
1477	947	family
1478	948	recip
1479	948	family
1480	949	wit
1481	950	wit
1482	951	wit
1483	952	test
1484	953	recip
1485	953	family
1486	954	recip
1487	954	exec
1488	954	family
1489	955	recip
1490	955	family
1491	956	recip
1492	956	family
1493	957	recip
1494	957	family
1495	957	servant
1496	958	recip
1497	958	servant
1498	959	exec
1499	959	family
1500	960	wit
1501	961	wit
1502	962	test
1503	963	recip
1504	963	exec
1505	963	family
1506	964	recip
1507	964	family
1508	965	recip
1509	965	family
1510	966	wit
1511	967	wit
1512	968	wit
1513	969	wit
1514	970	test
1515	971	recip
1516	971	exec
1517	971	family
1518	972	business
1519	973	business
1520	974	business
1521	975	business
1522	976	business
1523	977	recip
1524	977	exec
1525	977	family
1526	978	recip
1527	978	family
1528	979	recip
1529	979	business
1530	979	super
1531	980	recip
1532	980	business
1533	980	super
1534	981	family
1535	982	recip
1536	982	family
1537	983	recip
1538	983	family
1539	983	debtor
1540	984	family
1541	985	recip
1542	985	family
1543	986	recip
1544	987	recip
1545	988	recip
1546	989	recip
1547	990	recip
1548	991	recip
1549	992	wit
1550	993	wit
1551	994	wit
1552	995	test
1553	996	recip
1554	996	exec
1555	996	family
1556	997	family
1557	997	friend
1558	998	recip
1559	998	family
1560	999	recip
1561	999	family
1562	1000	recip
1563	1000	family
1564	1001	business
1565	1002	recip
1566	1002	family
1567	1003	family
1568	1004	recip
1569	1005	recip
1570	1006	recip
1571	1006	family
1572	1006	friend
1573	1007	recip
1574	1007	family
1575	1008	recip
1576	1008	family
1577	1009	recip
1578	1009	family
1579	1010	recip
1580	1011	recip
1581	1011	family
1582	1012	recip
1583	1012	family
1584	1013	family
1585	1014	recip
1586	1014	family
1587	1015	recip
1588	1016	recip
1589	1016	friend
1590	1016	super
1591	1017	recip
1592	1017	friend
1593	1018	recip
1594	1018	friend
1595	1018	super
1596	1019	recip
1597	1019	friend
1598	1020	recip
1599	1020	friend
1600	1021	recip
1601	1021	friend
1602	1022	recip
1603	1022	friend
1604	1023	recip
1605	1023	friend
1606	1024	recip
1607	1024	friend
1608	1025	recip
1609	1025	friend
1610	1026	recip
1611	1026	friend
1612	1027	recip
1613	1027	friend
1614	1028	wit
1615	1029	wit
1616	1030	wit
1617	1031	test
1618	1032	recip
1619	1032	exec
1620	1032	family
1621	1033	family
1622	1033	business
1623	1034	business
1624	1035	business
1625	1036	business
1626	1037	family
1627	1037	business
1628	1038	business
1629	1039	business
1630	1040	recip
1631	1040	exec
1632	1040	family
1633	1041	business
1634	1042	business
1635	1043	business
1636	1044	business
1637	1045	business
1638	1046	business
1639	1047	business
1640	1048	business
1641	1049	business
1642	1050	business
1643	1051	business
1644	1052	recip
1645	1052	family
1646	1053	family
1647	1054	recip
1648	1054	family
1649	1055	family
1650	1056	recip
1651	1056	family
1652	1057	recip
1653	1057	family
1654	1058	recip
1655	1058	family
1656	1059	recip
1657	1059	family
1658	1060	recip
1659	1060	family
1660	1061	business
1661	1062	recip
1662	1062	family
1663	1063	recip
1664	1063	family
1665	1064	family
1666	1065	recip
1667	1065	family
1668	1066	recip
1669	1066	family
1670	1067	recip
1671	1067	servant
1672	1068	mention
1673	1069	religofficer
1674	1070	religofficer
1675	1071	recip
1676	1072	recip
1677	1073	wit
1678	1074	wit
1679	1075	wit
1680	1076	test
1681	1077	recip
1682	1077	family
1683	1078	recip
1684	1078	exec
1685	1078	family
1686	1079	business
1687	1080	recip
1688	1080	family
1689	1081	recip
1690	1081	exec
1691	1081	family
1692	1082	business
1693	1083	recip
1694	1083	family
1695	1084	recip
1696	1084	family
1697	1085	recip
1698	1085	family
1699	1085	friend
1700	1086	recip
1701	1086	family
1702	1086	friend
1703	1087	business
1704	1088	recip
1705	1088	family
1706	1089	recip
1707	1089	family
1708	1090	recip
1709	1090	family
1710	1091	recip
1711	1091	wit
1712	1091	friend
1713	1092	wit
1714	1093	wit
1715	1094	nattaxassess
1716	1095	nattaxassess
1717	1096	nattaxassess
1718	1098	nattaxassess
1719	1099	nattaxassess
1720	1100	nattaxassess
1721	1101	nattaxassess
1722	1102	nattaxassess
1723	1103	nattaxassess
1724	1104	nattaxassess
1725	1105	nattaxassess
1726	1106	nattaxassess
1727	1107	nattaxassess
1728	1108	nattaxassess
1729	1109	nattaxassess
1730	1110	nattaxassess
1731	1111	nattaxassess
1732	1112	nattaxassess
1733	1113	nattaxassess
1734	1114	nattaxassess
1735	1115	nattaxassess
1736	1116	nattaxassess
1737	1117	nattaxassess
1738	1118	nattaxassess
1739	1119	nattaxassess
1740	1120	nattaxassess
1741	1121	nattaxassess
1742	1122	nattaxassess
1743	1123	nattaxassess
1744	1124	nattaxassess
1745	1125	nattaxassess
1746	1126	nattaxassess
1747	1127	nattaxassess
1748	1128	nattaxassess
1749	1129	nattaxassess
1750	1130	nattaxassess
1751	1131	nattaxassess
1752	1132	nattaxassess
1753	1133	nattaxassess
1754	1134	nattaxassess
1755	1135	nattaxassess
1756	1136	nattaxassess
1757	1137	nattaxassess
1758	1138	nattaxassess
1759	1139	nattaxassess
1760	1140	nattaxassess
1761	1141	nattaxassess
1762	1142	nattaxassess
1763	1143	nattaxassess
1764	1144	nattaxassess
1765	1145	nattaxassess
1766	1146	nattaxassess
1767	1147	nattaxassess
1768	1148	nattaxassess
1769	1149	nattaxassess
1770	1150	nattaxassess
1771	1151	nattaxassess
1772	1152	nattaxassess
1773	1153	nattaxassess
1774	1154	nattaxassess
1775	1155	nattaxassess
1776	1156	nattaxassess
1777	1157	nattaxassess
1778	1158	nattaxassess
1779	1159	nattaxassess
1780	1160	nattaxassess
1781	1161	nattaxassess
1782	1162	nattaxassess
1783	1163	nattaxassess
1784	1164	nattaxassess
1785	1165	nattaxassess
1786	1166	nattaxassess
1787	1167	nattaxassess
1788	1168	nattaxassess
1789	1169	nattaxassess
1790	1170	nattaxassess
1791	1171	nattaxassess
1792	1172	nattaxassess
1793	1173	nattaxassess
1794	1174	nattaxassess
1795	1175	nattaxassess
1796	1176	nattaxassess
1797	1177	nattaxassess
1798	1178	nattaxassess
1799	1179	nattaxassess
1800	1180	nattaxassess
1801	1181	nattaxassess
1802	1182	nattaxassess
1803	1183	nattaxassess
1804	1184	nattaxassess
1805	1185	nattaxassess
1806	1186	nattaxassess
1807	1187	secofficer
1808	1187	nattaxassess
1809	1188	nattaxassess
1810	1189	nattaxassess
1811	1190	nattaxassess
1812	1191	nattaxassess
1813	1192	nattaxassess
1814	1193	mention
1815	1194	mention
1816	1195	nattaxassess
1817	1196	nattaxassess
1818	1197	nattaxassess
1819	1198	nattaxassess
1820	1199	nattaxassess
1821	1200	nattaxassess
1822	1201	nattaxassess
1823	1202	nattaxassess
1824	1203	nattaxassess
1825	1204	nattaxassess
1826	1205	nattaxassess
1827	1206	nattaxassess
1828	1207	nattaxassess
1829	1208	nattaxassess
1830	1209	nattaxassess
1831	1210	nattaxassess
1832	1211	nattaxassess
1833	1212	nattaxassess
1834	1213	nattaxassess
1835	1214	nattaxassess
1836	1215	nattaxassess
