doc_id	tithe_pid	tithe-id	prop_type	global_prop_id	location	rent_mod_valued	tithe_assessment	tithe_paid	tithe_notes
151		137					£1 8s 4d		Esqr St John two little houses empty. 20l each
151	2168	138					£1 3s 4d		
151	2169	139					£2 3s 4d		
151	2170	140					13s 4d		
151	2171	141					£1		
151	2172	142					13s 4d		
151	2173	143					16s 8d		
151	2174	144					£1 13s 8d		
151	2175	145					17s 4d		
151	2176	146					£1 6s 8d		
151	2177	147					£1		
151	2178	148					16s		
151	2179	149					6s 8d		
151	2180	150					£1 13 4d		
151	2181	151					£1 13s 4d		
151	2182	152					g£1 13 4d		"this and titheid153 are a joint assessment, although unlike titheid110/111 the two assessed don't have their own numbers in the source - they share number 94"
151	2183	153					g£1 13 4d		"this and titheid152 are a joint assessment, although unlike titheid110/111 the two assessed don't have their own numbers in the source - they share number 94"
151		154					£2 16s 8d		pid2197 one empty house
151	2184	155					£1		
151	2185	156					£1		
151		157					£1 10s		pid2198 one house empty
151	2186	158					£1		
151	2187	159					£1		
151	2188	160					£1 16s		
151	2189	161					£1 16s 8d		
151	2190	162					£1 16s 8d		
151	2191	163					£1 16s 8d		
151		164			in bull yard unbuilt		10s		A toft of ground of pid2199 in bull yard unbuilt
151		165					£1 1s		a Toft of ground of pid2200 when built
152	2203	166					£1 15s		
152	2204	167					£1 15s		
152	2205	168					£2 19s		
152	2206	169					£1 14s		
152	2207	170					£1 15s		
152	2208	171					£1 15s		
152	2209	172					12s		his own house
152	2209	173					18s		his other house
152	2210	174					8s		
152	2211	175					13s		
152	2212	176					18s		
152	2213	177					10s		
152	2214	178					7s		
152	2215	179					£1 1s		the fore house
152	2215	180					4s 8d		the back house
152	2216	181					£1 1s		
152	2217	182					9s 4d		
152	2218	183					8s 8d		
152	2219	184					£1		
152	2220	185					8s 8d		
152	2221	186					£1 2s		
152	2222	187					£1 18s		
152	2223	188					£3		
152	2224	189					19s		
152	2225	190					16s		
152	2226	191					14s 4d		ye Corner house
152	2227	192					12s 8d		ye plough
152	2228	193					18s		
152	2229	194					10s		
152	2230	195					15s		
152	2231	196					15s		
152	2232	197					£1 4s		
152	2233	198					£1 4s		
152	2234	199					£1 9s		2 parcels of ground each 14s 6d
152	2234	200					£1 9s		for ye tavern ground
152	2235	201					14s 8d		
152	2236	202					18s		
152	2237	203					£1 6s		
152	2238	204					£2 8s		
152	2239	205					£1 15s		
350	9649	206					£1 8s		
350	9650	207					£1 8s		
350	9651	208					£1 10s		
350	9652	209					£2 2s		
350	9653	210					£1		
350		211	house				£1		empty house of pid9654
350	9655	212					£2 4s		
350	9656	213					£1		
350	9657	214					10s		
350	9658	215					£1 8s		
350	9659	216					£1 6s		
350	9660	217					£1 10s		
350	9661	218					£1		
350	9662	219					10s		
350		220	toft		between houses of pid9662 and 9663		£1 4s		
350	9663	221					14s		
350	9664	222					£1 16s		
350	9665	223					£1 12s		
350	9666	224					£1 15s
350	9667	225					£1 6s
350	9668	226					£1 4s
350	9669	227					£1 4s
350	9670	228					£1 6s
350	9671	229					£1 6s 8d
350	9672	230					£1 4s
350	9673	231					£1 12s
350	9674	232					£1
350	9675	233					£ 12s
350	9676	234					12s
350	9677	235					18s
350	9678	236					£1
350	9679	237					13s 4d
350	9680	238					£1
350	9681	239					£1 6s
350	9682	240					£1 8s		
350	9683	241					11s		
350	9684	242					12s		
350	9685	243					£1		
350		244	house				8s		empty house of pid9685
350		245	house				£1		empty house of pid9686
350	9687	246					£1 6s		
350	9688	247	toft				14s		
351	9689	248					£1 6s 8d		
351	9690	249					£1 6s		
351	9691	250					£1 8s		
351	9692	251					£2		
351	9693	252					£1		
351	9694	253					£1		
351	9695	254					£2 2s		
351	9696	255					10s		
351	9697	256					18s		
351	9698	257					£1 10s		
351		258					£1 8s		joint listing of pid9699 + 9700
351	9701	259					£1 6s 8d		
351	9702	260					10s		
351	9703	261	ground				£1 8s		for the ground late in possession of pid9704 and 9705 att the time of the Fire
351		262	ground				£1 10s		the ground between pid9702 and 9706 houses
351	9706	263					14s		
351	9707	264					£1 16s		
351	9708	265	ground				10s		
351	9709	266					£2		
351	9710	267					£1 4s		
351	9711	268					£1 4s		
351	9712	269	house		king street		£1 4s		
351	9713	270	house		king street		£1 4s		Lanes house there
351	9714	271	house		king street		£1 16s		for his house next Mr Lanes
351	9714	272	house		king street		£1 10s		his house next to that
351	9714	273	house		king street		£1 18s		his next house below that adjoining to pid9715
351	9716	274	house				£1		pid9716's house next the ground now rebuilding by pid9717
351	9717	275	ground				£1 10s		pid9718's ground now in possession of pid9717
351	9712	276	house		ironmonger lane		£1 10s		
351	9714	277	house		ironmonger lane		£1		next to sortid276
351	9714	278	house				13s 4d		his middle house
351	9714	279	house				£1		his other house next to pid9719
351	9719	280					£1 4s		
351	9716	281					£1 6s 8d		
351	9720	282					12s		
351	9721	283					12s		
351	9722	284	ground				£1		
351	9723	285	house				£1 6s 8d		2 houses
351	9724	286	ground				£1 4s		pid9718's ground in possession of pid9724
351	9725	287	ground				18s		
352	9727	288					£2 8s
352	9728	289					£2 15s
352	9729	290					£1 16s
352	9730	291					£1 16s
352	9731	292					£1 2s
352	9732	293					£2 8s
352	9733	294					£1 16s
352	9734	295					£1 16s
352	9735	296					£3
352	9736	297					£2 8s
352	9737	298					£2 8s
352	9738	299					£1 13s 6d
352	9739	300					£3
352	9740	301					£1 16s
352	9741	302					£1 4s
352	9742	303					12s 4d
352	9743	304					14s 4d		
352	9744	305					£1 8s 6d		
352	9745	306					£1 6s 4d		
352	9746	307					£1 16s		
352	9747	308					£1 16s		
353	9749	309					£1 12s		
353	9750	310					£1 12s		
353	9751	311					£2 8s		
353	9752	312					£2 6s 6d		
353	9753	313					£3 6s 8d		
353		314					£1 17s		"joint assessment for pid: 9754, 9755 and 9756"
353	9757	315	toft				15s		
353	9758	316					£1 17s		
