par_list_id	doc_id	pid	global_prop_id	assessement	week_assess	notes
160	65	1643		2s 6d
161	65	1644		18d
162	65	1645		2s
163	65	1646		4s
164	65	1647		5s
165	65	1648		5s
166	65	1649		2s
167	65	1650		2s
168	65	1651		2s 6d
169	65	1652		5s
170	65	1653		3s
171	65	1654		2s
172	65	1655		5s
173	65	1656		4d
174	65	1657		2s 6d
175	65	1658		12d
176	65	1659		5s		
177	65	1660		4s		
178	65	1661		3s		
179	65	1662		18d		
180	65	1663		2d		
181	65	1664		18d		
182	65	1665		3s		
183	65	1666		6s		
184	65	1667		2s 6d		
185	65	1668		6s		
186	65	1669		2s 6d		
187	65	1670		2s		Mr Marten's warehouse
188	65	1671		12d		Rowland Marten's warehouse
189	66	1672		8s		
190	66	1673		8s		
191	66	1674		8s		
192	66	1675		7s 6d
193	66	1676		4s
194	66	1677		2s
195	66	1678		2s
196	66	1679		2s
197	66	1680		2s 6d
198	66	1681		18d
199	66	1682		2s
200	66	1683		4s
201	66	1684		5s
202	66	1685		5s
203	66	1686		2s
204	66	1687		2s
205	66	1688		2s 6d
206	66	1689		5s
207	66	1690		3s
208	66	1691		2s		
209	66	1692		5s		
210	66	1693		3s		
211	66	1694		18d		
212	66	1695		5s		
213	66	1696		4s		
214	66	1697		3s		
215	66	1698		18d		
216	66	1699		2d		
217	66	1700		18d		
218	66	1701		6s		
219	66	1702		3s		
220	66	1703		2s 6d		
221	66	1704		6s		
222	66	1705		2s 6d		
223	66	1706		2s 6d		Mr Marten's warehouse
224	66	1707		12d		Roland Marten's warehoues
225	67	1708		8s		
226	67	1709		8s		
227	67	1710		7s		
228	67	1711		4s		
229	67	1712		5s		
230	67	1713		5s		
231	67	1714		2s 6d		for house
232	67	1714		18d		for his shop
233	67	1715		2s  		house
234	67	1716		4s		
235	67	1716		12d		for his shop
236	67	1717		4s		
237	67	1718		3s 6d		
238	67	1719		12d		for his seller
239	67	1720		5s		for his house
240	67	1721		8s		for ij houses
241	67	1722		3s  		
242	67	1723		7s 6d		
243	67	1724		8s		for 2 houses
244	67	1725		5s		
245	67	1726		4s		
246	67	1727		2s		
247	67	1728		2d		
248	67	1729		4s 6d		for 2 houses
249	67	1730		3s		
250	67	1731		6s		
251	67	1732		2s 6d		
252	67	1733		6s		
253	67	1734		3s		
254	67	1735		2s		for a warehouse
255	67	1736		4d		
256	68	1737		8s		
257	68	1738		8s		
258	68	1739		7s		
259	68	1740		4s		
260	68	1741		6s		
261	68	1742		6s		
262	68	1743		2s		for his shop
263	68	1743		2s 6d		for his house
264	68	1744		2s		
265	68	1745		18d		
266	68	1746		4s		
267	68	1747		3s		
268	68	1748		5s		for his house
269	68	1749		2s 6d		for Mr Sollams shop
270	68	1750		3s		for Gryffen Kyffyns shop
271	68	1750		5s		for his dwelling house
272	68	1751		3s		
273	68	1752		5s		for her house
274	68	1753		2s 6d		that hathe Mr Loyes shop
275	68	1754		3s		
276	68	1747		5s		wherin Frank dwells
277	68	1755		5s		
278	68	1756		4s		
279	68	1757		3s		
280	68	1758		18d		
281	68	1759		2d		
282	68	1760		18d		
283	68	1761		3s		
284	68	1762		6d		
285	68	1763		2s 6d		
286	68	1764		6s		
287	68	1765		2s 6d		
288	68	1766		2s		alderman martens warehouse
289	68	1767		12d		roland martens warehouse
290	68	1768		4d		
291	68	1769		?		warehouse
292	69	1770		8s		
293	69	1771		8s		
294	69	1772		7s		
295	69	1773		4s		
296	69	1774		5s		
297	69	1775		5s		
298	69	1776		2s 6d		
299	69	1776		18d		for his shop
300	69	1777		2s		
301	69	1778		18d		
302	69	1779		4s		
303	69	1780		3s 6d		
304	69	1781		18d		
305	69	1782		5s		for Sollomes house and the shop
306	69	1783		8s		for 2 houses
307	69	1784		3s		
308	69	1785		7s 6d		
309	69	1786		8s		for 2 houses
310	69	1787		5s		
311	69	1788		4s		
312	69	1789		3s		
313	69	1790		2s		
314	69	1791		2d		
315	69	1792		18d		
316	69	1793		3s		
317	69	1794		6s		
318	69	1795		2s 6d		
319	69	1796		6s		
320	69	1797		2s 6d		
321	69	1798		2s		
322	69	1799		12d		
323	69	1800		4d		
324	69	1801		8d		
325	81	1955	11-Jan	£150		assessed for subsidy in ahhl on goods valued at £150: not clear if pid1955 or 1956 occupying 11/1
326	81	1956	11-Jan	£20		assessed for subsidy in ahhl on goods valued at £150: not clear if pid1955 or 1956 occupying 11/1
327	539	55828		 8s 		
328	539	55829		 8s 		
329	539	55830		 12s 		
330	539	55831		 12s 		
331	539	55832		 14s 		
332	539	55833		 12s 		
333	539	55834		£1 4s 		
334	539	55835		 8s 		
335	539	55836		 8s 		
336	539	55837		 8s 
337	539	55838		 8s 
338	539	55839		 8s 
339	539	55840		 12s 
340	539	55841		 8s 
341	539	55842		 8s 
342	539	55843		 8s 
343	539	55844		 8s 
344	539	55845		 4s 
345	539	55846		 8s 
346	539	55847		 6s 
347	539	55848		 6s 
348	539	55849		 14s 
349	539	55850		 8s 
350	539	55851		 8s 
351	539	55852		 6s 
352	539	55853		 4s 		
353	539	55854		 4s 		
354	539	55855		 8s 		
355	539	55856		 6s 		
356	539	55857		 8s 		
357	539	55858		 8s 		
358	539	55859		 8s 		
359	539			 8s 		Empty House
360	539	55861		 12s 		
361	539	55862		 10s 		
362	539	55863		 10s 		
363	539	55864		 6s 		
364	539	55865		 8s 		
365	539	55866		 6s 		
366	539	55867		 6s 		
367	539	55868		 6s 		
368	539	55869		 6s 		
369	539	55870		 8s 		
370	539	55871		 8s 		
371	539	55872		 8s 		
372	539	55873		 8s 		
373	539	55874		 10s 		
374	539	55875		 6s 		
375	539	55876		 4s 4d		
376	539	55877		 8s 		
377	539	55878		 8s 		two Houses
378	539	55879		 14s 		3 Houses
379	540	55881		£1 6s 		
380	540	55882		£1 6s 		
381	540	55883		£1 14s 8d		
382	540	55884		£1 14s 8d		
383	540	55885		£2 12s 		
384	540	55886		£1 6s 
385	540	55887		£7 16s 
386	540	55888		£1 6s 
387	540	55889		£1 6s 
388	540	55890		£1 6s 
389	540	55891		 17s 4d
390	540	55892		 17s 4d
391	540	55893		£1 6s 
392	540	55894		 17s 4d
393	540	55895		£1 1s 8d
394	540	55896		 17s 4d
395	540	55897		£1 6s 
396	540	55898		 13s 
397	540	55899		£1 1s 8d
398	540	55900		 8s 8d
399	540	55901		£1 14s 8d
400	540	55902		 17s 4d
401	540	55903		 13s 
402	540	55904		 13s 
403	540	55905		 13s 
404	540	55906		 13s 
405	540	55907		 13s 
406	540	55908		£1 6s 
407	540	55909		£1 1s 8d
408	540	55910		£1 1s 8d
409	540	55911		£1 14s 8d
410	540	55912		£1 6s 
411	540	55913		£1 6s 
412	540	55914		 13s 
413	540	55915		 17s 4d
414	540	55916		 17s 4d
415	540	55917		 17s 4d
416	540	55918		 13s 		
417	540	55919		 13s 		
418	540	55920		£1 1s 8d		
419	540	55921		£1 6s 		
420	540	55922		£1 6s 		
421	540	55923		 17s 4d		
422	540	55924		£1 14s 8d		
423	540	55925		 13s 		
424	540	55926		 13s 		
425	540	55927		 17s 4d		
426	540	55928		 17s 4d		2 houses
427	540	55929		£2 3s 4d		3 houses
428	541	55930		4s 8d		
429	541	55931		g4s		55931 and 55990
430	541	55932		g5s 4d		55932 and 55991
431	541	55933		3s 4d		
432	541	55934		1s  		
433	541	55935		g5s 4d		55935 and 55992
434	541	55936		5s 4d		
435	541	55937		6s  		
436	541	55938		6s  		
437	541	55939		4s  		
438	541	55940		4s  		
439	541	55941		2s 8d		
440	541	55942		2s 8d		
441	541	55943		2s 8d		
442	541	55944		2s 8d		
443	541	55945		1s 4d		
444	541	55946		4s 8d		
445	541	55947		4s  		
446	541	55948		6s 8d		
447	541	55949		4s  		
448	541	55950		5s 4d
449	541	55951		2s 8d
450	541	55952		2s 8d
451	541	55953		2s 8d
452	541	55954		2s 8d
453	541	55955		4s 8d
454	541	55956		5s 4d
455	541	55957		5s 4d
456	541	55958		5s 4d
457	541	55959		4s  
458	541	55960		3s 4d
459	541	55961		4s  
460	541	55962		4s  
461	541	55963		4s  
462	541	55964		4s  
463	541	55965		2s  
464	541	55966		4s  		
465	541	55967		2s 8d		
466	541	55968		4s 8d		
467	541	55969		4s 		
468	541	55970		4s 		
469	541	55971		4s 		
470	541	55972		4s 8d		
471	541	55973		4s  d		
472	541	55974		2s 8d		
473	541	55975		2s 8d		
474	541	55976		3s 4d		
475	541	55977		2s 8d		
476	541	55978		3s 4d		
477	541	55979		1s 4d		
478	541	55980		1s 4d		
