event_id	link_event_id	event_date	parish	event	memo	marriage_location	marriage_authorisation
522021	522021	25/8/1668 00:00:00	Clerkenwell	burial
522022	522022	26/8/1668 00:00:00	Clerkenwell	burial
522023	522023	26/8/1668 00:00:00	Clerkenwell	burial
522024	522024	1/9/1668 00:00:00	Clerkenwell	burial
522025	522025	2/9/1668 00:00:00	Clerkenwell	burial
522026	522026	2/9/1668 00:00:00	Clerkenwell	burial
522027	522027	3/9/1668 00:00:00	Clerkenwell	burial
522028	522028	4/9/1668 00:00:00	Clerkenwell	burial
522029	522029	4/9/1668 00:00:00	Clerkenwell	burial
522030	522030	6/9/1668 00:00:00	Clerkenwell	burial
522031	522031	8/9/1668 00:00:00	Clerkenwell	burial
522032	522032	8/9/1668 00:00:00	Clerkenwell	burial
522033	522033	12/9/1668 00:00:00	Clerkenwell	burial
522034	522034	12/9/1668 00:00:00	Clerkenwell	burial
522035	522035	14/9/1668 00:00:00	Clerkenwell	burial
522036	522036	17/9/1668 00:00:00	Clerkenwell	burial
522037	522037	17/9/1668 00:00:00	Clerkenwell	burial
522038	522038	18/9/1668 00:00:00	Clerkenwell	burial
522039	522039	18/9/1668 00:00:00	Clerkenwell	burial
522040	522040	20/9/1668 00:00:00	Clerkenwell	burial
522041	522041	22/9/1668 00:00:00	Clerkenwell	burial
522042	522042	22/9/1668 00:00:00	Clerkenwell	burial
522043	522043	24/9/1668 00:00:00	Clerkenwell	burial
522044	522044	24/9/1668 00:00:00	Clerkenwell	burial
522045	522045	24/9/1668 00:00:00	Clerkenwell	burial
522046	522046	29/9/1668 00:00:00	Clerkenwell	burial
522047	522047	29/9/1668 00:00:00	Clerkenwell	burial
522048	522048	29/9/1668 00:00:00	Clerkenwell	burial
522049	522049	29/9/1668 00:00:00	Clerkenwell	burial
522050	522050	29/9/1668 00:00:00	Clerkenwell	burial
522051	522051	1/10/1668 00:00:00	Clerkenwell	burial
522052	522052	1/10/1668 00:00:00	Clerkenwell	burial
522053	522053	3/10/1668 00:00:00	Clerkenwell	burial
522054	522054	4/10/1668 00:00:00	Clerkenwell	burial
522055	522055	4/10/1668 00:00:00	Clerkenwell	burial
522056	522056	6/10/1668 00:00:00	Clerkenwell	burial
522057	522057	6/10/1668 00:00:00	Clerkenwell	burial
522058	522058	7/10/1668 00:00:00	Clerkenwell	burial
522059	522059	7/10/1668 00:00:00	Clerkenwell	burial
522060	522060	8/10/1668 00:00:00	Clerkenwell	burial
522061	522061	8/10/1668 00:00:00	Clerkenwell	burial
522062	522062	8/10/1668 00:00:00	Clerkenwell	burial
522063	522063	10/10/1668 00:00:00	Clerkenwell	burial
522064	522064	10/10/1668 00:00:00	Clerkenwell	burial
522065	522065	12/10/1668 00:00:00	Clerkenwell	burial
