INVID	PROID	InvValue	No of rooms	£InvValue	Crops	£Crops	Animals	£Animals	Money	£Money	Debts	£Debts	Leases	£Leases	Shop goods/Tools	£Shopgoods	Clothes	£Clothes	Household goods	£Household	Hearths	Notes
164	163.00	22.12	10.00	£22  2s 5d	0.00	0	0.00	0	0.00	0	0.00	0		0	4.31	£4 6s 4d	1.63	£1 12s 8d	7.74	£7 14s 11d	2.00	
165	585.00	48.30		£48  6s 1½d	0.00	0	0.00	0	30.05	£30 1s 1.5d	20.00	£20 0s 0d		0	0.00	0	11.00	£11 0s 0d	5.75	£5 15s 0d	0.00	
167	166.00	22.06	6.00	£22  1s 2d	0.00	0	0.00	0	0.00	0	0.00	0		0	1.66	£1 13s 4d	1.33	£1 6s 8d	20.05	£20 1s 2d	1.00	
168	167.00	31.23	1.00	£31 4s 6d	0.00	0	0.00	0	22.17	£22 3s 6d	20.00	£20 0s 0d		0	0.00	0	2.00	£2 0s 0d	7.05	£7 1s 0d	1.00	
171	170.00	18.05		£18  1s 1d	0.00	0	0.00	0	15.16	£15 3s 3d	15.00	£15 0s 0d		0	0.00	0	0.50	£0 10s 0d	4.39	£4 7s 10d	0.00	
172	171.00	13.24		£13  4s 10d	0.00	0	0.00	0	5.00	£5 0s 0d	5.00	£5 0s 0d		0	0.00	0	1.50	£1 10s 0d	7.29	£7 5s 10d	1.00	
173	172.00	130.62	6.00	£130 12s 6d	0.00	0	0.00	0	90.72	£90 14s 6d	0.00	0		0	3.25	£3 5s 0d	0.00	0	36.65	£36 13s 0d	0.00	
175	590.00	20.12	6.00	£20  2s 4d	0.00	0	2.59	£2 11s 10d	0.00	0	0.00	0		0	0.00	0	0.50	£0 10s 0d	18.83	£18 16s 8d	1.00	
176	175.00	4.83	3.00	£4 16s 8d	0.00	0	0.00	0	0.00	0	0.00	0		0	0.00	0	0.80	£0 16s 0d	4.18	£4 3s 8d	0.00	
177	591.00	4.12		£4  2s 6d	0.00	0	0.00	0	2.00	£2 0s 0d	0.00	0		0	0.00	0	0.40	£0 8s 0d	1.72	£1 14s 6d	0.00	
178	592.00	19.00		£19  0s 0d	0.00	0	5.00	£5 0s 0d	5.00	£5 0s 0d	5.00	£5 0s 0d		0	0.00	0	2.00	£2 0s 0d	7.50	£7 10s 0d	1.00	
179	593.00	30.29	5.00	£30  5s 11d	0.00	0	0.00	0	0.00	0	0.00	0		0	8.72	£8 14s 6d	1.33	£1 6s 8d	20.22	£20 4s 7d	1.00	
180	179.00	23.35	6.00	£23  7s 0d	0.00	0	0.00	0	0.00	0	0.00	0		0	5.50	£5 10s 0d	2.00	£2 0s 0d	11.85	£11 17s 0d	1.00	
181	598.00	20.68	2.00	£20 13s 8d	0.00	0	0.00	0	0.00	0	0.00	0		£1 10s 0d	1.00	£1 0s 0d	1.00	£1 0s 0d	18.16	£18 3s 4d	1.00	
182	596.00	20.87	1.00	£20 17s 4d	0.30	£0 6s 0d	0.00	0	17.33	£17 6s 8d	17.33	£17 6s 8d		0	0.00	0	0.50	£0 10s 0d	2.73	£2 14s 8d	0.00	
183	597.00	60.20	7.00	£60  4s 0d	0.00	0	1.10	£1 2s od	13.00	£13 0s 0d	8.00	£8 0s 0d		£5 0s 0d	0.00	0	5.00	£5 0s 0d	37.10	£37 2s 0d	3.00	
184	183.00	17.05		£17  1s 0d	0.00	0	0.00	0	0.00	0	0.00	0		0	12.55	£12 11s 0d	0.00	0	4.50	£4 10s 0d	1.00	
185	184.00	36.19	2.00	£36  3s 10d	0.00	0	0.00	0	0.00	0	0.00	0		0	25.50	£25 10s 0d	2.00	£2 0s 0d	9.60	£9 12s 0d	0.00	
188	599.00	86.94	4.00	£86 18s 10d	3.00	£3 0s 0d	44.00	£44 0s 0d	11.50	£11 10s 0d	0.00	0		0	10.50	£10 10s 0d	2.00	£2 0s 0d	23.54	£23 10 11	0.00	
189	600.00	88.83	5.00	£88 16s 8d	0.00	0	0.00	0	39.50	£39 10s  0d	32.00	£32 0s 0d		0	20.00	£20 0s 0d	0.00	0	23.33	£23 6s 8d	0.00	
190	602.00	38.35		£38  7s 0d	0.00	0	0.00	0	31.20	£31 4s 0d	0.00	0		0	0.00	0	3.26	£3 5s 4d	3.88	£3 17s 8d	0.00	
193	603.00	129.78	9.00	£129 15s 8d	21.01	£21 0s 4d	25.20	£25 4s 0d	0.00	0	0.00	0		0	6.02	£6 0s 6d	3.33	£3 6s 8d	74.20	£74 4s 2d	3.00	
194	604.00	64.20		£64  4s 0d	0.00	0	0.00	0	50.00	£50 0s 0d	44.00	£44 0s 0d		£6 0s 0d	0.00	0	4.66	£4 13s 4d	9.48	£9 9s 8d	0.00	
195	194.00	49.86	6.00	£49 17s 2d	32.81	£32 16s 4d	0.00	0	3.50	£3 10s 0d	3.50	£3 10s 0d		0	0.00	0	3.00	£3 0s 0d	10.54	£10 10s 10d	1.00	
197	606.00	8.25	2.00	£8  5s 0d	0.00	0	0.00	0	0.00	0	0.00	0		0	0.00	0	1.50	£1 10s 0d	7.75	£7 15s 0d	1.00	
198	607.00	39.52	1.00	£39 10s 6d	5.00	£5 0s 0d	8.92	£8 18s 6d	0.00	0	0.00	0		0	0.00	0	3.00	£3 0s 0d	20.65	£20 13s 0d	1.00	
199	608.00	39.32	7.00	£39  6s 4d	11.16	£11 3s 4d	7.00	£7 0s 0d	0.00	0	0.00	0		0	0.00	0	5.00	£5 0s 0d	14.36	£14 7s 4d	1.00	
200	199.00	55.13	5.00	£55 2s 8d	17.66	£17 13s 4d	4.46	£4 9s 4d	18.16	£18 3s 4d	1.00	£1 0s 0d		£16 13s 4d	0.00	0	0.00	0	15.63	£15 12s 9d	1.00	
201	200.00	82.53	4.00	£82 10s 8d	16.00	£16 0s 0d	40.00	£40 0s 0d	1.00	£1 0s 0d	0.00	0		£1 0s 0d	9.66	£9 13s 4d	2.00	£2 0s 0d	13.41	£12 8s 4d	0.00	
203	202.00	16.32	2.00	£16  6s 4d	16.31	£16 6s 4d	2.00	£2 0s 0d	0.00	0	0.00	0		0	0.00	0	1.50	£1 10s 0d	6.85	£6 17s 0d	0.00	
204	203.00	97.00	9.00	£97 0s 0d	15.00	£15 0s 0d	2.00	£2 0s 0d	5.65	£5 13s 0d	5.00	£5 0s 0d		£0 13s 0d	7.39	£7 7s 10d	0.00	0	15.96	£15 19s 4d	1.00	
205	610.00	21.54		£21 10s 8d	3.33	£3 6s 8d	0.00	0	4.37	£4 7s 6d	0.25	£0 5s 0d		£4 0s 0d	0.00	0	3.33	£3 6s 8d	8.38	£8 7s 8d	1.00	
206	205.00	74.66		£74 13s 2d	20.00	£20 0s 0d	0.00	0	23.00	£23 0s 0d	24.66	£24 13s 4d		£23 0s 0d	12.60	£12 12s 0d	7.85	£7 17s 0d	11.00	£11 0s 0d	0.00	Debts amounted to £20 and £24 more £49 remained see Bond
210	613.00	81.90		£81 18s 0d	0.00	0	0.00	0	55.00	£55 0s 0d	51.00	£51 0s 0d		0	0.00	0	3.00	£3 0s 0d	4.90	£4 18s 0d	0.00	
211	615.00	71.14		£71  2s 10d	9.00	£9 0s 0d	0.00	0	53.38	£53 7s 8d	50.00	£50 0s 0d		£2 16s 0d	53.38	£53 7s 8d	2.10	£2 2s 0d	4.27	£4 5s 6d		
212	211.00	57.88		£57 17s 8d	0.00	0	10.00	£10 0s 0d	8.00	£8 0s 0d	0.00	0		£8 0s 0d	0.00	0	2.00	£2 0s 0d	37.88	£37 17s 8d		
