INVID	PROID	InvValue	No of rooms	£InvValue	Crops	£Crops	Animals	£Animals	Money	£Money	Debts	£Debts	Leases	£Leases	Shop goods/Tools	£Shopgoods	Clothes	£Clothes	Household goods	£Household	Hearths	Notes
307	306.00	77.60	6.00	£77 12s 4d	0.00	0	4.00	£4 0s 0d	20.00	£20 0s 0d	0.00	0		£20 0s 0d	0.00	0	2.00	£2 0s 0d	51.61	£51 12s 4d		
308	690.00	57.55		£57 11s 0d	0.00	0	0.00	0	45.00	£45 0s 0d	45.00	£45 0s 0d		0	0.00	0	0.00	0	12.55	£12 11s 0d		
309	308.00	307.87	14.00	£307 17s 6d	8.50	£8 10s 0d	3.50	£3 10s 0d	240.00	£240 0s 0d	190.00	£190 0s 0d		0	0.00	0	0.00	0	52.56	£52 11 4d		Clothes illegible
310	692.00	20.15	5.00	£20  3s 0d	0.50	£0 10s 0d	0.00	0	1.50	£1 10s 0d	0.00	0		£1 0s 0d	0.00	0	2.00	£2 0s 0d	16.65	£16 13s 0d		
311	310.00	19.27	2.00	£19  5s 8d	2.50	£2 10s 0d	12.00	£12 0s 0d	0.00	0	0.00	0		0	0.00	0	1.00	£1 0s 0d	3.28	£3 5s 8d		
312	311.00	4.50		£4 10s 0d	2.00	£2 0s 0d	1.00	£1 0s 0d	0.00	0	0.00	0		0	0.00	0	0.50	£0 10s 0d	1.00	£1 0s 0d		
313	312.00	7.19		£7  3s 10d	3.46	£3 9s 4d	0.00	0	2.00	£2 0s 0d	0.00	0		£2 0s 0d	0.00	0	0.40	£0 8s 2d	0.32	£0 6s 6d		
314	313.00	79.50	10.00	£79 10s 0d	0.00	0	0.00	0	1.00	£1 0s 0d	0.00	0		0	27.55	£27 11s 0d	5.00	£5 0s 0d	44.80	£44 16s 0d	2.00	
315	314.00	28.62		£28 12s 4d	12.00	£12 0s 0d	12.33	£12 6s 8d	0.00	0	0.00	0		0	0.00	0	0.70	£0 14s 0d	3.61	£3 12s 4d	1.00	
316	696.00	10.75		£10 15s 0d	0.00	0	0.00	0	5.00	£5 0s 0d	0.00	0	0.00	0	0.75	£0 15s 0d	0.00	0	5.00	£5 0s 0d		Money debts etc put together as £5
317	697.00	213.67	2.00	£213 13s 4d	101.50	£101 10s 0d	46.33	£46 6s 8d	0.00	0	0.00	0	0.00	0	15.00	£15 0s 0d	5.00	£5 0s 0d	28.33	£28 6s 8d	1.00	
318	698.00	427.12	5.00	£427  2s 4d	160.10	£160 2s 0d	108.35	£108 7s 0d	59.33	£59 6s 8d	29.33	£29 6s 8d		£30 0s 0d	47.50	£47 10s 0d	15.00	£15 0s 0d	53.83	£53 16s 8d	2.00	
320	701.00	59.52		£59 10s 6d	14.00	£14 0s 0d	4.00	£4 0s 0d	30.00	£30 0s 0d	20.00	£20 0s 0d		0	0.00	0	5.00	£5 0s 0d	12.13	£12 2s 8d		
321	320.00	49.26		£49  5s 5d	0.00	0	0.00	0	40.00	£40 0s 0d	0.00	0	0.00	0	0.20	£0 4s 0d	4.00	£4 0s 0d	5.07	£5 1s 5d	1.00	
326	703.00	327.25		£327  5s 0d	0.00	0	0.00	0	270.00	£270 0s 0d	270.00	£270 0s 0d		0	0.00	0	10.00	£10 0s 0d	37.25	£37 5s 0d	2.00	
327	704.00	9.85	8.00	£9 17s 0d	0.00	0	0.00	0	1.00	£1 0s 0d	0.00	0		£1 0s 0d	0.00	0	0.00	0	8.85	£8 17s 0d	1.00	
329	719.00	24.45		£24  9s 0d	0.00	0	0.00	0	20.00	£20 0s 0d	20.00	£20 0s 0d		0	0.00	0	0.00	0	4.45	£4 9s 0d		
330	329.00	38.38	7.00	£38  7s 8d	0.00	0	1.60	£1 12s 0d	12.00	£12 0s 0d	0.00	0		£12 0s 0d	0.50	£0 10s 0d	2.00	£2 0s 0d	22.27	£22 5s 6d	2.00	
332	706.00	49.96	6.00	£49 19s 2d	5.93	£5 18s 8d	0.66	£0 13s 4d	6.05	£6 1s 0d	0.00	0		£5 10s 0d	0.00	0	5.00	£5 0s 0d	29.85	£29 17s 0d	1.00	
333	709.00	40.65		£40 13s 0d	0.00	0	0.00	0	36.40	£36 8s 0d	35.40	£35 8s 0d		0	0.00	0	1.50	£1 10s 0d	6.05	£6 1s 0d		
334	710.00	11.70	4.00	£11 14s 0d	0.00	0	0.00	0	0.00	0	0.00	0		0	0.00	0	2.00	£2 0s 0d	9.70	£9 14s 0d	1.00	
336	711.00	10.04	2.00	£10  0s 10d	4.30	£4 6s 0d	0.00	0	0.00	0	0.00	0		0	0.00	0	2.00	£2 0s 0d	3.83	£3 16s 8d	1.00	
338	714.00	19.01		£19  0s 2d	3.00	£3 0s 0d	4.00	£4 0s 0d	5.50	£5 10s 2d	0.00	0	0.00	0	0.00	0	1.50	£1 10s 0d	4.70	£4 14s 0d		
339	712.00	23.15	7.00	£23  3s 0d	0.00	0	0.00	0	2.00	£2 0s 0d	0.00	0	0.00	0	3.20	£3 4s 0d	2.00	£2 0s 0d	15.25	£15 5s 0d	3.00	
340	715.00	10.00	5.00	£10  0s 0d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.25	£0 5s 0d	2.00	£2 0s 0d	8.00	£8 0s 0d		
341	716.00	85.62		£85 12s 4d	0.00	0	0.00	0	70.00	£70 0s 0d	70.00	£70 0s 0d		0	0.00	0	3.00	£3 0s 0d	12.61	£12 12s 4d		
342	341.00	334.07	5.00	£334  1s 5d	191.36	£191 7s 4d	56.50	£56 10s 0d	4.57	£4 11s 6d	0.00	0	0.00	0	32.80	£32 16s 0d	4.00	£4 0s 0d	46.55	£46 11s 0d	1.00	
343	717.00	225.20	5.00	£225  4s 0d	20.00	£20 0s 0d	0.00	0	127.75	£127 15s 0d	122.75	£122 15s 0d		0	20.00	£20 0s 0d	5.00	£5 0s 0d	41.95	£41 19s 0d	2.00	
344	720.00	54.96	6.00	£54 19s 2d	5.50	£5 10s 0d	1.62	£1 12s 6d	5.00	£5 0s 0d	0.00	0		0	6.00	£6 0s 0d	6.00	£6 0s 0d	30.83	£30 16s 8d		
347	721.00	6.65		£6 13s 0d	1.55	£1 11s 0d	2.50	£2 10s 0d	0.00	0	0.00	0	0.00	0	0.00	0	1.00	£1 0s 0d	2.60	£2 12s 0d		
349	722.00	12.75	3.00	£12 15s 0d	2.00	£2 0s 0d	4.45	£4 9s 0d	0.80	£0 16s 0d	0.80	£0 16s 0d		0	0.55	£0 11s 0d	1.00	£1 0s 0d	2.93	£2 18s 8d	1.00	
350	723.00	12.40	3.00	£12  8s 0d	0.00	0	0.15	£0 3s 0d	0.00	0	0.00	0	0.00	0	3.15	£3 3s 0d	1.00	£1 0s 0d	8.10	£8 2s 0d	1.00	
351	724.00	35.67	5.00	£35 13s 4d	0.00	0	0.00	0	0.00	0	0.00	0		0	0.00	0	2.00	£2 0s 0d	33.66	£33 13s 4d	2.00	
352	351.00	4.57		£4 11s 6d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.25	£0 5s 0d	0.00	0	4.32	£4 6s 6d	1.00	
354	353.00	21.55	2.00	£21 11s 0d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	3.00	£3 0s 0d	18.55	£18 11s 0d	1.00	
357	356.00	23.80	3.00	£23 16s 0d	0.00	0	3.80	£3 16s 0d	0.00	0	0.00	0		0	2.40	£2 8s 0d	1.50	£1 10s 0d	16.15	£16 3s 0d	1.00	
358	726.00	10.75		£10 15s 0d	0.00	0	0.75	£0 15s 0d	10.00	£10 0s 0d	0.00	0		0	0.00	0	0.00	0	0.00	0		
359	358.00	23.13	4.00	£23  2s 8d	10.20	£10 4s 0d	6.83	£6 16s 8d	0.00	0	0.00	0		0	2.56	£2 11s 4d	0.66	£0 13s 4d	4.23	£4 4s 8d	1.00	He owed £100 to his brother-in-law
361	730.00	63.40	14.00	£63  8s 0d	0.25	£0 5s 0d	3.00	£3 0s 0d	0.00	0	0.00	0		0	2.75	£2 15s 0d	3.00	£3 0s 0d	54.03	£54 0s 8d	1.00	
362	361.00	14.82	5.00	£14 16s 4d	0.50	£0 10s 0d	1.62	£1 12s 6d	0.00	0	0.00	0		0	1.50	£1 10s 0d	0.50	£0 10s 0d	9.06	£9 1s 4d	2.00	
363	362.00	161.50	16.00	£161 10s 0d	0.00	0	4.50	£4 10s 0d	0.00	0	0.00	0		0	26.50	£26 10s 0d	0.00	0	103.75	£103 15s 0d	5.00	
364	363.00	140.11	4.00	£140  2s 2d	0.00	0	1.00	£1 0s 0d	5.00	£5 0s 0d	0.00	0		0	106.94	£106 18s 10d	2.00	£2 0s 0d	30.66	£30 13s 4d	1.00	
365	364.00	42.30	4.00	£42  6s 0d	5.00	£5 0s 0d	10.00	£10 0s 0d	0.00	0	0.00	0		0	15.75	£15 15s 0d	3.00	£3 0s 0d	16.50	£16 10s 0d		
366	733.00	139.77	6.00	£139 15s 6d	0.00	0	3.30	£3 6s 0d	60.00	£60 0s 0d	60.00	£60 0s 0d		0	28.00	£28 0s 0d	14.00	£14 0s 0d	34.27	£34 5s 6d	2.00	
367	734.00	19.17	2.00	£19  3s 4d	5.66	£5 13s 4d	3.66	£3 13s 4d	0.00	0	0.00	0	0.00	0	0.00	0	0.50	£0 10s 0d	8.58	£8 11s 8d		
368	735.00	36.15	2.00	£36  3s 4d	15.50	£15 10s 0d	11.25	£11 5s 0d	0.00	0	0.00	0		0	1.26	£1 5s 4d	1.50	£1 10s 0d	6.35	£6 7s 0d		
369	736.00	40.75	6.00	£40 15s 0d	0.60	£0 12s 0d	0.00	0	23.50	£23 10s 0d	0.00	0		£23 10s 0d	1.50	£1 10s 0d	2.00	£2 0s 0d	12.75	£12 15s 0d	1.00	
370	738.00	38.48		£38  9s 8d	0.00	0	0.00	0	20.48	£20 9s 8d	0.00	0	0.00	0	0.00	0	0.00	0	13.16	£13 3s 4d		
372	371.00	17.05		£17  1s 0d	0.00	0	9.50	£9 10s 0d	5.20	£5 4s 0d	0.00	0	0.00	0	0.00	0	1.50	£1 10s 0d	0.85	£0 17s od		
373	739.00	74.38	8.00	£74  7s 8d	0.00	0	0.00	0	40.00	£40 0s 0d	0.00	0		£40 0s 0d	0.00	0	2.00	£2 0s 0d	32.38	£32 7s 8d	1.00	
374	740.00	378.48	5.00	£378  9s 6d	1.33	£1 6s 8d	149.16	£149 3s 4d	170.00	£170 0s 0d	160.00	£160  0s 0d		£10 0s 0d	0.00	0	6.66	£6 13s 4d	95.60	£95 12s 2d		
377	741.00	100.89	8.00	£100 17s 10d	5.66	£5 13s 4d	18.00	£18 0s 0d	0.00	0	0.00	0		0	0.00	0	10.00	£10 0s 0d	67.22	£67 4s 6d	1.00	
378	377.00	16.33		£16  6s 8d	0.00	0	0.00	0	13.33	£13 6s 8d	13.33	£13 6s 8d		0	0.00	0	3.00	£3 0s 0d	0.00	0		
379	743.00	130.77		£130 15s 6d	0.00	0	0.00	0	29.00	£29 0s 0d	29.00	£29 0s 0d		0	38.70	£38 14s 0d	2.50	£2 10s 0d	53.65	£53 13s 0d		
380	744.00	55.03	2.00	£55  0s 8d	5.00	£5 0s 0d	35.60	£35 12s 0d	3.33	£3 6s 8d	0.00	0		£3 6s 8d	0.00	0	1.50	£1 10s 0d	7.20	£7 4s 0d	1.00	
381	745.00	350.25	6.00	£350  5s 0d	17.00	£17 0s 0d	13.00	£13 0s 0d	256.00	£256 0s 0d	155.00	£155 0s 0d		£100 0s 0d	0.00	0	10.00	£10 0s 0d	54.25	£54 5s 0d	1.00	
383	746.00	44.75		£44 15s 0d	6.00	£6 0s 0d	17.00	£17 0s 0d	0.25	£0 5s 0d	0.00	0		0	2.00	£2 0s 0d	3.00	£3 0s 0d	16.75	£16 15s 0d	1.00	
384	747.00	37.36	3.00	£37  7s 2d	4.50	£4 10s 0d	13.00	£13 0s 0d	0.00	0	0.00	0		0	0.00	0	3.00	£3 0s 0d	10.08	£10 1s 8d	1.00	
385	748.00	45.07	3.00	£45  1s 6d	8.00	£8 0s 0d	15.50	£15 10s 0d	1.83	£1 16s 9d	1.33	£1 6s 9d		0	0.00	0	1.00	£1 0s 0d	21.17	£21 3s 6d	1.00	
387	749.00	222.22	7.00	£222 4s 6d	10.00	£10 0s 0d	15.50	£15 10s 0d	132.14	£132 2s 10d	126.14	£126 2s 10d		£6 0s 0d	4.80	£4 16s 0d	6.66	£6 13s 4d	55.11	£55 2s 4d	1.00	
388	387.00	5.68	2.00	£5 13s 8d	0.00	0	1.50	£1 10s 0d	0.00	0	0.00	0		0	0.00	0	0.75	£0 15s 0d	4.33	£4 6s 8d		
390	750.00	101.30	3.00	£101  6s 0d	0.00	0	0.00	0	31.00	£31 0s 0d	0.00	0		£20 0s 0d	0.00	0	6.66	£6 13s 4d	64.00	£64 0s 0d	1.00	
392	751.00	317.53		£317 10s 8d	0.00	0	0.00	0	278.99	£278 19s 11d	258.99	£258 19s 11d		0	78.50	£78 10s 1d	2.00	£2 0s 0d	60.00	£60 0s 0d		
395	752.00	12.50	3.00	£12 10s 0d	5.50	£5 10s 0d	0.00	0	0.00	0	0.00	0		0	0.00	0	1.50	£1 10s 0d	5.50	£5 10s 0d	1.00	
397	753.00	31.07	3.00	£31  1s 8d	0.60	£0 12s 0d	5.00	£5 0s 0d	9.90	£9 18s 0d	0.00	0		0	0.00	0	3.00	£3 0s 0d	12.08	£12 1s 8d		
399	755.00	118.50	3.00	£118 10s 0d	63.00	£63 0s 0d	45.75	£45 15s 0d	6.00	£6 0s 0d	0.00	0		£6 0s 0d	12.50	£12 10s 0d	6.00	£6 0s 0d	21.00	£21 0s 0d	1.00	
400	399.00	24.75	6.00	£24 15s 0d	1.00	£1 0s 0d	4.83	£4 16s 8d	1.00	£1 0s  0d	0.00	0		£1 0s 0d	0.00	0	2.00	£2 0s 0d	15.35	£15 7s 0d	2.00	
401	756.00	18.10	3.00	£18  2s 0d	3.50	£3 10s 0d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	3.00	£3 0s 0d	10.60	£10 12s 0d	1.00	
402	757.00	113.75	5.00	£113 15s 0d	0.00	0	2.00	£2 0s 0d	0.00	0	0.00	0	0.00	0	78.50	£78 10s 0d	5.00	£5 0s 0d	22.33	£22 6s 8d	1.00	
404	758.00	31.47	6.00	£31  9s 4d	0.00	0	8.50	£8 10s 0d	14.00	£14 0s 0d	14.00	£14 0s 0d		0	1.30	£1 6s 0d	1.00	£1 0s 0d	6.66	£6 13s 4d	1.00	
405	759.00	177.00	1.00	£177  0s 0d	0.00	0	0.00	0	155.00	£155 0s 0d	0.00	0		£155 0s 0d	0.00	0	0.00	0	22.00	£22 0s 0d		
406	405.00	159.96		£159 19s 2d	66.00	£66 0s 0d	36.91	£36 18s 4d	19.50	£19 10s 0d	0.00	0		£19 0s 0d	11.50	£11 10s 0d	2.00	£2 0s 0d	23.29	£23 5s 10d		
407	761.00	120.00		£120  0s 0d	60.00	£60 0s 0d	20.00	£20 0s 0d	0.00	0	0.00	0	0.00	0	20.00	£20 0s 0d	5.00	£5 0s 0d	15.00	£15 0s 0d		
408	407.00	259.45	14.00	£259  9s 1d	93.88	£93 17s 8d	34.81	£34 16s 4d	29.68	£29 13s 8d	29.68	£29 13s 8d		0	14.55	£14 11s 0d	5.00	£5 0s 0d	72.17	£72 3s 6d	2.00	
409	763.00	40.10	9.00	£40  1s 8d	10.00	£10 0s 0d	12.00	£12 0s 0d	33.33	£33 6s 8d	0.00	0		£20 0s 0d	8.18	£8 3s 8d	3.00	£3 0s 0d	41.50	£41 10s 0d	2.00	Incorrect total on inventory actually about £100
413	412.00	71.29	4.00	£71  5s 9d	14.50	£14 10s 0d	42.00	£42 0s 0d	0.00	0	0.00	0	0.00	0	5.00	£5 0s 0d	0.00	0	9.08	£9 1s 9d		
417	416.00	6170.12	21.00	£6170  2s 6d	703.00	£703 0s 0d	68.00	£68 0s 0d	1221.52	£1221 10s 5d	802.57	£802 11s 5d		£?	0.00	0	0.00	0	196.17	£196 3s 5d	5.00	Leases numerous
418	764.00	807.65	9.00	£807 13s 0d	271.50	271 10s 0d	131.50	£131 10s 0d	266.65	£266 13s 0d	224.42	£224 8s 6d		0	132.00	£132 0s 0d	5.00	£5 0s 0d	45.00	£45 0s 0d	1.00	
419	765.00	43.97	3.00	£43 19s 4d	0.00	0	0.00	0	27.05	£27 1s 0d	20.00	£20 0s 0d		£6 0s 0d	0.00	0	1.00	£1 0s 0d	15.91	£15 18s 4d		
420	419.00	24.35		£24  7s 0d	0.00	0	0.00	0	20.00	£20 0s 0d	20.00	£20 0s 0d		0	0.00	0	1.35	£1 7s 0d	3.00	£3 0s 0d		
422	421.00	22.00	3.00	£22  0s 0d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	2.00	£2 0s 0d	20.00	£20 0s 0d	1.00	
423	766.00	99.75	16.00	£99 15s 0d	4.50	£4 10s 0d	1.20	£1 4s 0d	26.66	£26 13s 0d	0.00	0		£26 13s 4d	18.00	£18 0s 0d	1.50	£1 10s 0d	23.81	£23 16s 4d	2.00	
424	767.00	46.50	13.00	£46 11s 0d	0.00	0	0.00	0	20.00	£20 0s 0d	0.00	0	20.00	£20 0s 0d	0.00	0	2.00	£2 0s 0d	14.55	£14 11s 0d	2.00	Totals incorrect in MS
425	768.00	147.58	6.00	£147 11s 8d	36.63	£36 12s 8d	18.90	£18 18s 0d	0.00	0	0.00	0	0.00	0	22.40	£22 8s 0d	10.00	£10 0s 0d	51.88	£51 17s 8d	3.00	
426	769.00	159.05		£159  1s 0d	13.80	£13 16s 0d	0.00	0	98.35	£98 7s 0d	47.00	£47 0s 0d		£5 0s 0d	0.00	0	6.66	£6 13s 4d	47.00	£47 0s 0d	1.00	
427	770.00	24.17		£24  3s 6d	0.00	0	0.00	0	7.92	£7 18s 6d	5.92	£5 18s 6d		£2 0s 0d	0.00	0	3.00	£3 0s 0d	13.25	£13 5s 0d		
428	771.00	3.10		£3  2s 0d	0.00	0	0.00	0	1.50	£1 10s 0d	1.50	£1 10s 0d		0	0.00	0	0.00	0	2.60	£2 12s 0d	1.00	
429	428.00	7.33	4.00	£7  6s 6d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	1.50	£1 10s 0d	0.50	£0 10s 0d	5.03	£5 0s 8d	1.00	
430	772.00	67.50	2.00	£67 10s 0d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0		MS largely illegible
432	773.00	199.50	9.00	£199 10s 0d	31.00	£31 0s 0d	46.50	£46 10s 0d	0.00	0	0.00	0	0.00	0	19.16	£19 3s 4d	16.66	£16 13s 4d	83.33	£83 6s 8d	1.00	
436	774.00	24.38	5.00	£24  7s 8d	7.00	£7 0s 0d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	5.00	£5 0s 0d	12.83	£12 16s 8d	2.00	
437	775.00	148.70		£148 14s 0d	0.00	0	0.00	0	30.00	£30 0s 0d	20.00	£20 0s 0d		0	60.00	£60 0s 0d	5.00	£5 0s 0d	53.70	£53 14s 0d		
438	776.00	234.45	4.00	£234  9s 0d	5.00	£5 0s 0d	0.00	0	130.00	130 0s 0d	130.00	£130 0s 0d		0	60.00	£60 0s 0d	10.00	£10 0s 0d	53.45	£53 9s 0d		
439	777.00	33.80		£33 16s 0d	0.00	0	3.00	£3 0s 0d	14.85	£14 17s 0d	14.85	£14 17s 0d		0	0.00	0	3.00	£3 0s 0d	22.80	£22 16s 0d		
440	778.00	25.98	8.00	£25 19s 8d	1.50	£1 10s 0d	0.00	0	10.00	£10 0s 0d	0.00	0	0.00	0	0.00	0	0.50	£0 10s 0d	13.98	£13 19s 8d	1.00	
442	779.00	60.17	7.00	£60  3s 4d	17.33	£17 6s 8d	11.33	£11 6s 8d	0.00	0	0.00	0	0.00	0	0.00	0	3.00	£3 0s 0d	25.50	£25 10s 0d	1.00	
443	442.00	63.88	4.00	£63 17s 8d	22.08	£22 1s 8d	17.50	£17 10s 0d	0.00	0	0.00	0	0.00	0	0.00	0	4.00	£4 0s 0d	20.86	£20 17s 4d	1.00	He owed £43 debts
445	781.00	38.75	6.00	£38 15s 10d	0.00	0	2.75	£2 15s 0d	7.50	£7 10s 0d	7.50	£7 10s 0d		0	10.54	£10 10s 10d	3.00	£3 0s 0d	15.50	£15 10s 0d	1.00	
446	783.00	60.55	5.00	£60 11s 0d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	40.00	£40 0s 0d	4.00	£4 0s 0d	16.55	£16 11s 0d	2.00	
452	451.00	54.12	8.00	£54  2s 4d	25.25	£25 5s 0d	2.50	£2 10s 0d	0.00	0	0.00	0	0.00	0	8.34	£8 6s 10d	0.65	£0 13s 0d	12.93	£12 18s 8d	2.00	
453	784.00	54.32	5.00	£54  6s 4d	23.77	£23 15s 6d	1.50	£1 10s 0d	0.00	0	0.00	0	0.00	0	0.00	0	2.50	£2 10s 0d	26.53	£26 10s 8d	1.00	
454	785.00	21.28	4.00	£21  5s 8d	10.50	£10 10s 0d	2.95	£2 19s 0d	0.00	0	0.00	0	0.00	0	1.75	£1 15s 0d	1.00	£1 0s 0d	5.08	£5 1s 8d	1.00	
455	786.00	12.50		£12 10s 0d	0.00	0	0.00	0	7.50	£7 10s 0d	7.50	£7 10s 0d		0	0.00	0	2.00	£2 0s 0d	3.00	£3 0s 0d		
457	787.00	118.56	7.00	£118 11s 3d	17.20	£17 4s 0d	20.50	£20 10s 0d	0.00	0	0.00	0	0.00	0	0.00	0	10.00	£10 0s 0d		£?	1.00	Inventory not available in file
458	788.00	17.70		£17 14s 0d	0.00	0	0.00	0	12.50	£12 10s 0d	10.00	£10 0s 0d		0	0.00	0	5.00	£5 0s 0d	0.20	£0 4s 0d	1.00	
459	458.00	27.13	7.00	£27  2s 8d	0.00	0	0.00	0	4.00	£4 0s 0d	0.00	0		£4 0s 0d	0.60	£0 12s 0d	0.50	£0 10s 0d	22.03	£22 0s 8d	2.00	
460	789.00	37.55	2.00	£37 11s 0d	0.00	0	2.83	£2 16s 8d	18.68	£18 13s 9d	16.23	£16 4s 9d		0	0.00	0	3.50	£3 10s 0d	12.53	£12 10s 8d		
461	790.00	85.50	8.00	£85 10s 0d	0.00	0	2.50	£2 10s 0d	27.00	£27 0s 0d	9.00	£9 0s 0d		0	18.00	£18 0s 0d	4.00	£4 0s 0d	35.00	£35 0s 0d	1.00	
462	791.00	113.40		£113  8s 0d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	102.90	£102 18s 0d	0.00	0	10.50	£10 10s 0d		
465	792.00	452.05		£452  1s 0d	31.10	£31 2s 0d	119.30	£119 6s 0d	215.00	£215 0s 0d	0.00	0		£200 0s 0d	16.00	£16 0s 0d	15.00	£15 0s 0d	70.15	£70 3s 0d		
467	794.00	9.21	5.00	£9  4s 2d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	2.00	£2 0s 0d	7.20	£7 4s 2d		
469	796.00	102.82	18.00	£102 16s 4d	8.41	£8 8s 4d	16.75	£16 15s 0d	15.00	£15 0s 0d	0.00	0		£15 0s 0d	9.43	£9 8s 8d	3.00	£3 0s 0d	48.90	£48 18s 0d	2.00	He owed £67 12s 0d in bonds
470	797.00	17.12	2.00	£17  2s 4½d	0.00	0	5.00	£5 0s 0d	6.11	£6 2s 4d	6.00	£6 0s 0d		0	0.00	0	1.00	£1 0s 0d	4.91	£4 18s 4d		
471	798.00	31.40	1.00	£31  8s 0d	1.00	£1 0s 0d	0.00	0	20.00	£20 0s 0d	0.00	0		£20 0s 0d	4.00	£4 0s 0d	2.00	£2 0s 0d	7.00	£7 0s 0d	1.00	
474	799.00	61.77		£61 15s 4d	0.00	0	0.00	0	56.00	£56 0s 0d	0.00	0	0.00	0	0.00	0	3.00	£3 0s 0d	1.22	£1 4s 6d		
475	800.00	2.70		£2 14s 0d		0		0		0		0		0		0		0		0		amount not defined
476	802.00	23.80	3.00	£23 16s 0d	0.00	0	0.00	0	10.00	£10 0s 0d	10.00	£10 0s 0d		0	0.00	0	1.50	£1 10s 0d	13.80	£13 16s 0d	1.00	
477	804.00	1739.27		£1739  5s 6d	90.95	£90 19s 0d	530.50	£530 10s 0d	1034.47	£1034 9s 6d	109.97	£109 19s 6d		£690 0s 0d	0.00	0	10.50	£10 10s 0d	83.05	£83 1s 0d		
478	803.00	55.37	6.00	£55  7s 4d	0.00	0	0.00	0	26.00	£26 0s 0d	24.00	£24 0s 0d		0	16.25	£16 5s 0d	2.00	£2 0s 0d	19.80	£19 16s 0d		
480	805.00	5.75		£5 15s 0d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	3.00	£3 0s 0d	2.75	£2 15s 0d		
481	480.00	13.21	6.00	£13  4s 2d	0.00	0	0.00	0	3.00	£3 0s 0d	0.00	0		£3 0s 0d	5.19	£5 3s 10d	1.66	£1 13s 4d	3.35	£3 7s 0d		
482	481.00	10.33	4.00	£10  6s 8d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	2.00	£2 0s 0d	1.50	£1 10s 0d	6.83	£6 16s 8d	1.00	
483	807.00	660.02		£660  0s 4d	0.00	0	0.00	0	455.00	£455 0s 0d	395.00	£395 0s 0d		0	120.00	£120 0s 0d	8.00	£8 0s 0d	77.01	£77 0s 4d		
484	808.00	55.20		£55  4s 0d	30.00	£30 0s 0d	13.00	£13 0s 0d	6.00	£6 0s 0d	6.00	£6 0s 0d		0	7.00	£7 0s 0d	2.00	£2 0s 0d	4.20	£4 4s 0d		
486	485.00	25.58	2.00	£25 11s 8d	0.00	0	10.30	£10 6s 0d	5.00	£5 0s 0d	0.00	0		£5 0s 0d	0.00	0	1.00	£1 0s 0d	8.50	£8 10s 0d	1.00	
487	587.00	30.77		£30 15s 6d	0.00	0	0.00	0	2.16	£2 3s 6d	20.00	£20	0.00	0	0.00	0	0.00	0	8.00	£8	1.00	
