PLDID	SC	ID	Title	Fname	Sname	Status	Occup	Place	Role	Rel	RelTitle	RelFName	RelSName	RelStatus	RelOccup	RelPlace	Comment	Year
64.00	PLDSup	204	 	Katherine	Steevens	 	 		Party_2b	wife of		John	Steevens		Yeoman	Blackthorn		1616.00
65.00	PLDSup	205	Widow	Katherine	Stevens	 	 	Thame	Party_1	wife of		John	Stevens	dec.				1620.00
65.00	PLDSup	206	 	Henry	Vivars	 	Linnen Draper	Thame	Party_2									1620.00
66.00	PLDSup	207	 	Henry	Vivars	 	Linnen Draper	Thame	Party_1									1620.00
66.00	PLDSup	208	 	Robert	Stevens	 	Yeoman	Piddington	Party_2a									1620.00
66.00	PLDSup	209	 	William	Stevens	 	Yeoman	Blackthorn	Party_2b									1620.00
66.00	PLDSup	210	 	Richard	Stevens	 	Yeoman	Thame	Party_2c									1620.00
66.00	PLDSup	211	 	Katherine	Stevens	 	 		Tennant									1620.00
66.00	PLDSup	212	 	Mathew	Warters	 	 		Tennant									1620.00
66.00	PLDSup	213	 	Richard	Phippes	 	 		Tennant									1620.00
384.00	PLDSup	214	 	Richard	Mountaine	 	Drover	Thame	Seller									1682.00
384.00	PLDSup	215	 	John	Larence	Jnr	Mason	Thame	Joint Purchaser									1682.00
384.00	PLDSup	216	 	Elizabeth	Larence	 	 		Joint Purchaser	wife of		John	Larence	junior	Mason	Thame		1682.00
384.00	PLDSup	217	 	William	Bigg	 	 		Witness									1682.00
384.00	PLDSup	218	 	James	Nixon	 	 		Witness									1682.00
384.00	PLDSup	219	 	Christopher	North	 	 		Witness									1682.00
383.00	PLDSup	220	 	Oliver	St John	 	 		Justice									1654.00
383.00	PLDSup	221	 	Edward	Adkins	 	 		Justice									1654.00
383.00	PLDSup	222	 	Mathew	Hale	 	 		Justice									1654.00
383.00	PLDSup	223	 	John	Ballard	 	 		Joint Purchaser									1654.00
383.00	PLDSup	224	 	John	Mountaine	 	 		Joint Purchaser									1654.00
383.00	PLDSup	225	 	Robert	Longe	 	 		Joint Seller									1654.00
383.00	PLDSup	226	 	Sibell	Longe	 	 		Joint Seller	wife of		Robert	Longe					1654.00
383.00	PLDSup	227	 	Edmund	Andrewes	 	 		Joint Seller									1654.00
383.00	PLDSup	228	 	Mary	Andrewes	 	 		Joint Seller	wife of		Edmund	Andrewes					1654.00
332.00	PLDSup	229	 	Thomas	Heybourne	deceased	 	Latchford Gt Haseley	Mentioned	father of		Wm	Haybourne		Yeoman	Gt Haseley	Black Boy	1693.00
51.00	PLDSup	230	 	Owen	Hewitt	elder deceased	Joiner	 	Mentioned	husband of	Widow	Anne	Hewitt			New Thame		1755.00
39.00	PLDSup	231	 	William	Hide	Esquire deceased	 	Hurste Berks	Mentioned	father of		William	Hide	esq				1629.00
331.00	PLDSup	232	 	William	Ledwell	 	 	 	Mentioned	husband of		Charlotte	Ledwell				Swan	1758.00
41.00	PLDSup	233	 	Henry	Page	 	Innholder	 	Mentioned	father of		Wm	Page		Bridewell Keeper	Thame	Chequer Ale House	1759.00
132.00	PLDSup	234	 	Edward	Rose	 	 	 	Mentioned	grandfather of		Burrowe	Rose				Chequer Ale House	1785.00
65.00	PLDSup	235	 	John	Stevens	deceased	 	 	Mentioned	husband of	Widow	Katherine	Stevens					1620.00
9.00	PLDSup	236	 	Mathew	Warters	deceased	Mercer	Thame	Mentioned	father of		Robert	Warters	dec.	Tallow Chandler	Thame		1671.00
70.00	PLDSup	237	 	Robert	Warters	deceased	Tallow Chandler	Thame	Mentioned	husband of	Widow	Susanne	Warters					1670.00
185.00	PLDSup	238	Widow	Mary	Cock	deceased	 	Thame	Mentioned	device of		Clarke	Webb					1785.00
115.00	PLDSup	239	 	Thomas	White	 	Husbandman	Piddington	Mentioned	father of		Anne	White					1644.00
