SC	PLDID	P	Doc No	Type	Day	Month	Year	Property	Street	Place	Comment
PLD	296	0	Lin.XXII/i/4	deed			0.00	parsonage rectory or prebend		Thame	deeds re parsonage rectory or prebend of Thame and all tithe in 1711-1825
PLD	297	0	Lin.XXII/i/5	deed			0.00	parsonage rectory or prebend		Thame	deeds re parsonage rectory or prebend of Thame and all tithe in 1711-1825
PLD	298	0	Lin.XXII/i/6	deed			0.00	parsonage rectory or prebend		Thame	deeds re parsonage rectory or prebend of Thame and all tithe in 1711-1825
PLD	299	0	Lin.XXII/i/7	deed			0.00	parsonage rectory or prebend		Thame	deeds re parsonage rectory or prebend of Thame and all tithe in 1711-1825
PLD	300	0	Lin.XXII/i/8	deed			0.00	parsonage rectory or prebend		Thame	deeds re parsonage rectory or prebend of Thame and all tithe in 1711-1825
PLD	301	0	Gen.XXXIII/i/1	conveyance			1594.00	Thame Park		Thame	
PLD	302	0	Welch.C/iv/1	deed	0	0	0.00	Essex House	 Chinnor Road	Thame	
PLD	303	0	Welch.C/iv/2	deed	0	0	0.00	Essex House	 Chinnor Road	Thame	
PLD	304	0	Welch.C/iv/3	deed	0	0	0.00	Essex House	 Chinnor Road	Thame	
PLD	305	0	Welch.C/iv/4	deed	0	0	0.00	Essex House	 Chinnor Road	Thame	
PLD	306	0	Welch.C/iv/5	deed	0	0	0.00	Essex House	 Chinnor Road	Thame	
PLD	307	0	Welch.C/iv/6	deed	0	0	0.00	Essex House	 Chinnor Road	Thame	
PLD	308	0	Welch.C/iv/7	deed	0	0	0.00	Essex House	 Chinnor Road	Thame	
PLD	309	0	Welch.C/iv/8	deed	0	0	0.00	Essex House	 Chinnor Road	Thame	
PLD	310	0	Welch.C/iv/9	deed	0	0	0.00	Essex House	 Chinnor Road	Thame	
PLD	311	0	Welch.C/iv/10	deed	0	0	0.00	Essex House	 Chinnor Road	Thame	
PLD	312	0	Welch.C/iv/11	deed	0	0	0.00	Essex House	 Chinnor Road	Thame	
PLD	313	0	Welch.C/iv/12	deed	0	0	0.00	Essex House	 Chinnor Road	Thame	
PLD	314	0	Welch.C/iv/13	deed	0	0	0.00	Essex House	 Chinnor Road	Thame	
PLD	315	0	Welch.C/iv/14	deed	0	0	0.00	Essex House	 Chinnor Road	Thame	
PLD	316	0	Welch.C/iv/15	deed	0	0	0.00	Essex House	 Chinnor Road	Thame	
PLD	317	0	Welch.C/iv/16	deed	0	0	0.00	Essex House	 Chinnor Road	Thame	
