SC	PLDID	P	Doc No	Type	Day	Month	Year	Property	Street	Place	Comment
PLD	140	0	Li.XV/i/d/2	release	5	3	1817.00	messuage	High St	New Thame	
PLD	141	0	Li.XV/i/d/3	fire insurance policy	8	5	1817.00	messuage	High St	New Thame	
PLD	142	0	Li.XV/i/d/4	lease	16	5	1832.00	messuage	High St	New Thame	
PLD	143	0	Li.XV/i/d/5	mortgage	17	5	1822.00	messuage	High St	New Thame	
PLD	144	0	Li.XV/i/d/6	final concord	20	5	1832.00	messuage	High St	New Thame	
PLD	145	0	Li.XV/i/d/7	lease	27	6	1838.00	messuage	High St	New Thame	
PLD	146	0	Li.XV/i/d/8	deeds	28	6	1838.00	messuage	High St	New Thame	all property to Thomas Howland of Thame Baker at an auction of Richard Stones estate.
PLD	147	0	Li.XV/i/d/9	deed of apportionment	14	10	1844.00	messuage	High St	New Thame	
PLD	148	1	Li.XV/ii/a/1	article of agreement	16	7	1746.00			Thame	agreement to provide food and drink for John Wheeler whilst he is apprenticed to learn the art of gingerbread baking and biscuit making
PLD	149	0	Li.XV/ii/a/2	bond	16	6	1749.00			Thame	
PLD	150	1	Li.XV/ii/b/1	lease for a year	3	7	1795.00	dwelling house		Thame	
PLD	151	0	Li.XV/ii/b/2	release	4	7	1745.00	dwelling house		Thame	
PLD	152	0	Li.XV/ii/b/3	receipt for rent	29	7	1795.00			Thame	£1 for 4 years rent
PLD	153	0	Li.XV/ii/c/7	copy of will	21	9	1660.00			Thame	will of Mathew Warters of Thame mercer
PLD	154	0	Li.XV/ii/c/12	feoffment	8	8	1676.00	2 messuage		Thame	
PLD	155	0	Li.XV/ii/c/13	feoffment	8	8	1676.00			Thame	copy of Li.XV/ii/c/11
PLD	156	0	Li.XV/ii/c/17	lease	13	5	1795.00			Thame	
PLD	157	0	Li.XV/ii/c/18	release	14	5	1795.00			Thame	
PLD	158	0	Li.XV/ii/c/20	mortgage	1	11	1819.00	messuage		Thame	
PLD	159	0	Li.XV/ii/c/22	further charge	28	2	1822.00			Thame	
PLD	160	0	Li.XV/ii/c/23	bond	28	2	1822.00			Thame	
PLD	161	0	Li.XV/ii/d/1	will	20	9	1803.00			Thame	will of John Wheeler gingerbread maker
PLD	162	0	Li.XV/ii/d/2	lease	14	4	1824.00	2 cottages in north quarter	High St	New Thame	
PLD	163	0	Li.XV/ii/d/3	release	15	4	1824.00	2 cottages in north quarter	High St	New Thame	
PLD	164	0	Li.XV/ii/d/4	lease	8	5	1838.00	2 cottages in north quarter	High St	New Thame	
PLD	165	0	Li.XV/ii/d/5	release	9	5	1838.00	2 cottages in north quarter	High St	New Thame	
PLD	166	0	Li.XV/iii/1	lease	19	3	1840.00	2 cottages in north quarter	High St	New Thame	
PLD	167	0	Li.XV/iii/2	release	20	3	1840.00	2 cottages in north quarter	High St	New Thame	
PLD	168	0	Li.XV/iii/3	conveyance	18	1	1870.00	2 cottages in north quarter	High St	New Thame	
PLD	169	0	Li.XVI/i/a/5	lease	11	9	1764.00	2 messuages		Thame	
PLD	170	0	Li.XVI/i/a/3	will	24	2	1748.00	2 freehold tenements		Thame	
PLD	171	0	Li.XVI/i/a/4	will	24	2	1748.00			Thame	copy of Li.XVI/i/a/3
PLD	172	0	Li.XVI/ii/1	lease	12	12	1808.00	2 messuages		Thame	
PLD	173	0	Li.XVI/ii/2	release	13	12	1808.00	2 messuages		Thame	
PLD	174	0	Li.XVI/ii/3	final concord	20	1	1809.00	3 messuages and 3 gardens		Thame	
PLD	175	0	Li.XVI/ii/4	lease	25	3	1837.00	2 messuages		Thame	
PLD	176	0	Li.XVI/ii/5	release	26	8	1837.00	2 messuages		Thame	
PLD	177	0	Li.XVI/ii/6	deed	19	10	1837.00	2 messuages		Thame	
PLD	178	0	Li.XVII/i/1	copy of court roll	19	10	1775.00	3 cottages		Thame	
PLD	179	0	Li.XVI/i/a/6	release	12	9	1764.00	2 messuages		Thame	
PLD	180	0	Li.XVII/i/3	lease	18	8	1817.00	cottages		Thame	
PLD	181	0	Li.XVII/i/4				0.00			Thame	
PLD	182	0	Li.XVII/ii/1				0.00			Thame	
PLD	183	0	Li.XVII/iii/6				0.00			Thame	
PLD	184	0	Li.XVII/iv/1				0.00			Thame	
PLD	185	1	Li.XVII/v/3	lease for a year	8	7	1785.00	tenement called the George		Thame	
PLD	186	0	Li.XVII/v/4				0.00			Thame	
PLD	187	1	Li.XVII/v/5	bond of indemnity	9	7	1785.00	messuage known by the sign of the George		Thame	
PLD	188	1	Li.XVII/v/6	lease for a year	22	3	1786.00	messuage known by the sign of the George		Thame	
PLD	189	0	Li.XVII/vii/1				0.00			Thame	
PLD	190	0	Li.XVII/vii/2				0.00			Thame	
PLD	191	0	Li.XVII/vii/3				0.00			Thame	
PLD	192	0	Li.XVII/vii/4				0.00			Thame	
PLD	193	0	Li.XVII/vii/5				0.00			Thame	
PLD	194	0	Li.XVII/vii/6				0.00			Thame	
PLD	195	0	Li.XVII/vii/7				0.00			Thame	
PLD	196	0	Li.XVII/vii/8				0.00			Thame	
PLD	197	0	Li.XVII/vii/9				0.00			Thame	
PLD	198	0	Li.XVII/vii/10				0.00			Thame	
PLD	199	0	Li.XVII/vii/11				0.00			Thame	
PLD	200	0	Li.XVII/viii/3				0.00			Thame	
PLD	201	0	Li.XVII/x/1				0.00			Thame	
PLD	202	0	Li.XVII/x/2				0.00			Thame	
PLD	203	0	Li.XVII/x/3				0.00			Thame	
PLD	204	0	Li.XVII/x/4				0.00			Thame	
PLD	205	0	Li.XVII/xi/5				0.00			Thame	
PLD	206	0	Li.XVII/xi/9				0.00			Thame	
PLD	207	0	Li.XVII/xi/10				0.00			Thame	
PLD	208	0	Li.XVII/xi/13				0.00			Thame	
PLD	209	0	Li.XVII/xi/14				0.00			Thame	
PLD	210	0	Li.XVII/xi/15				0.00			Thame	
PLD	211	0	Li.XVII/xi/16				0.00			Thame	
PLD	212	0	Li.XVII/xi/17				0.00			Thame	
PLD	213	0	Li.XVII/xi/20				0.00			Thame	
PLD	214	0	Li.XVII/xi/21				0.00			Thame	
PLD	215	0	Li.XVII/xi/22				0.00			Thame	
PLD	216	0	Li.XVII/xi/23				0.00			Thame	
PLD	217	0	Li.XX/vi/1				0.00			Thame	
PLD	218	0	Li.XX/viii/1				0.00			Thame	
PLD	219	0	Li.XX/viii/8				0.00			Thame	
PLD	220	0	Li.XX/viii/12				0.00			Thame	
PLD	221	0	Parrott I	deed and lease			0.00	Horsham Mead		Thame	deeds and leases 1553-1649 particularly concerned with Horsham Mead
PLD	222	0	Parrott II/1	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	223	0	Parrott II/2	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	224	0	Parrott II/3	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	225	0	Parrott II/4	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	226	0	Parrott II/5	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	227	0	Parrott II/6	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	228	0	Parrott II/7	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	229	0	Parrott II/8	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	230	0	Parrott II/9	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	231	0	Parrott II/10	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	232	0	Parrott II/11	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	233	0	Parrott II/12	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	234	0	Parrott II/13	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	235	0	Parrott II/14	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	236	0	Parrott II/43	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	237	0	Parrott II/44	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	238	0	Parrott II/45	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	239	0	Parrott II/46	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	240	0	Parrott II/47	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	241	0	Parrott II/48	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	242	0	Parrott II/49	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	243	0	Parrott II/50	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	244	0	Parrott II/51	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	245	0	Parrott II/52	deed and lease			0.00			Thame	deed and leases of Lambourne family 1631-1713
PLD	246	0	Parrott IV	deed and lease			0.00			Thame	deed and leases of Burnard & Stone  families 1748-1838
PLD	247	0	Misc.Yorks.NR.III/iii/1	final concord			1760.00			Thame	final concord of 2 messuages and other property in Thame
PLD	248	1	Misc.Su.L/ii/1	marriage agreement	9	3	1752.00	messuage called the Kings Head		Thame	marriage agreement
PLD	249	1	Misc.Bra.XXVI/1	deed poll	9	11	1583.00	messuage and appurtenence		Thame	
PLD	250	1	Misc.Bra.XXVII/ii/1	marriage settlement			1759.00	Swan Inn and 2 messuages		Thame	
PLD	251	0	Misc.Bod.XIX/i	lease			1711.00			Thame	lease and counterparts of property of Richard Lord Wenman 1711-1717
