struct_idx	OldPhillimore	NewPhillimore
14114	1.00E+45	"1,202"
14115	1.00E+46	"1,203"
14116	1.00E+47	"1,204"
14117	1.00E+48	"1,205"
14118	1.00E+49	"1,206"
14119	1.00E+50	"1,207"
14120	1.00E+51	"1,208"
14121	1.00E+52	"1,209"
14122	1.00E+53	"1,210"
14123	1.00E+54	"1,211"
14124	1.00E+55	"1,212"
14125	1.00E+56	"1,213"
14126	1.00E+57	"1,214"
14127	1.00E+58	"1,215"
14128	1.00E+59	"1,216"
14129	1.00E+60	"1,217"
14130	1W1	"1,218"
14131	1W2	"1,219"
14132	1W3	"1,220"
14133	1W4	"1,221"
14134	1W5	"1,222"
14135	1W6	"1,223"
14136	1W7	"1,224"
14137	1W8	"1,225"
14138	1W9	"1,226"
14139	1W10	"1,227"
14140	1W11	"1,228"
14141	1W12	"1,229"
14142	1W13	"1,230"
14143	1W14	"1,231"
14144	1W15	"1,232"
14145	1W16	"1,233"
14146	1W17	"1,234"
14147	1W18	"1,235"
14148	1W19	"1,236"
14149	1W20	"1,237"
14150	1W21	"1,238"
14151	1W22	"1,239"
14152	1W23	"1,240"
14153	1W24	"1,241"
14154	1W25	"1,242"
14155	1W26	"1,243"
14156	1W27	"1,244"
14157	1W28	"1,245"
14158	1W29	"1,246"
14159	1W30	"1,247"
14160	1W31	"1,248"
14161	1W32	"1,249"
14162	1W33	"1,250"
14163	1W34	"1,251"
14164	1W35	"1,252"
14165	1W36	"1,253"
14166	1W37	"1,254"
14167	1W38	"1,255"
14168	1W39	"1,256"
14169	1W40	"1,257"
14170	1W41	"1,258"
14171	1W42	"1,259"
14172	1W43	"1,260"
14173	1W44	"1,261"
14174	1W45	"1,262"
14175	1W46	"1,263"
14176	1W47	"1,264"
14177	1W48	"1,265"
14178	1W49	"1,266"
14179	1W50	"1,267"
14180	1W51	"1,268"
14181	1W52	"1,269"
14182	1W53	"1,270"
14183	1W54	"1,271"
14184	1W55	"1,272"
14185	1W56	"1,273"
