place_id	struct_idx	county	phillimore	borough_place	holding	units	value
2660	2423	WIL	M14	Malmesbury	0.5	messuages	
2680	2424	WIL	M15	Malmesbury	1	messuages	
2700	2425	WIL	M16	Malmesbury	2	messuages	0
2720	2426	WIL	M17	Malmesbury	1	messuages	0
2800	2430	WIL	B1	Wilton		value	50
2820	2431	WIL	B2	Wiltshire		payments	16.41
2840	2432	WIL	B3	Salisbury	0.5	mills	1
2860	2433	WIL	B4	Salisbury		value	6
2880	2433	WIL	B4	Marlborough		value	4
2900	2433	WIL	B4	Cricklade		value	5
2920	2433	WIL	B4	Bath		value	11
2940	2433	WIL	B4	Malmesbury		value	6
2960	2433	WIL	B4	Wiltshire		value	60
2980	2434	WIL	B5	Malmesbury		value	13
3000	2434	WIL	B5	Malmesbury		mint	5
3020	2434	WIL	B5	Malmesbury	1	acres	
3040	2434	WIL	B5	Malmesbury	10	messuages	
3060	2434	WIL	B5	Malmesbury	1	mills	0.5
3080	3086	DOR	B1	Dorchester	10	geld	0.66
3100	3086	DOR	B1	Dorchester	88	houses	
3120	3087	DOR	B2	Bridport	5	geld	0.33
3140	3087	DOR	B2	Bridport	100	houses	
3160	3088	DOR	B3	Wareham	10	geld	0.66
3180	3088	DOR	B3	Wareham	70	houses	
3200	3089	DOR	B4	Shaftesbury	20	geld	
3220	3089	DOR	B4	Shaftesbury	28	houses	
3240	3089	DOR	B4	Shaftesbury	151	burgesses	3.25
3260	4442	DEV	C1	Exeter	285	houses	
3280	4443	DEV	C2	Exeter		payments	18
3300	4444	DEV	C3	Exeter		-	
3320	4445	DEV	C4	London		-	
3340	4445	DEV	C4	York		-	
3360	4445	DEV	C4	Winchester		-	
3380	4445	DEV	C4	Exeter		-	
3400	4446	DEV	C5	Exeter	5	geld	
3420	4447	DEV	C6	Barnstaple	1.66	geld	
3440	4447	DEV	C6	Lydford	1.66	geld	
3460	4447	DEV	C6	Totnes	1.66	geld	
3480	4447	DEV	C6	Exeter		-	
3500	4448	DEV	C7	Exeter	12	ploughlands	
3520	6123	HRT	B1	Hertford	0	geld	
3540	6124	HRT	B2	Hertford	3	houses	
3560	6125	HRT	B3	Hertford	3	houses	
3580	6126	HRT	B4	Hertford	3	houses	
3600	6127	HRT	B5	Hertford	2	houses	
3620	6127	HRT	B5	Hertford	1	garden	
3640	6128	HRT	B6	Hertford	18	burgesses	
3660	6129	HRT	B7	Hertford	1	houses	
3680	6129	HRT	B7	Hertford	2	churches	
3700	6130	HRT	B8	Hertford	7	houses	
3720	6131	HRT	B9	Hertford	2	houses	
3740	6132	HRT	B10	Hertford	15	houses	
3760	6133	HRT	B11	Hertford	3	mills	10
3780	6133	HRT	B11	Hertford		value	20
3800	6511	BUK	B1	Buckingham		-	
3820	6511	BUK	B1	Bourton		-	
3840	6512	BUK	B2	Buckingham		-	
3860	6513	BUK	B3	Buckingham	3	burgesses	0.38
3880	6514	BUK	B4	Buckingham	1	burgesses	0.12
3900	6515	BUK	B5	Buckingham	1	burgesses	0.08
3920	6516	BUK	B6	Buckingham	4	burgesses	0.42
3940	6517	BUK	B7	Buckingham	4	burgesses	0.16
3960	6518	BUK	B8	Buckingham	4	burgesses	0.12
3980	6519	BUK	B9	Buckingham	1	burgesses	0.07
4000	6520	BUK	B10	Buckingham	1	burgesses	0.11
4020	6521	BUK	B11	Buckingham	2	burgesses	0.06
4040	6522	BUK	B12	Buckingham	1	burgesses	8.33E-03
4060	6523	BUK	B13	Buckingham	5	burgesses	0.25
4080	6975	OXF	B1	Oxford		-	
4100	6976	OXF	B2	Oxford		-	
4120	6977	OXF	B3	Oxford		value	60
4140	6978	OXF	B4	Oxford	721	houses	
4160	6979	OXF	B5	Shipton[-under-Wychwood]	1	messuages	0.02
4180	6979	OXF	B5	Bloxham	1	messuages	0.01
4200	6979	OXF	B5	[Princes] Risborough	1	messuages	0.12
4220	6979	OXF	B5	Twyford	2	messuages	0.01
4240	6979	OXF	B5	Oxford	20	messuages	0.69
4260	6980	OXF	B6	Burford	1	messuages	0.25
4280	6980	OXF	B6	Oxford	2	messuages	0.11
4300	6980	OXF	B6	Oxford	1	churches	
4320	6981	OXF	B7	Oxford	9	messuages	0.35
4340	6982	OXF	B8	Taynton	1	messuages	0.02
4360	6982	OXF	B8	Oxford	96	messuages	2.93
4380	6982	OXF	B8	Oxford	1	churches	
4400	6983	OXF	B9	Hampton	1	messuages	0.02
4420	6983	OXF	B9	Bletchingdon	1	messuages	0.01
4440	6983	OXF	B9	Oxford	81	messuages	3.7
4460	6984	OXF	B10	Oxford	66	messuages	3.15
4480	6984	OXF	B10	Oxford	13	houses	0.56
4500	6985	OXF	B11	Oxford		pasture	0.33
4520	7427	GLS	G1	Gloucester		payments	80
4540	7428	GLS	G2	Gloucester	1	houses	
4560	7428	GLS	G2	Gloucester	1	fisheries	
4580	7429	GLS	G3	Gloucester		payments	0.5
4600	7430	GLS	G4	Gloucester	22	messuages	1.22
4620	7453	GLS	B1	Winchcombe		payments	28
4640	7935	WOR	C1	Worcester	15	geld	
4660	7935	WOR	C1	London		-	
4680	7936	WOR	C2	Worcester		payments	56.25
4700	7937	WOR	C3	Worcester		value	0
4720	7938	WOR	C4	Worcester		-	
4740	7939	WOR	C5	Worcester		-	
4760	8242	HEF	C1	Hereford		-	
4780	8243	HEF	C2	Hereford		-	
4800	8244	HEF	C3	Marden		-	
4820	8244	HEF	C3	Wormelow [Tump]		-	
4840	8244	HEF	C3	Hereford		-	
4860	8245	HEF	C4	Hereford		-	
4880	8246	HEF	C5	Hereford		-	
4900	8247	HEF	C6	Hereford		-	
4920	8248	HEF	C7	Hereford		-	
4940	8249	HEF	C8	Hereford		-	
4960	8250	HEF	C9	Hereford		-	
4980	8251	HEF	C10	Hereford		-	
5000	8252	HEF	C11	Hereford		-	
5020	8253	HEF	C12	Hereford		-	
5040	8254	HEF	C13	Hereford		-	
5060	8255	HEF	C14	Hereford		-	
5080	8256	HEF	C15	Hereford		value	60
5100	8703	CAM	B1	Cambridge	15	burgesses	0
5120	8703	CAM	B1	Cambridge	100	geld	
5140	8704	CAM	B2	Cambridge	48	messuages	
5160	8704	CAM	B2	Cambridge	14	burgesses	0
5180	8705	CAM	B3	Cambridge	30	messuages	
5200	8706	CAM	B4	Cambridge	21	messuages	
5220	8707	CAM	B5	Cambridge	49	messuages	
5240	8708	CAM	B6	Cambridge	3	messuages	0
5260	8709	CAM	B7	Cambridge	1	messuages	0
5280	8710	CAM	B8	Cambridge	29	messuages	
5300	8711	CAM	B9	Cambridge	29	messuages	
5320	8712	CAM	B10	Cambridge		value	14.09
5340	8713	CAM	B11	Cambridge		pasture	
5360	8714	CAM	B12	Cambridge	5	mills	9
5380	8714	CAM	B12	Cambridge		pasture	
5400	8715	CAM	B13	Cambridge		customary dues	8
5420	8716	CAM	B14	Cambridge		customary dues	1
5440	9209	HUN	B1	Huntingdon	116	burgesses	
5460	9209	HUN	B1	Huntingdon	100	smallholders	
