struct_idx	county	phillimore	text_type
255	KEN	"5,81"	E
256	KEN	"5,82"	E
257	KEN	"5,83"	E
258	KEN	"5,84"	E
259	KEN	"5,85"	E
260	KEN	"5,86"	E
261	KEN	"5,87"	E
262	KEN	"5,88"	E
263	KEN	"5,89"	E
264	KEN	"5,90"	E
265	KEN	"5,91"	E
266	KEN	"5,92"	E
267	KEN	"5,93"	E
268	KEN	"5,94"	E
269	KEN	"5,95"	E
270	KEN	"5,96"	E
271	KEN	"5,97"	E
272	KEN	"5,98"	E
273	KEN	"5,99"	E
274	KEN	"5,100"	E
275	KEN	"5,101"	E
276	KEN	"5,102"	E
277	KEN	"5,103"	E
278	KEN	"5,104"	E
279	KEN	"5,105"	E
280	KEN	"5,106"	E
281	KEN	"5,107"	E
282	KEN	"5,108"	E
283	KEN	"5,109"	E
284	KEN	"5,110"	E
285	KEN	"5,111"	E
286	KEN	"5,112"	E
287	KEN	"5,113"	E
288	KEN	"5,114"	E
289	KEN	"5,115"	E
290	KEN	"5,116"	E
291	KEN	"5,117"	E
292	KEN	"5,118"	E
293	KEN	"5,119"	E
294	KEN	"5,120"	E
295	KEN	"5,121"	E
296	KEN	"5,122"	E
297	KEN	"5,123"	E
298	KEN	"5,124"	E
299	KEN	"5,125"	E
300	KEN	"5,126"	E
301	KEN	"5,127"	E
302	KEN	"5,128"	E
303	KEN	"5,129"	E
304	KEN	"5,130"	E
305	KEN	"5,131"	E
306	KEN	"5,132"	E
307	KEN	"5,133"	E
308	KEN	"5,134"	E
309	KEN	"5,135"	E
310	KEN	"5,136"	E
311	KEN	"5,137"	E
312	KEN	"5,138"	E
313	KEN	"5,139"	E
314	KEN	"5,140"	E
315	KEN	"5,141"	E
316	KEN	"5,142"	E
317	KEN	"5,143"	E
318	KEN	"5,144"	E
319	KEN	"5,145"	E
320	KEN	"5,146"	E
321	KEN	"5,147"	E
322	KEN	"5,148"	E
323	KEN	"5,149"	E
324	KEN	"5,150"	E
325	KEN	"5,151"	E
326	KEN	"5,152"	E
327	KEN	"5,153"	E
328	KEN	"5,154"	E
329	KEN	"5,155"	E
330	KEN	"5,156"	E
331	KEN	"5,157"	E
332	KEN	"5,158"	E
333	KEN	"5,159"	E
334	KEN	"5,160"	E
335	KEN	"5,161"	E
336	KEN	"5,162"	E
337	KEN	"5,163"	E
338	KEN	"5,164"	E
339	KEN	"5,165"	E
340	KEN	"5,166"	E
341	KEN	"5,167"	E
342	KEN	"5,168"	E
343	KEN	"5,169"	E
344	KEN	"5,170"	E
345	KEN	"5,171"	E
346	KEN	"5,172"	E
347	KEN	"5,173"	E
348	KEN	"5,174"	E
349	KEN	"5,175"	E
350	KEN	"5,176"	E
351	KEN	"5,177"	E
352	KEN	"5,178"	E
353	KEN	"5,179"	E
354	KEN	"5,180"	E
355	KEN	"5,181"	E
356	KEN	"5,182"	E
357	KEN	"5,183"	E
358	KEN	"5,184"	E
359	KEN	"5,185"	E
360	KEN	"5,186"	E
361	KEN	"5,187"	E
362	KEN	"5,188"	E
363	KEN	"5,189"	E
364	KEN	"5,190"	E
365	KEN	"5,191"	E
366	KEN	"5,192"	E
367	KEN	"5,193"	E
368	KEN	"5,194"	E
369	KEN	"5,195"	E
370	KEN	"5,196"	E
371	KEN	"5,197"	E
372	KEN	"5,198"	E
373	KEN	"5,199"	E
374	KEN	"5,200"	E
375	KEN	"5,201"	E
376	KEN	"5,202"	E
377	KEN	"5,203"	E
378	KEN	"5,204"	E
379	KEN	"5,205"	E
380	KEN	"5,206"	E
381	KEN	"5,207"	E
382	KEN	"5,208"	E
383	KEN	"5,209"	E
384	KEN	"5,210"	E
385	KEN	"5,211"	E
386	KEN	"5,212"	E
387	KEN	"5,213"	E
388	KEN	"5,214"	E
389	KEN	"5,215"	E
390	KEN	"5,216"	E
391	KEN	"5,217"	E
392	KEN	"5,218"	E
393	KEN	"5,219"	E
394	KEN	"5,220"	E
395	KEN	"5,221"	E
396	KEN	"5,222"	E
397	KEN	"5,223"	E
398	KEN	"5,224"	E
399	KEN	"5,225"	E
401	KEN	"6,1"	E
403	KEN	"7,1"	E
404	KEN	"7,2"	E
405	KEN	"7,3"	E
406	KEN	"7,4"	E
407	KEN	"7,5"	E
408	KEN	"7,6"	E
409	KEN	"7,7"	E
410	KEN	"7,8"	E
411	KEN	"7,9"	E
412	KEN	"7,10"	E
413	KEN	"7,11"	E
414	KEN	"7,12"	E
415	KEN	"7,13"	E
416	KEN	"7,14"	E
417	KEN	"7,15"	E
418	KEN	"7,16"	E
419	KEN	"7,17"	E
420	KEN	"7,18"	E
421	KEN	"7,19"	E
422	KEN	"7,20"	E
423	KEN	"7,21"	E
424	KEN	"7,22"	E
425	KEN	"7,23"	E
