struct_idx	phillimore	county	text_type
17647	"SW,Sf8"	YS	E
17647	"SW,Sf8"	YS	E
17647	"SW,Sf8"	YS	E
17648	"SW,Sf9"	YS	E
17648	"SW,Sf9"	YS	E
17648	"SW,Sf9"	YS	E
17649	"SW,Sf10"	YS	E
17649	"SW,Sf10"	YS	E
17649	"SW,Sf10"	YS	E
17649	"SW,Sf10"	YS	E
17650	"SW,Sf11"	YS	E
17650	"SW,Sf11"	YS	E
17650	"SW,Sf11"	YS	E
17650	"SW,Sf11"	YS	E
17651	"SW,Sf12"	YS	E
17651	"SW,Sf12"	YS	E
17651	"SW,Sf12"	YS	E
17652	"SW,Sf13"	YS	E
17652	"SW,Sf13"	YS	E
17652	"SW,Sf13"	YS	E
17653	"SW,Sf14"	YS	E
17653	"SW,Sf14"	YS	E
17653	"SW,Sf14"	YS	E
17654	"SW,Sf15"	YS	E
17654	"SW,Sf15"	YS	E
17654	"SW,Sf15"	YS	E
17654	"SW,Sf15"	YS	E
17655	"SW,Sf16"	YS	E
17655	"SW,Sf16"	YS	E
17655	"SW,Sf16"	YS	E
17655	"SW,Sf16"	YS	E
17655	"SW,Sf16"	YS	E
17655	"SW,Sf16"	YS	E
17655	"SW,Sf16"	YS	E
17655	"SW,Sf16"	YS	E
17655	"SW,Sf16"	YS	E
17655	"SW,Sf16"	YS	E
17655	"SW,Sf16"	YS	E
17656	"SW,Sf17"	YS	E
17656	"SW,Sf17"	YS	E
17656	"SW,Sf17"	YS	E
17656	"SW,Sf17"	YS	E
17657	"SW,Sf18"	YS	E
17657	"SW,Sf18"	YS	E
17658	"SW,Sf19"	YS	E
17658	"SW,Sf19"	YS	E
17658	"SW,Sf19"	YS	E
17659	"SW,Sf20"	YS	E
17659	"SW,Sf20"	YS	E
17659	"SW,Sf20"	YS	E
17660	"SW,Sf21"	YS	E
17660	"SW,Sf21"	YS	E
17660	"SW,Sf21"	YS	E
17660	"SW,Sf21"	YS	E
17660	"SW,Sf21"	YS	E
17660	"SW,Sf21"	YS	E
17660	"SW,Sf21"	YS	E
17660	"SW,Sf21"	YS	E
17660	"SW,Sf21"	YS	E
17660	"SW,Sf21"	YS	E
17660	"SW,Sf21"	YS	E
17660	"SW,Sf21"	YS	E
17661	"SW,Sf22"	YS	E
17661	"SW,Sf22"	YS	E
17662	"SW,Sf23"	YS	E
17662	"SW,Sf23"	YS	E
17662	"SW,Sf23"	YS	E
17663	"SW,Sf24"	YS	E
17663	"SW,Sf24"	YS	E
17664	"SW,Sf25"	YS	E
17664	"SW,Sf25"	YS	E
17664	"SW,Sf25"	YS	E
17665	"SW,Sf26"	YS	E
17665	"SW,Sf26"	YS	E
17665	"SW,Sf26"	YS	E
17666	"SW,Sf27"	YS	E
17666	"SW,Sf27"	YS	E
17667	"SW,Sf28"	YS	E
17667	"SW,Sf28"	YS	E
17667	"SW,Sf28"	YS	E
17667	"SW,Sf28"	YS	E
17668	"SW,Sf29"	YS	E
17668	"SW,Sf29"	YS	E
17668	"SW,Sf29"	YS	E
17669	"SW,Sf30"	YS	E
17669	"SW,Sf30"	YS	E
17669	"SW,Sf30"	YS	E
17669	"SW,Sf30"	YS	E
17669	"SW,Sf30"	YS	E
17669	"SW,Sf30"	YS	E
17669	"SW,Sf30"	YS	E
17670	"SW,Sf31"	YS	E
17670	"SW,Sf31"	YS	E
17670	"SW,Sf31"	YS	E
17671	"SW,Sf32"	YS	E
17671	"SW,Sf32"	YS	E
17671	"SW,Sf32"	YS	E
17672	"SW,Sf33"	YS	E
17672	"SW,Sf33"	YS	E
17672	"SW,Sf33"	YS	E
17673	"SW,Sf34"	YS	E
17673	"SW,Sf34"	YS	E
17673	"SW,Sf34"	YS	E
17673	"SW,Sf34"	YS	E
17673	"SW,Sf34"	YS	E
17673	"SW,Sf34"	YS	E
17673	"SW,Sf34"	YS	E
17673	"SW,Sf34"	YS	E
17674	"SW,Sf35"	YS	E
17674	"SW,Sf35"	YS	E
17674	"SW,Sf35"	YS	E
17675	"SW,Sf36"	YS	E
17675	"SW,Sf36"	YS	E
17675	"SW,Sf36"	YS	E
17675	"SW,Sf36"	YS	E
17676	"SW,Sf37"	YS	E
17676	"SW,Sf37"	YS	E
17676	"SW,Sf37"	YS	E
17676	"SW,Sf37"	YS	E
17677	"SW,O1"	YS	E
17677	"SW,O1"	YS	E
17678	"SW,O2"	YS	E
17678	"SW,O2"	YS	E
17678	"SW,O2"	YS	E
17679	"SW,O3"	YS	E
17679	"SW,O3"	YS	E
17680	"SW,O4"	YS	E
17680	"SW,O4"	YS	E
17680	"SW,O4"	YS	E
17681	"SW,O5"	YS	E
17681	"SW,O5"	YS	E
17681	"SW,O5"	YS	E
17681	"SW,O5"	YS	E
17682	"SW,O6"	YS	E
17682	"SW,O6"	YS	E
17683	"SW,O7"	YS	E
17683	"SW,O7"	YS	E
17683	"SW,O7"	YS	E
17684	"SW,O8"	YS	E
17684	"SW,O8"	YS	E
17685	"SW,O9"	YS	E
17685	"SW,O9"	YS	E
17685	"SW,O9"	YS	E
17686	"SW,O10"	YS	E
17686	"SW,O10"	YS	E
17686	"SW,O10"	YS	E
17687	"SW,O11"	YS	E
17687	"SW,O11"	YS	E
17687	"SW,O11"	YS	E
17687	"SW,O11"	YS	E
17688	"SW,O12"	YS	E
17688	"SW,O12"	YS	E
17688	"SW,O12"	YS	E
17689	"SW,O13"	YS	E
17689	"SW,O13"	YS	E
17689	"SW,O13"	YS	E
17690	"SW,O14"	YS	E
17690	"SW,O14"	YS	E
17690	"SW,O14"	YS	E
17690	"SW,O14"	YS	E
17691	"SW,O15"	YS	E
17692	"SW,O16"	YS	E
17692	"SW,O16"	YS	E
17692	"SW,O16"	YS	E
17693	"SW,St1"	YS	E
17693	"SW,St1"	YS	E
17693	"SW,St1"	YS	E
17694	"SW,St2"	YS	E
17694	"SW,St2"	YS	E
17695	"SW,St3"	YS	E
17695	"SW,St3"	YS	E
17695	"SW,St3"	YS	E
17696	"SW,St4"	YS	E
17696	"SW,St4"	YS	E
17696	"SW,St4"	YS	E
17697	"SW,St5"	YS	E
17697	"SW,St5"	YS	E
17697	"SW,St5"	YS	E
17698	"SW,St6"	YS	E
17698	"SW,St6"	YS	E
17699	"SW,St7"	YS	E
17699	"SW,St7"	YS	E
17699	"SW,St7"	YS	E
17700	"SW,St8"	YS	E
17700	"SW,St8"	YS	E
17700	"SW,St8"	YS	E
17701	"SW,St9"	YS	E
17701	"SW,St9"	YS	E
17702	"SW,St10"	YS	E
17702	"SW,St10"	YS	E
17702	"SW,St10"	YS	E
17703	"SW,St11"	YS	E
17703	"SW,St11"	YS	E
17703	"SW,St11"	YS	E
17704	"SW,St12"	YS	E
17704	"SW,St12"	YS	E
17704	"SW,St12"	YS	E
17705	"SW,St13"	YS	E
17705	"SW,St13"	YS	E
17705	"SW,St13"	YS	E
17706	"SW,St14"	YS	E
17706	"SW,St14"	YS	E
17706	"SW,St14"	YS	E
17707	"SW,St15"	YS	E
17707	"SW,St15"	YS	E
17707	"SW,St15"	YS	E
17708	"SW,St16"	YS	E
17708	"SW,St16"	YS	E
17708	"SW,St16"	YS	E
17709	"SW,Ag1"	YS	E
17709	"SW,Ag1"	YS	E
17710	"SW,Ag2"	YS	E
17710	"SW,Ag2"	YS	E
17710	"SW,Ag2"	YS	E
17711	"SW,Ag3"	YS	E
17711	"SW,Ag3"	YS	E
17711	"SW,Ag3"	YS	E
17712	"SW,Ag4"	YS	E
17712	"SW,Ag4"	YS	E
17712	"SW,Ag4"	YS	E
17713	"SW,Ag5"	YS	E
17713	"SW,Ag5"	YS	E
17713	"SW,Ag5"	YS	E
17714	"SW,Ag6"	YS	E
17714	"SW,Ag6"	YS	E
17714	"SW,Ag6"	YS	E
17715	"SW,Ag7"	YS	E
17715	"SW,Ag7"	YS	E
17715	"SW,Ag7"	YS	E
17716	"SW,Ag8"	YS	E
17716	"SW,Ag8"	YS	E
17716	"SW,Ag8"	YS	E
17716	"SW,Ag8"	YS	E
17717	"SW,Ag9"	YS	E
17717	"SW,Ag9"	YS	E
17718	"SW,Ag10"	YS	E
17718	"SW,Ag10"	YS	E
17718	"SW,Ag10"	YS	E
17719	"SW,Ag11"	YS	E
17719	"SW,Ag11"	YS	E
17719	"SW,Ag11"	YS	E
17720	"SW,Ag12"	YS	E
17720	"SW,Ag12"	YS	E
17720	"SW,Ag12"	YS	E
17720	"SW,Ag12"	YS	E
17720	"SW,Ag12"	YS	E
17721	"SW,Ag13"	YS	E
17721	"SW,Ag13"	YS	E
17721	"SW,Ag13"	YS	E
17721	"SW,Ag13"	YS	E
17722	"SW,Ag14"	YS	E
17722	"SW,Ag14"	YS	E
17722	"SW,Ag14"	YS	E
17722	"SW,Ag14"	YS	E
17722	"SW,Ag14"	YS	E
17723	"SW,Ag15"	YS	E
17723	"SW,Ag15"	YS	E
17723	"SW,Ag15"	YS	E
17723	"SW,Ag15"	YS	E
17724	"SW,Ag16"	YS	E
17725	"SW,M1"	YS	E
17725	"SW,M1"	YS	E
17725	"SW,M1"	YS	E
17726	"SW,M2"	YS	E
17726	"SW,M2"	YS	E
17726	"SW,M2"	YS	E
17726	"SW,M2"	YS	E
17726	"SW,M2"	YS	E
17727	"SW,M3"	YS	E
17727	"SW,M3"	YS	E
17727	"SW,M3"	YS	E
17727	"SW,M3"	YS	E
17728	"SW,M4"	YS	E
17728	"SW,M4"	YS	E
17728	"SW,M4"	YS	E
17728	"SW,M4"	YS	E
17729	"SW,M5"	YS	E
17729	"SW,M5"	YS	E
17730	"SW,M6"	YS	E
17730	"SW,M6"	YS	E
17730	"SW,M6"	YS	E
17731	"SW,M7"	YS	E
17731	"SW,M7"	YS	E
17731	"SW,M7"	YS	E
17731	"SW,M7"	YS	E
17731	"SW,M7"	YS	E
17732	"SW,M8"	YS	E
17732	"SW,M8"	YS	E
17732	"SW,M8"	YS	E
17732	"SW,M8"	YS	E
17733	"SW,M9"	YS	E
17733	"SW,M9"	YS	E
17733	"SW,M9"	YS	E
17733	"SW,M9"	YS	E
17734	"SW,M10"	YS	E
17734	"SW,M10"	YS	E
17734	"SW,M10"	YS	E
17734	"SW,M10"	YS	E
17735	"SW,M11"	YS	E
17735	"SW,M11"	YS	E
17735	"SW,M11"	YS	E
17735	"SW,M11"	YS	E
17736	"SW,M12"	YS	E
17736	"SW,M12"	YS	E
17736	"SW,M12"	YS	E
17736	"SW,M12"	YS	E
17737	"SW,M13"	YS	E
17737	"SW,M13"	YS	E
17737	"SW,M13"	YS	E
17738	"SW,M14"	YS	E
17738	"SW,M14"	YS	E
17739	"SW,An1"	YS	E
17739	"SW,An1"	YS	E
17739	"SW,An1"	YS	E
17739	"SW,An1"	YS	E
17740	"SW,An2"	YS	E
17740	"SW,An2"	YS	E
17741	"SW,An3"	YS	E
17741	"SW,An3"	YS	E
17741	"SW,An3"	YS	E
17741	"SW,An3"	YS	E
17742	"SW,An4"	YS	E
17742	"SW,An4"	YS	E
17742	"SW,An4"	YS	E
17742	"SW,An4"	YS	E
17743	"SW,An5"	YS	E
17743	"SW,An5"	YS	E
17743	"SW,An5"	YS	E
17743	"SW,An5"	YS	E
17743	"SW,An5"	YS	E
17744	"SW,An6"	YS	E
17744	"SW,An6"	YS	E
17744	"SW,An6"	YS	E
17745	"SW,An7"	YS	E
17745	"SW,An7"	YS	E
17745	"SW,An7"	YS	E
17745	"SW,An7"	YS	E
17746	"SW,An8"	YS	E
17746	"SW,An8"	YS	E
17746	"SW,An8"	YS	E
17747	"SW,An9"	YS	E
17747	"SW,An9"	YS	E
17747	"SW,An9"	YS	E
17747	"SW,An9"	YS	E
17748	"SW,An10"	YS	E
17748	"SW,An10"	YS	E
17748	"SW,An10"	YS	E
17749	"SW,An11"	YS	E
17749	"SW,An11"	YS	E
17749	"SW,An11"	YS	E
17750	"SW,An12"	YS	E
17750	"SW,An12"	YS	E
17750	"SW,An12"	YS	E
17751	"SW,An13"	YS	E
17751	"SW,An13"	YS	E
17752	"SW,An14"	YS	E
17752	"SW,An14"	YS	E
17752	"SW,An14"	YS	E
17753	"SW,An15"	YS	E
17753	"SW,An15"	YS	E
17753	"SW,An15"	YS	E
17754	"SW,An16"	YS	E
17754	"SW,An16"	YS	E
17755	"SW,An17"	YS	E
17755	"SW,An17"	YS	E
17755	"SW,An17"	YS	E
17756	"SW,An18"	YS	E
17756	"SW,An18"	YS	E
17757	"SW,Bu1"	YS	E
17757	"SW,Bu1"	YS	E
17757	"SW,Bu1"	YS	E
17758	"SW,Bu2"	YS	E
17758	"SW,Bu2"	YS	E
17758	"SW,Bu2"	YS	E
17759	"SW,Bu3"	YS	E
17759	"SW,Bu3"	YS	E
17759	"SW,Bu3"	YS	E
17760	"SW,Bu4"	YS	E
17760	"SW,Bu4"	YS	E
17760	"SW,Bu4"	YS	E
17760	"SW,Bu4"	YS	E
17761	"SW,Bu5"	YS	E
17761	"SW,Bu5"	YS	E
17761	"SW,Bu5"	YS	E
17761	"SW,Bu5"	YS	E
17762	"SW,Bu6"	YS	E
17762	"SW,Bu6"	YS	E
17762	"SW,Bu6"	YS	E
17762	"SW,Bu6"	YS	E
17763	"SW,Bu7"	YS	E
17763	"SW,Bu7"	YS	E
17763	"SW,Bu7"	YS	E
17764	"SW,Bu8"	YS	E
17764	"SW,Bu8"	YS	E
17764	"SW,Bu8"	YS	E
17765	"SW,Bu9"	YS	E
17765	"SW,Bu9"	YS	E
17765	"SW,Bu9"	YS	E
17765	"SW,Bu9"	YS	E
17766	"SW,Bu10"	YS	E
17766	"SW,Bu10"	YS	E
17766	"SW,Bu10"	YS	E
17766	"SW,Bu10"	YS	E
17767	"SW,Bu11"	YS	E
17767	"SW,Bu11"	YS	E
17767	"SW,Bu11"	YS	E
17768	"SW,Bu12"	YS	E
17768	"SW,Bu12"	YS	E
17768	"SW,Bu12"	YS	E
17768	"SW,Bu12"	YS	E
17769	"SW,Bu13"	YS	E
17769	"SW,Bu13"	YS	E
17769	"SW,Bu13"	YS	E
17770	"SW,Bu14"	YS	E
17770	"SW,Bu14"	YS	E
17770	"SW,Bu14"	YS	E
17771	"SW,Bu15"	YS	E
17771	"SW,Bu15"	YS	E
17771	"SW,Bu15"	YS	E
17771	"SW,Bu15"	YS	E
17772	"SW,Bu16"	YS	E
17772	"SW,Bu16"	YS	E
17772	"SW,Bu16"	YS	E
17773	"SW,Bu17"	YS	E
17773	"SW,Bu17"	YS	E
17773	"SW,Bu17"	YS	E
17774	"SW,Bu18"	YS	E
17774	"SW,Bu18"	YS	E
17774	"SW,Bu18"	YS	E
17775	"SW,Bu19"	YS	E
17775	"SW,Bu19"	YS	E
17775	"SW,Bu19"	YS	E
17776	"SW,Bu20"	YS	E
17776	"SW,Bu20"	YS	E
17776	"SW,Bu20"	YS	E
17776	"SW,Bu20"	YS	E
17777	"SW,Bu21"	YS	E
17777	"SW,Bu21"	YS	E
17777	"SW,Bu21"	YS	E
17778	"SW,Bu22"	YS	E
17778	"SW,Bu22"	YS	E
17778	"SW,Bu22"	YS	E
17779	"SW,Bu23"	YS	E
17779	"SW,Bu23"	YS	E
17779	"SW,Bu23"	YS	E
17779	"SW,Bu23"	YS	E
17780	"SW,Bu24"	YS	E
17780	"SW,Bu24"	YS	E
