struct_idx	county	phillimore	text_type
11857	SHR	C10	U
11858	SHR	C11	U
11859	SHR	C12	U
11860	SHR	C13	U
11861	SHR	C14	U
12403	CHS	C1	U
12404	CHS	C2	U
12405	CHS	C3	U
12406	CHS	C4	U
12407	CHS	C5	U
12408	CHS	C6	U
12409	CHS	C7	U
12410	CHS	C8	U
12411	CHS	C9	U
12412	CHS	C10	U
12413	CHS	C11	U
12414	CHS	C12	U
12415	CHS	C13	U
12416	CHS	C14	U
12417	CHS	C15	U
12418	CHS	C16	U
12419	CHS	C17	U
12420	CHS	C18	U
12421	CHS	C19	U
12422	CHS	C20	U
12423	CHS	C21	U
12424	CHS	C22	U
12425	CHS	C23	U
12426	CHS	C24	U
12427	CHS	C25	U
12431	CHS	B1	C
12432	CHS	B2	C
12775	CHS	"S1,1"	U
12776	CHS	"S1,2"	U
12777	CHS	"S1,3"	U
12778	CHS	"S1,4"	U
12779	CHS	"S1,5"	U
12780	CHS	"S1,6"	U
12781	CHS	"S1,7"	U
12782	CHS	"S2,1"	U
12783	CHS	"S2,2"	U
12784	CHS	"S2,3"	U
12785	CHS	"S2,4"	U
12786	CHS	"S3,1"	U
12787	CHS	"S3,2"	U
12788	CHS	"S3,3"	U
12789	CHS	"S3,4"	U
13223	DBY	B1	U
13224	DBY	B2	U
13225	DBY	B3	U
13226	DBY	B4	U
13227	DBY	B5	U
13228	DBY	B6	U
13229	DBY	B7	U
13230	DBY	B8	U
13231	DBY	B9	U
13232	DBY	B10	U
13233	DBY	B11	U
13234	DBY	B12	U
13235	DBY	B13	U
13236	DBY	B14	U
13237	DBY	B15	U
13238	DBY	B16	U
13239	NTT	B1	U
13240	NTT	B2	U
13241	NTT	B3	U
13242	NTT	B4	U
13243	NTT	B5	U
13244	NTT	B6	U
13245	NTT	B7	U
13246	NTT	B8	U
13247	NTT	B9	U
13248	NTT	B10	U
13249	NTT	B11	U
13250	NTT	B12	U
13251	NTT	B13	U
13252	NTT	B14	U
13253	NTT	B15	U
13254	NTT	B16	U
13255	NTT	B17	U
13256	NTT	B18	U
13257	NTT	B19	U
13258	NTT	B20	U
13260	NTT	S1	C
13261	NTT	S2	C
13262	NTT	S3	C
13263	NTT	S4	C
13264	NTT	S5	C
13265	NTT	S6	C
13837	RUT	R1	C
13838	RUT	R2	C
13839	RUT	R3	C
13868	YKS	C1a	U
13869	YKS	C1b	U
13870	YKS	C2	U
13871	YKS	C3	U
13872	YKS	C4	U
13873	YKS	C5	U
13874	YKS	C6	U
13875	YKS	C7	U
13876	YKS	C8	U
13877	YKS	C9	U
13878	YKS	C10	U
13879	YKS	C11	U
13880	YKS	C12	U
13881	YKS	C13	U
13882	YKS	C14	U
13883	YKS	C15	U
13884	YKS	C16	U
13885	YKS	C17	U
