statistics_id	struct_idx	county	phillimore	tenant_in_chief	riding	wapentake	vill	carucates	g_code	notes	phillimore_ref
8420	17718	YS	"SW,Ag10"	King William	West Riding	Agbrigg	[Earls]heaton	1	geld		1Y15
8440	17719	YS	"SW,Ag11"	King William	West Riding	Agbrigg	Ossett	3.5	geld		1Y15
8460	17719	YS	"SW,Ag11"	King William	West Riding	Agbrigg	Stanley	3	geld		1Y15
8480	17719	YS	"SW,Ag11"	King William	West Riding	Agbrigg	Shitlington	3	geld		1Y15
8500	17720	YS	"SW,Ag12"	King William	West Riding	Agbrigg	Holme	2	geld	"2 carucates between Holme, Yateholme, Austonley & Upperthong."	1Y15
8520	17720	YS	"SW,Ag12"	King William	West Riding	Agbrigg	[Yate]holme		recorded elsewhere	"2 carucates between Holme, Yateholme, Austonley & Upperthong."	1Y15
8540	17720	YS	"SW,Ag12"	King William	West Riding	Agbrigg	Austonley		recorded elsewhere	"2 carucates between Holme, Yateholme, Austonley & Upperthong."	1Y15
8560	17720	YS	"SW,Ag12"	King William	West Riding	Agbrigg	[Upper]thong		recorded elsewhere	"2 carucates between Holme, Yateholme, Austonley & Upperthong."	1Y15
8580	17720	YS	"SW,Ag12"	King William	West Riding	Agbrigg	[Lower] Cumberworth	1	geld		1Y15
8600	17721	YS	"SW,Ag13"	King William	West Riding	Agbrigg	[Kirk]burton	3	geld		1Y15
8620	17721	YS	"SW,Ag13"	King William	West Riding	Agbrigg	Lockwood	1	geld		1Y15
8640	17721	YS	"SW,Ag13"	Ilbert of Lacy	West Riding	Agbrigg	[Upper] Hopton	2	geld		9W108
8660	17721	YS	"SW,Ag13"	Ilbert of Lacy	West Riding	Agbrigg	Huddersfield	6	geld		9W109
8680	17722	YS	"SW,Ag14"	King William	West Riding	Agbrigg	Cartworth	6	geld	"6 carucates between, Hepworth, Wooldale, Fulstone & Thurstonland."	1Y15
8700	17722	YS	"SW,Ag14"	King William	West Riding	Agbrigg	Hepworth		recorded elsewhere	"6 carucates between, Hepworth, Wooldale, Fulstone & Thurstonland.This holding is not recorded in the main text."	-
8720	17722	YS	"SW,Ag14"	King William	West Riding	Agbrigg	Wooldale		recorded elsewhere	"6 carucates between, Hepworth, Wooldale, Fulstone & Thurstonland.This holding is not recorded in the main text."	-
8740	17722	YS	"SW,Ag14"	King William	West Riding	Agbrigg	Fulstone		recorded elsewhere	"6 carucates between, Hepworth, Wooldale, Fulstone & Thurstonland.This holding is not recorded in the main text."	-
8760	17722	YS	"SW,Ag14"	King William	West Riding	Agbrigg	Thurstonland		recorded elsewhere	"6 carucates between, Hepworth, Wooldale, Fulstone & Thurstonland.This holding is not recorded in the main text."	-
8780	17723	YS	"SW,Ag15"	Ilbert of Lacy	West Riding	Agbrigg	Bradley	2	geld		9W110
8800	17723	YS	"SW,Ag15"	Ilbert of Lacy	West Riding	Agbrigg	Lindley	2	geld		9W111
8820	17723	YS	"SW,Ag15"	Ilbert of Lacy	West Riding	Agbrigg	Golcar	0.5	geld		9W113
8840	17723	YS	"SW,Ag15"	Ilbert of Lacy	West Riding	Agbrigg	Quarmby	2	geld		9W112
8860	17724	YS	"SW,Ag16"	Ilbert of Lacy	West Riding	Agbrigg	[South] Crosland	2	geld		9W114
8880	17725	YS	"SW,M1"	Ilbert of Lacy	West Riding	Morley	Morley	6	geld		9W118
8900	17725	YS	"SW,M1"	Ilbert of Lacy	West Riding	Morley	[East] Ardsley	5.37	geld		9W120
8920	17725	YS	"SW,M1"	Ilbert of Lacy	West Riding	Morley	Beeston	6	geld		9W124
8940	17726	YS	"SW,M2"	Ilbert of Lacy	West Riding	Morley	Rothwell	24	geld	"24 carucates (24.125 in main text) between Rothwell, Carlton, Lofthouse, Thorpe & Middleton."	9W119
8960	17726	YS	"SW,M2"	Ilbert of Lacy	West Riding	Morley	Carlton		recorded elsewhere	"24 carucates (24.125 in main text) between Rothwell, Carlton, Lofthouse, Thorpe & Middleton."	9W119
8980	17726	YS	"SW,M2"	Ilbert of Lacy	West Riding	Morley	Lofthouse		recorded elsewhere	"24 carucates (24.125 in main text) between Rothwell, Carlton, Lofthouse, Thorpe & Middleton."	9W119
9000	17726	YS	"SW,M2"	Ilbert of Lacy	West Riding	Morley	Thorpe [on the Hill]		recorded elsewhere	"24 carucates (24.125 in main text) between Rothwell, Carlton, Lofthouse, Thorpe & Middleton."	9W119
9020	17726	YS	"SW,M2"	Ilbert of Lacy	West Riding	Morley	Middleton		recorded elsewhere	"24 carucates (24.125 in main text) between Rothwell, Carlton, Lofthouse, Thorpe & Middleton."	9W119
9040	17727	YS	"SW,M3"	Ilbert of Lacy	West Riding	Morley	Hunslet	6	geld		9W125
9060	17727	YS	"SW,M3"	Ilbert of Lacy	West Riding	Morley	Reestones	6	geld	6 carucates between Reestones & Armley.	9W121
9080	17727	YS	"SW,M3"	Ilbert of Lacy	West Riding	Morley	Armley		recorded elsewhere	6 carucates between Reestones & Armley.	9W121
9100	17727	YS	"SW,M3"	Ilbert of Lacy	West Riding	Morley	Bramley	4	geld		9W123
9120	17728	YS	"SW,M4"	Ilbert of Lacy	West Riding	Morley	Calverley	3	geld	3 carucates between Calverley & Farsley.	9W126
9140	17728	YS	"SW,M4"	Ilbert of Lacy	West Riding	Morley	Farsley		recorded elsewhere	3 carucates between Calverley & Farsley.	9W126
9160	17728	YS	"SW,M4"	Ilbert of Lacy	West Riding	Morley	Pudsey	8	geld		9W122
9180	17728	YS	"SW,M4"	Ilbert of Lacy	West Riding	Morley	Tong	4	geld		9W127
9200	17729	YS	"SW,M5"	Ilbert of Lacy	West Riding	Morley	Drighlington	4	geld		9W128
9220	17729	YS	"SW,M5"	Ilbert of Lacy	West Riding	Morley	Gomersal	14	geld	In Gomersal and its two outliers.	9W129
9240	17730	YS	"SW,M6"	Ilbert of Lacy	West Riding	Morley	Bolton	4	geld		9W131
9260	17730	YS	"SW,M6"	Ilbert of Lacy	West Riding	Morley	Bradford	15	geld	In Bradford and its six outliers.	9W130
9280	17730	YS	"SW,M6"	Ilbert of Lacy	West Riding	Morley	Bowling	4	geld		9W132
9300	17731	YS	"SW,M7"	Ilbert of Lacy	West Riding	Morley	Chellow [Grange]	10	geld	"10 carucates between Chellow, Thornton, Allerton, Clayton & Wibsey. Duplicated in 9W131"	9W131
9320	17731	YS	"SW,M7"	Ilbert of Lacy	West Riding	Morley	Thornton		recorded elsewhere	"10 carucates between Chellow, Thornton, Allerton, Clayton & Wibsey. Duplicated in 9W131"	9W144
9340	17731	YS	"SW,M7"	Ilbert of Lacy	West Riding	Morley	Allerton		recorded elsewhere	"10 carucates between Chellow, Thornton, Allerton, Clayton & Wibsey. Duplicated in 9W131"	9W144
9360	17731	YS	"SW,M7"	Ilbert of Lacy	West Riding	Morley	Clayton		recorded elsewhere	"10 carucates between Chellow, Thornton, Allerton, Clayton & Wibsey. Duplicated in 9W131"	9W144
9380	17731	YS	"SW,M7"	Ilbert of Lacy	West Riding	Morley	Wibsey		recorded elsewhere	"10 carucates between Chellow, Thornton, Allerton, Clayton & Wibsey. Duplicated in 9W131"	9W144
9400	17732	YS	"SW,M8"	Ilbert of Lacy	West Riding	Morley	Shipley	3	geld		9W133
9420	17732	YS	"SW,M8"	Ilbert of Lacy	West Riding	Morley	[North] Bierley	4	geld		9W134
9440	17732	YS	"SW,M8"	Ilbert of Lacy	West Riding	Morley	Wyke	4	geld		9W135
9460	17732	YS	"SW,M8"	Ilbert of Lacy	West Riding	Morley	[Cleck]heaton	6	geld		9W136
9480	17733	YS	"SW,M9"	Ilbert of Lacy	West Riding	Morley	Clifton	12	geld		9W137
9500	17733	YS	"SW,M9"	Ilbert of Lacy	West Riding	Morley	Mirfield	6	geld		9W108
9520	17733	YS	"SW,M9"	King William	West Riding	Morley	Dewsbury	3	geld		1Y17
9540	17733	YS	"SW,M9"	Ilbert of Lacy	West Riding	Morley	Batley	5	geld		9W139
9560	17734	YS	"SW,M10"	Ilbert of Lacy	West Riding	Morley	Liversedge	4	geld		9W140
9580	17734	YS	"SW,M10"	Ilbert of Lacy	West Riding	Morley	Hartshead	2	geld		9W141
9600	17734	YS	"SW,M10"	Ilbert of Lacy	West Riding	Morley	Elland	3	geld		6W142
9620	17734	YS	"SW,M10"	Ilbert of Lacy	West Riding	Morley	[South]owram	3	geld		9W143
9640	17735	YS	"SW,M11"	King William	West Riding	Morley	Hipperholme	2	geld	This holding is not recorded in the main text.	-
9660	17735	YS	"SW,M11"	King William	West Riding	Morley	[North]owram	2	geld	This holding is not recorded in the main text.	-
9680	17735	YS	"SW,M11"	King William	West Riding	Morley	Shelf	1	geld	This holding is not recorded in the main text.	-
9700	17735	YS	"SW,M11"	King William	West Riding	Morley	Stainland	2	geld	This holding is not recorded in the main text.	-
9720	17736	YS	"SW,M12"	King William	West Riding	Morley	[Old] Lindley	0.5	geld	King William not named in entry.	1W27
9740	17736	YS	"SW,M12"	King William	West Riding	Morley	Fixby	1	geld	This holding is not recorded in the main text.	-
9760	17736	YS	"SW,M12"	King William	West Riding	Morley	Rastrick	1	geld		1W28
9780	17736	YS	"SW,M12"	King William	West Riding	Morley	Eccleshill	3	geld	This holding is not recorded in the main text.	-
9800	17737	YS	"SW,M13"	King William	West Riding	Morley	Farnley	3	geld	King William not named in entry. This holding is not recorded in the main text.	-
9820	17737	YS	"SW,M13"	King William	West Riding	Morley	[West] Ardsley	4.62	geld	This holding is not recorded in the main text.	-
9840	17737	YS	"SW,M13"	King William	West Riding	Morley	Greetland	0.5	geld	This holding is not recorded in the main text.	-
9860	17738	YS	"SW,M14"	King William	West Riding	Agbrigg	Wakefield		no assessment	Entry states that all of these are of Wakefield's jurisdiction.	"1Y15-17, 1W25-26"
9880	17738	YS	"SW,M14"	King William	West Riding	Morley	[Hanging] Heaton	1	geld	This holding is not recorded in the main text.	-
9900	17739	YS	"SW,An1"	Hugh son of Baldric	West Riding	Ainsty	Bishopthorpe	5.87	geld		2.30E+20
9920	17739	YS	"SW,An1"	King William	West Riding	Ainsty	Bishopthorpe	2.12	geld		1W29
9940	17739	YS	"SW,An1"	Richard son of Herfast	West Riding	Ainsty	[Middle]thorpe	2	geld		22W1
9960	17739	YS	"SW,An1"	Robert Malet	West Riding	Ainsty	[Middle]Thorpe	1	geld		11W2
9980	17740	YS	"SW,An2"	Erneis of Buron	West Riding	Ainsty	Copmanthorpe	2.25	geld		24W2
10000	17740	YS	"SW,An2"	Count W	West Riding	Ainsty	Copmanthorpe	3.75	geld	This holding not recorded in the main text so Count W. cannot be identified.	-
10020	17741	YS	"SW,An3"	Robert Malet	West Riding	Ainsty	Acaster [Malbis]	4	geld		11W3
10040	17741	YS	"SW,An3"	Count Alan	West Riding	Ainsty	Acaster [Selby]	0.87	geld		6W3
10060	17741	YS	"SW,An3"	Robert Malet	West Riding	Ainsty	Acaster [Selby]	1.25	geld		11W4
10080	17741	YS	"SW,An3"	Erneis of Buron	West Riding	Ainsty	Acaster [Selby]	0.62	geld		24W3
10100	17742	YS	"SW,An4"	King William	West Riding	Ainsty	Acaster [Selby]	1.37	geld		29W28-29
10120	17742	YS	"SW,An4"	Osbern of Arques	West Riding	Ainsty	Appleton [Roebuck]	12	geld		25W2
10140	17742	YS	"SW,An4"	William of Percy	West Riding	Ainsty	Bolton [Percy]	8	geld		13W7
10160	17742	YS	"SW,An4"	Osbern of Arques	West Riding	Ainsty	Steeton [Hall]	6	geld		25W1
10180	17743	YS	"SW,An5"	Ernwin	West Riding	Ainsty	Steeton [Hall]	1	geld	This holding is not apparently recorded in the main text.	-
10220	17743	YS	"SW,An5"	William of Percy	West Riding	Ainsty	[Palla]thorpe	2	geld		13W13
10240	17743	YS	"SW,An5"	Osbern of Arques	West Riding	Ainsty	[Palla]thorpe	0.25	geld		25W4
10260	17743	YS	"SW,An5"	Count of Mortain	West Riding	Ainsty	[Palla]thorpe	0.75	geld		5W35
10280	17743	YS	"SW,An5"	Osbern of Arques	West Riding	Ainsty	Oxton	4	geld		25W5
10300	17744	YS	"SW,An6"	Osbern of Arques	West Riding	Ainsty	Colton	4.5	geld		25W3
10320	17744	YS	"SW,An6"	William of Percy	West Riding	Ainsty	Ouston [Farm]	3	geld		13W14
10340	17744	YS	"SW,An6"	William of Percy	West Riding	Ainsty	`Malkton'	4	geld		13W15
10360	17745	YS	"SW,An7"	William of Percy	West Riding	Ainsty	`Haggenby'	3	geld	3 carucates between Haggenby & Healaugh.	13W16
10380	17745	YS	"SW,An7"	William of Percy	West Riding	Ainsty	Healaugh		recorded elsewhere		13W16
10400	17745	YS	"SW,An7"	William of Percy	West Riding	Ainsty	Hornington [Manor]	3	geld		13W17
10420	17745	YS	"SW,An7"	Osbern of Arques	West Riding	Ainsty	Hornington [Manor]	0.17	geld		25W7
10440	17746	YS	"SW,An8"	Osbern of Arques	West Riding	Ainsty	Catterton	2	geld		25W6
10460	17746	YS	"SW,An8"	Richard son of Herfast	West Riding	Ainsty	Bilbrough	8	geld		22W2
10480	17746	YS	"SW,An8"	Osbern of Arques	West Riding	Ainsty	Thorp [Arch]	3	geld		25W8
10500	17747	YS	"SW,An9"	Geoffrey Alselin	West Riding	Ainsty	Healaugh	18	geld	18 carucates between Healaugh & the two Wighills.	18W3
10520	17747	YS	"SW,An9"	Geoffrey Alselin	West Riding	Ainsty	Wighill		recorded elsewhere	18 carucates between Healaugh & the two Wighills.	18W3
10540	17747	YS	"SW,An9"	Geoffrey Alselin	West Riding	Ainsty	Wighill Park		recorded elsewhere	18 carucates between Healaugh & the two Wighills.	18W3
10560	17747	YS	"SW,An9"	Osbern of Arques	West Riding	Ainsty	Walton	9	geld		25W9
10580	17748	YS	"SW,An10"	Osbern of Arques	West Riding	Ainsty	Bilton	9	geld		25W10
10600	17748	YS	"SW,An10"	Osbern of Arques	West Riding	Ainsty	[Long] Marston	12	geld	23 carucates between Marston & Wilstrop; breakdown from 25W11.	25W11
10620	17748	YS	"SW,An10"	Osbern of Arques	West Riding	Ainsty	Wilstrop [Hall]	11	recorded elsewhere	23 carucates between Marston & Wilstrop; breakdown from 25W11.	25W11
10640	17749	YS	"SW,An11"	Osbern of Arques	West Riding	Ainsty	[Hutton] Wandesley	6	geld		25W12
10660	17749	YS	"SW,An11"	Osbern of Arques	West Riding	Ainsty	Askham [Richard]	6	geld		25W15
10680	17749	YS	"SW,An11"	Osbern of Arques	West Riding	Ainsty	[Nether] Poppleton	2.5	geld		25W14
10700	17750	YS	"SW,An12"	Archbishop of York	West Riding	Ainsty	[Upper] Poppleton	8	geld		2W2
10720	17750	YS	"SW,An12"	Osbern of Arques	West Riding	Ainsty	[Upper] Poppleton	3.5	geld		25W13
10740	17750	YS	"SW,An12"	Osbern of Arques	West Riding	Ainsty	Scagglethorpe	3	geld		25W16
10760	17751	YS	"SW,An13"	Richard son of Herfast	West Riding	Ainsty	[Moor] Monkton	9	geld		22W3
10780	17751	YS	"SW,An13"	Osbern of Arques	West Riding	Ainsty	Hessay	2.25	geld		25W17
10800	17752	YS	"SW,An14"	Richard son of Herfast	West Riding	Ainsty	Hessay	1.75	geld		22W4
10840	17752	YS	"SW,An14"	Richard son of Herfast	West Riding	Ainsty	Knapton	3	geld		22W5
10860	17752	YS	"SW,An14"	Osbern of Arques	West Riding	Ainsty	Knapton	2	geld		25W5
10880	17753	YS	"SW,An15"	Archbishop of York	West Riding	Ainsty	Acomb	14.5	geld		2W3
10890	17753	YS	"SW,An15"	King William	West Riding	Ainsty	Acomb	2	geld		29W13
10900	17753	YS	"SW,An15"	Osbern of Arques	West Riding	Ainsty	Rufforth	4	geld		25W19
10920	17754	YS	"SW,An16"	Richard son of Herfast	West Riding	Ainsty	York	0.5	geld	'1/2 carucate and 3 crofts'.	22W6
10940	17754	YS	"SW,An16"	King William	West Riding	Ainsty	{Mulhede}	1	geld		29W11
10960	17755	YS	"SW,An17"	King William	West Riding	Ainsty	{Bithen}	0.12	geld	This holding is not recorded in the main text.	-
10980	17755	YS	"SW,An17"	William of Percy	West Riding	Ainsty	Cowthorpe	4	geld		13W18
11000	17755	YS	"SW,An17"	Gospatric (son of Arnketil)	West Riding	Ainsty	Bickerton	8	geld		28W37
11020	17756	YS	"SW,An18"	Count Alan	West Riding	Ainsty	Askham [Bryan]	8	geld		6W1
11040	17756	YS	"SW,An18"	Archbishop of York	West Riding	York	York	15	geld	'15 carucates of land and 60 acres of meadow'.	2B2
11060	17757	YS	"SW,Bu1"	Osbern of Arques	West Riding	`Burghshire'	[Nun] Monkton	8	geld		25W20
11080	17757	YS	"SW,Bu1"	Ralph Payenel	West Riding	`Burghshire'	Thorpe [Underwood]	1	geld		16W6
11100	17757	YS	"SW,Bu1"	Hugh son of Baldric	West Riding	`Burghshire'	Thorpe [Hill]	7	geld	This holding is not apparently recorded in the main text.	-
11120	17758	YS	"SW,Bu2"	Gospatric (son of Arnketil)	West Riding	`Burghshire'	Thorpe [Hill]	1	geld		28W4
11160	17758	YS	"SW,Bu2"	King William	West Riding	`Burghshire'	Widdington [Hall]	1	geld		29W21
11180	17758	YS	"SW,Bu2"	Osbern of Arques	West Riding	`Burghshire'	Kirby [Hall]	6	geld		25W21
11200	17759	YS	"SW,Bu3"	King William	West Riding	`Burghshire'	[Great] Ouseburn	12	geld		1W30
11220	17759	YS	"SW,Bu3"	King William	West Riding	`Burghshire'	[Little] Ouseburn	8	geld		1W31
11240	17759	YS	"SW,Bu3"	Erneis of Buron	West Riding	`Burghshire'	[Lower and Upper] Dunsforth	3	geld		24W4
11260	17760	YS	"SW,Bu4"	King William	West Riding	`Burghshire'	[Lower and Upper] Dunsforth	3	geld		29W30
11300	17760	YS	"SW,Bu4"	Erneis of Buron	West Riding	`Burghshire'	Branton [Green]	4	geld		24W5
11320	17760	YS	"SW,Bu4"	King William	West Riding	`Burghshire'	Branton [Green]	5	geld		1W32
11340	17760	YS	"SW,Bu4"	Gospatric (son of Arnketil)	West Riding	`Burghshire'	Marton	12	geld		28W1
11360	17761	YS	"SW,Bu5"	Archbishop of York	West Riding	`Burghshire'	Grafton	3	geld		2W5
11380	17761	YS	"SW,Bu5"	Erneis of Buron	West Riding	`Burghshire'	Grafton	3	geld		24W5
11390	17761	YS	"SW,Bu5"	King William	West Riding	`Burghshire'	Grafton	6	geld		1W33-34. 29W32
11400	17761	YS	"SW,Bu5"	Gospatric (son of Arnketil)	West Riding	`Burghshire'	Thornborough	3	geld		28W5
11420	17762	YS	"SW,Bu6"	Osbern of Arques	West Riding	`Burghshire'	Whixley	13	geld		25W22
11440	17762	YS	"SW,Bu6"	Gospatric (son of Arnketil)	West Riding	`Burghshire'	Whixley	5	geld	This holding is not recorded in the main text.	-
11460	17762	YS	"SW,Bu6"	King William	West Riding	`Burghshire'	Elwicks	4	geld	This holding is not recorded in the main text.	-
11480	17762	YS	"SW,Bu6"	Osbern of Arques	West Riding	`Burghshire'	Cattal	5	geld		25W27
11500	17763	YS	"SW,Bu7"	Osbern of Arques	West Riding	`Burghshire'	[Kirk] Hammerton	6	geld		25W23
11520	17763	YS	"SW,Bu7"	Osbern of Arques	West Riding	`Burghshire'	[Green] Hammerton	8	geld		25W24
11540	17763	YS	"SW,Bu7"	Erneis of Buron	West Riding	`Burghshire'	[Old] Thornville [Hall]	3	geld		24W6
11560	17764	YS	"SW,Bu8"	Count of Mortain	West Riding	`Burghshire'	Hunsingore	4.37	geld		5W36
11580	17764	YS	"SW,Bu8"	Erneis of Buron	West Riding	`Burghshire'	Hunsingore	5.37	geld	4.375 and 1.25 carucates respectively in the main text.	24W7-8
11600	17764	YS	"SW,Bu8"	Ralph Payenel	West Riding	`Burghshire'	Goldsborough	8	geld		16W3
11620	17765	YS	"SW,Bu9"	Ralph Payenel	West Riding	`Burghshire'	[Great and Little] Ribston	4	geld		16W2
11640	17765	YS	"SW,Bu9"	King William	West Riding	`Burghshire'	[Great and Little] Ribston	1.5	geld		1W35
11660	17765	YS	"SW,Bu9"	Erneis of Buron	West Riding	`Burghshire'	[Great and Little] Ribston	1	geld		24W9
11680	17765	YS	"SW,Bu9"	William of Percy	West Riding	`Burghshire'	[Great and Little] Ribston	1.5	geld		13W19
11700	17766	YS	"SW,Bu10"	King William	West Riding	`Burghshire'	Hopperton	3	geld		1W36
11720	17766	YS	"SW,Bu10"	Erneis of Buron	West Riding	`Burghshire'	Hopperton	1	geld		24W9
11740	17766	YS	"SW,Bu10"	Osbern of Arques	West Riding	`Burghshire'	Hopperton	1	geld		25W25
11760	17766	YS	"SW,Bu10"	King William	West Riding	`Burghshire'	Allerton [Mauleverer]	3.5	geld		1W37
11780	17767	YS	"SW,Bu11"	Gospatric (son of Arnketil)	West Riding	`Burghshire'	Allerton [Mauleverer]	1.5	geld		28W3
11820	17767	YS	"SW,Bu11"	Erneis of Buron	West Riding	`Burghshire'	Flaxby	4	geld		24W10
11840	17767	YS	"SW,Bu11"	King William	West Riding	`Burghshire'	Clareton	2	geld		1Y18
11860	17768	YS	"SW,Bu12"	Gospatric (son of Arnketil)	West Riding	`Burghshire'	Clareton	3	geld		28W8
11900	17768	YS	"SW,Bu12"	King William	West Riding	`Burghshire'	Arkendale	1	geld		1W38
11920	17768	YS	"SW,Bu12"	Erneis of Buron	West Riding	`Burghshire'	Arkendale	4	geld		24W1
11940	17768	YS	"SW,Bu12"	King William	West Riding	`Burghshire'	Loftus [Hill]	4	geld		29W17
11960	17769	YS	"SW,Bu13"	Erneis of Buron	West Riding	`Burghshire'	Loftus [Hill]	1	geld		24W11
12000	17769	YS	"SW,Bu13"	King William	West Riding	`Burghshire'	[Ald]borough	20	geld		1Y18
12020	17769	YS	"SW,Bu13"	King William	West Riding	`Burghshire'	Minskip	8	geld		1W39
12040	17770	YS	"SW,Bu14"	Gospatric (son of Arnketil)	West Riding	`Burghshire'	Staveley	8	geld		28W6
12060	17770	YS	"SW,Bu14"	King William	West Riding	`Burghshire'	`Hilton'	6	geld		1Y18
12080	17770	YS	"SW,Bu14"	Erneis of Buron	West Riding	`Burghshire'	Copgrove	6	geld		24W12
12100	17771	YS	"SW,Bu15"	King William	West Riding	`Burghshire'	Burton [Leonard]	6	geld		1Y18
12120	17771	YS	"SW,Bu15"	King William	West Riding	`Burghshire'	Farnham	3	geld		1Y19
12140	17771	YS	"SW,Bu15"	Gospatric (son of Arnketil)	West Riding	`Burghshire'	Farnham	3	geld		28W7
12160	17771	YS	"SW,Bu15"	King William	West Riding	`Burghshire'	{[Scotton] Thorpe}	2	geld		29W19
12180	17772	YS	"SW,Bu16"	King William	West Riding	`Burghshire'	Walkingham [Hill]	3	geld		1Y19
12200	17772	YS	"SW,Bu16"	King William	West Riding	`Burghshire'	Ferrensby	6	geld		1Y19
12220	17772	YS	"SW,Bu16"	King William	West Riding	`Burghshire'	Scriven	6	geld		1Y19
12240	17773	YS	"SW,Bu17"	King William	West Riding	`Burghshire'	Knaresborough	6	geld		1Y19
12260	17773	YS	"SW,Bu17"	Gilbert Tison	West Riding	`Burghshire'	Scotton	4	geld		21W3
12280	17773	YS	"SW,Bu17"	King William	West Riding	`Burghshire'	Scotton	2	geld		29W18
12300	17774	YS	"SW,Bu18"	King William	West Riding	`Burghshire'	Brearton	6	geld		1Y19
12320	17774	YS	"SW,Bu18"	Osbern of Arques	West Riding	`Burghshire'	Susacres	2	geld		25W26
12340	17774	YS	"SW,Bu18"	King William	West Riding	`Burghshire'	[South] Stainley	4	geld		1Y18-19
12360	17775	YS	"SW,Bu19"	King William	West Riding	`Burghshire'	Cayton	2	geld		1Y19
12380	17775	YS	"SW,Bu19"	William of Percy	West Riding	`Burghshire'	Markenfield [Hall]	5	geld		13W20
12400	17775	YS	"SW,Bu19"	William of Percy	West Riding	`Burghshire'	Aismunderby	2	geld		13W21
12420	17776	YS	"SW,Bu20"	Gospatric (son of Arnketil)	West Riding	`Burghshire'	Aldfield	2	geld		28W38
12440	17776	YS	"SW,Bu20"	King William	West Riding	`Burghshire'	Aldfield	0.5	geld		1W40
12460	17776	YS	"SW,Bu20"	Archbishop of York	West Riding	`Burghshire'	Aldfield	0.25	geld		2W8
12480	17776	YS	"SW,Bu20"	William of Percy	West Riding	`Burghshire'	Clotherholme	1.5	geld		13W23
12500	17777	YS	"SW,Bu21"	Gospatric (son of Arnketil)	West Riding	`Burghshire'	Studley [Royal]	2.5	geld		28W12
12520	17777	YS	"SW,Bu21"	King William	West Riding	`Burghshire'	Studley [Royal]	0.87	geld		29W33
12540	17777	YS	"SW,Bu21"	William of Percy	West Riding	`Burghshire'	Studley [Royal]	1.62	geld		13W22
12560	17778	YS	"SW,Bu22"	Gospatric (son of Arnketil)	West Riding	`Burghshire'	Winksley	3	geld		28W13
12580	17778	YS	"SW,Bu22"	Gospatric (son of Arnketil)	West Riding	`Burghshire'	Laverton	2.5	geld		28W9
12600	17778	YS	"SW,Bu22"	King William	West Riding	`Burghshire'	Laverton	3.5	geld		1W41
12620	17779	YS	"SW,Bu23"	Gospatric (son of Arnketil)	West Riding	`Burghshire'	Kirkby [Malzeard]	5	geld		28W10
12640	17779	YS	"SW,Bu23"	Gospatric (son of Arnketil)	West Riding	`Burghshire'	[Grewel]Thorpe	5	geld		28W11
12660	17779	YS	"SW,Bu23"	Gospatric (son of Arnketil)	West Riding	`Burghshire'	[Grewel]thorpe	2	geld		28W11
12680	17779	YS	"SW,Bu23"	Gospatric (son of Arnketil)	West Riding	`Burghshire'	Azerley	5.5	geld		28W14
12700	17780	YS	"SW,Bu24"	King William	West Riding	`Burghshire'	Azerley	0.5	geld		29W23
12740	17780	YS	"SW,Bu24"	Gospatric (son of Arnketil)	West Riding	`Burghshire'	Bramley [Grange]	2	geld		28W15
12760	17780	YS	"SW,Bu24"	Gospatric (son of Arnketil)	West Riding	`Burghshire'	Carlesmoor	2	geld		28W16
12780	17780	YS	"SW,Bu24"	Gospatric (son of Arnketil)	West Riding	`Burghshire'	Swetton	2	geld		28W18
12800	17781	YS	"SW,Bu25"	Gospatric (son of Arnketil)	West Riding	`Burghshire'	Kex Moor	2	geld		28W17
12820	17781	YS	"SW,Bu25"	King William	West Riding	`Burghshire'	{Popletone}	1	geld		1W42
12840	17781	YS	"SW,Bu25"	Gospatric (son of Arnketil)	West Riding	`Burghshire'	{Popletone}	3	geld		28W19
12860	17781	YS	"SW,Bu25"	Erneis of Buron	West Riding	`Burghshire'	Whipley [Hall]	0.5	geld		24W14
12880	17781	YS	"SW,Bu25"	King William	West Riding	`Burghshire'	Whipley [Hall]	1.5	geld		1Y18
12900	17782	YS	"SW,Bu26"	Gospatric (son of Arnketil)	West Riding	`Burghshire'	Brimham [Hall]	3.25	geld		28W20
12920	17782	YS	"SW,Bu26"	Gilbert Tison	West Riding	`Burghshire'	Brimham [Hall]	0.25	geld		21W7
12940	17782	YS	"SW,Bu26"	Erneis of Buron	West Riding	`Burghshire'	Brimham [Hall]	0.5	geld		24W13
12960	17783	YS	"SW,Bu27"	Ralph Payenel	West Riding	`Burghshire'	Ripley	4.5	geld		16W4
12970	17783	YS	"SW,Bu27"	King William	West Riding	`Burghshire'	Ripley	1.5	geld		29W35
12980	17783	YS	"SW,Bu27"	Berengar of Tosny	West Riding	`Burghshire'	Heathfield	2	geld		8.00E+05
13000	17784	YS	"SW,Bu28"	Erneis of Buron	West Riding	`Burghshire'	Bewerley	3	geld		24W15
13020	17784	YS	"SW,Bu28"	Erneis of Buron	West Riding	`Burghshire'	Dacre	3	geld		24W15
13040	17784	YS	"SW,Bu28"	King William	West Riding	`Burghshire'	{Besthaim}	4	geld		1Y19
13060	17785	YS	"SW,Bu29"	King William	West Riding	`Burghshire'	Fewston	3	geld		1Y19
13080	17785	YS	"SW,Bu29"	King William	West Riding	`Burghshire'	`Elsworth'	3.5	geld	This holding is not recorded in the main text; partial breakdown in 1Y18.	-
