places_idx	place_form_sub	county	hundred	vill	os_ref	os_codes
411	1	WAR	{Celfledetorn}	Admington	SP1945	
416	1	SOM	North Petherton	Adsborough	ST2729	
421	1	BUK	`Mow'	Adstock	SP7330	
426	1	NTH	Foxley	Adstone	SP5951	
431	1	OXF	Lewknor	Adwell	SU6999	
436	1	YKS	`Osgodcross'	Adwick		
436	2	YKS	`Osgodcross'	Adwick le Street	SE5408	
436	9	YKS	`Osgodcross'	Adwick-le-Street		
441	1	YKS	Strafforth	Adwick		
441	2	YKS	Strafforth	Adwick le Street	SE5408	
441	9	YKS	Strafforth	Adwick-le-Street		
446	1	YKS	Strafforth	Adwick		
446	2	YKS	Strafforth	Adwick upon Dearne	SE4701	
446	9	YKS	Strafforth	Adwick-upon-Dearne		
451	1	DEV	Witheridge	Adworthy	SS7715	
456	1	KEN	`Langport'	Afettune		unknown
461	1	DOR	Ailwood	Afflington	SY9780	
466	1	DOR	Bere [Regis]	Affpuddle	SY8093	
471	1	DEV	Kerswell	Afton	SX8462	
476	1	HAM	Bowcombe	Afton	SZ3586	
481	1	STS	Offlow	Agardsley	SK1327	
486	1	YKS	Land of Count Alan	Agglethorpe	SE0886	
491	1	KEN	Street	Aia	TQ1535	speculative
491	2	KEN	Street	Heane		
496	1	YKS	Amounderness	Aighton	SD6739	approximate
501	1	YKS	{Sneculfcros}	Aike	TA0445	
506	1	LIN	`Calcewath'	Ailby	TF4376	
511	1	HEF	Elsdon	Ailey	SO3448	
516	1	WAR	`Tremlowe'	Ailstone	SP2050	
521	1	NTH	Upton	Ailsworth	TL1199	
526	1	DOR	Ailwood	Ailwood	SY9981	
531	1	YKS	Land of Count Alan	Ainderby		
531	2	YKS	Land of Count Alan	Ainderby Mires	SE2592	
536	1	YKS	Land of Count Alan	Ainderby	
536	2	YKS	Land of Count Alan	Ainderby Quernhow	SE3480
541	1	YKS	Land of Count Alan	Ainderby	
541	2	YKS	Land of Count Alan	Ainderby Steeple	SE3392
546	1	YKS	Allerton	Ainderby	
546	2	YKS	Allerton	Ainderby Steeple	SE3392
551	1	CHS	[West] Derby	Ainsdale	SD3112
556	1	YKS	Barkston	Airmyn	
556	2	YKS	Barkston	Little Airmyn	SE7225
561	1	YKS	Craven	Airton	SD9059
566	1	YKS	Langbaurgh	Airy	
566	2	YKS	Langbaurgh	Airy Holme	NZ5711
566	3	YKS	Langbaurgh	Aireyholme	
571	1	LIN	Corringham	Aisby	SK8792
576	1	LIN	`Threo'	Aisby	TF0138
581	1	SOM	Cannington	Aisholt	ST1935
586	1	YKS	Land of Count Alan	Aiskew	SE2788	
591	1	YKS	{Dic}	Aislaby	SE7785	
596	1	YKS	Langbaurgh	Aislaby	NZ8508	
601	1	YKS	`Burghshire'	Aismunderby	SE3068	
606	1	LIN	`Lawress'	Aisthorpe	SK9480	
611	1	SHR	{Merset}	Aitone		unknown
616	1	BUK	`Stotfold'	Akeley	SP7037	
621	1	SUF	Claydon	Akenham	TM1448	
626	1	SUF	`Lothingland'	Akethorpe	TM5493	
631	1	HEF	Leominster	Alac		unknown
636	1	HAM	Bowcombe	Alalei	SZ5683	speculative
636	2	HAM	Bowcombe	Lea		
641	1	SHR	{Reweset}	Alberbury	SJ3514	
646	1	SHR	Baschurch	Albright		
646	2	SHR	Baschurch	Albright Hussey	SJ5017	
651	1	SHR	Wrockwardine	Albrightlee	SJ5216	
656	1	SHR	{Alnodestreu}	Albrighton	SJ8104	
661	1	SHR	Baschurch	Albrighton	SJ4918	
661	2	SHR	Baschurch	Monks Albrighton		
666	1	NFK	Earsham	Alburgh	TM2787	
671	1	SUF	Earsham	Alburgh	TM2787	
676	1	HRT	`Edwinstree'	Albury	TL4324	
681	1	BRK	Thame	Albury	SP6505	
686	1	OXF	Thame	Albury	SP6505	
691	1	SUR	Blackheath	Albury	TQ0447	
696	1	NFK	South Erpingham	Alby	TG1934	
701	1	HEF	Stradel	Alcamestune		unknown
706	1	SHR	Leintwardine	Alcaston	SO4587	
711	1	SUS	Rotherfield	Alchin	TQ5028	approximate
716	1	SUS	{Wandelmestrei}	Alciston	TQ5005	
721	1	NFK	`Lodding'	Alcmuntona		unknown
726	1	SOM	Carhampton	Alcombe	SS9745	
731	1	HUN	`Leightonstone'	Alconbury	TL1876
736	1	NFK	North Erpingham	Aldborough	TG1834
741	1	YKS	`Burghshire'	Borough	
741	2	YKS	`Burghshire'	Aldborough	SE4066
746	1	WIL	`Selkley'	Aldbourne	SU2675
751	1	YKS	Holderness [Middle Hundred]	Aldbrough	TA2438
756	1	YKS	Land of Count Alan	Aldbrough	NZ2011
756	2	YKS	Land of Count Alan	Aldbrough St John	
756	3	YKS	Land of Count Alan	Aldbrough Saint John	
761	1	HRT	Tring	Aldbury	SP9612
766	1	YKS	Amounderness	Aldcliffe	SD4660
771	1	SUF	`Plomesgate'	Aldeburgh	TM4656
776	1	NFK	`Clavering'	Aldeby	TM4593
781	1	HRT	St Albans	Aldenham	TL1400
786	1	HRT	`Danish'	Aldenham	TQ1398
791	1	WIL	Alderbury	Alderbury	SU1826
796	1	ESS	`Hinckford'	Alderford	TL7633
801	1	GLS	{Grimboldestou}	Alderley	ST7690
806	1	CHS	{Hamestan}	Alderley	SJ8476
806	2	CHS	{Hamestan}	Nether Alderley	
811	1	CHS	{Hamestan}	Alderley	SJ8676
811	2	CHS	{Hamestan}	Over Alderley	
816	1	BRK	Reading	Aldermaston	SU5965
821	1	WAR	Pershore	Alderminster	SP2348
826	1	WOR	Pershore	Alderminster	SP2348
831	1	WIL	`Frustfield'	Alderstone	SU2424
836	1	GLS	Tewkesbury	Alderton	SP0033
836	2	GLS	`Greston'	Frampton	SP0133
841	1	NTH	Cleyley	Alderton	SP7446
846	1	SUF	Wilford	Alderton	TM3441
851	1	WIL	Dunley	Alderton	ST8382
856	1	ESS	Ongar	Alderton	
856	2	ESS	Ongar	Alderton Hall	TQ4296	
861	1	YKS	`Burghshire'	Aldfield	SE2669	
866	1	KEN	Bircholt	Aldglose	TR0844	approximate
871	1	ESS	Lexden	Aldham	TL9125	
876	1	SUF	Cosford	Aldham	TM0444	
881	1	SUS	Boxgrove	Aldingbourne	SU9205	
886	1	YKS	Amounderness	Aldingham	SD2871	
891	1	KEN	Bircholt	Aldington	TR0736	
896	1	KEN	Eyhorne	Aldington	TQ8157	
901	1	WOR	`Fishborough'	Aldington	SP0644	
906	1	SHR	{Culvestan}	Aldon	SO4379	
911	1	CHS	Ruloe	Aldredelie	SJ5474	speculative
911	2	CHS	Ruloe	Alderlegh		
916	1	STS	Offlow	Aldridge	SK0600	
921	1	SUF	Bishop's	Aldringham	TM4460	
926	1	SUS	Aldrington	Aldrington	TQ2705	
931	1	GLS	Bibury	Aldsworth	SP1510	
936	1	YKS	`Bulford'	Aldwark	SE4663	
941	1	SOM	Hartcliffe	Aldwick	ST4961	
946	1	NTH	`Huxloe'	Aldwincle		
946	2	NTH	`Huxloe'	Aldwincle All Saints	TL0081	
946	3	NTH	`Huxloe'	Aldwincle St Peter	TL0082	
946	4	NTH	`Huxloe'	Aldwincle Saint Peter		
951	1	BRK	`Nakedthorn'	Aldworth	SU5579	
956	1	NFK	`Gallow'	Alethorpe	TF9431	
961	1	SOM	Cannington	Aley	ST1838	
966	1	SUF	Sandford	Alfildestuna		unknown
971	1	LIN	`Calcewath'	Alford	TF4576	
976	1	SOM	{Blachethorna}	Alford	ST6032	
981	1	SOM	Williton	Alfoxton	ST1441	
986	1	DBY	`Scarsdale'	Alfreton	SK4155	
991	1	SUS	{Wandelmestrei}	Alfriston	TQ5103	
996	1	NFK	`Lodding'	Algamundestuna		unknown
1001	1	LIN	Kirton	Algar		
1001	2	LIN	Kirton	Algarkirk	TF2935	
1006	1	SOM	Whitstone	Alhampton	ST6234	
1011	1	LIN	`Manley'	Alkborough	SE8821	
1016	1	GLS	{Blachelaue}	Alkerton	SO7705	
1021	1	OXF	Bloxham	Alkerton	SP3742	
1026	1	GLS	Berkeley	Alkington	ST6998	
1031	1	SHR	Hodnet	Alkington	SJ5339	
1036	1	DBY	`Appletree'	Alkmonton	SK1838	
1041	1	GLS	Bledisloe	Allaston	SO6404	
1046	1	DEV	Kerswell	Aller	SX8768	
1051	1	DEV	Silverton	Aller	ST0506	
