Parish (or part of parish),User-selected,Hundred,Hundred code,Hundred order,Market Town?,Other Towns,Deanery (old),Deanery code,Modern District,Modern District code,Inhabited houses,Families,Popn 1831,Males over 20,Farmers with workers,"Farmers, no workers",Agric labourers,Industrial,"Craft, commerce",Profess-ionals etc,Non-agric labourers,Others,Servants,Farmers with workers,"Farmers, no workers",Agric labourers,Industrial,"Craft, commerce",Profess-ionals etc,Non-agric labourers,Others,Servants,Males >20 'weighting',"Farming, total",Non-agric employment,Profess-ionals etc,Others,GPI,GPI as % of Devon,,,
Newton St Petrock,,Shebbear,24,17,,,Torrington,23,Torridge,9,44,48,256,67,14,3,27,0,8,2,0,13,0,21%,4%,40%,0%,12%,3%,0%,19%,0%,1.11,66%,12%,3%,19%,0.48,99%,,,
Newton Tracey,,Fremington,13,8,,,Barnstaple,2,North Devon,10,25,26,111,36,6,1,13,0,12,0,0,4,0,17%,3%,36%,0%,33%,0%,0%,11%,0%,1.38,56%,33%,0%,11%,0.6,123%,,,
North Bovey,,Teignbridge,29,3,,,Moreton,13,Teignbridge,5,106,119,609,153,29,3,72,1,23,3,13,8,1,19%,2%,47%,1%,15%,2%,8%,5%,1%,1.07,68%,25%,2%,5%,0.45,93%,,,
North Huish,,Stanborough,26,10,,,Plympton,15,South Hams,4,61,63,457,108,30,0,42,0,28,4,4,0,0,28%,0%,39%,0%,26%,4%,4%,0%,0%,1.01,67%,30%,4%,0%,0.53,107%,,,
North Lew,,Black Torrington,3,27,,,Okehampton,14,West Devon,8,142,193,980,202,29,30,99,0,32,1,2,9,0,14%,15%,49%,0%,16%,0%,1%,4%,0%,0.88,78%,17%,0%,4%,0.35,72%,,,
North Molton,,South Molton,20,9,,Large,South Molton,18,North Devon,10,357,374,"1,937",466,54,37,140,33,132,10,30,30,0,12%,8%,30%,7%,28%,2%,6%,6%,0%,1.02,50%,42%,2%,6%,0.47,96%,,,
"North Petherwin (to Cornwall, 1966)",,Black Torrington,3,28,,Medium,Trigg Major (Cornwall),26,No longer Devon,99,172,186,"1,044",258,57,11,126,0,35,2,21,6,0,22%,4%,49%,0%,14%,1%,8%,2%,0%,1.05,75%,22%,1%,2%,0.44,90%,,,
North Tawton (incl Broad Nymet),,North Tawton & Winkleigh,28,17,Historically,,Chulmleigh,5,West Devon,8,325,352,"1,788",422,38,0,162,20,112,8,52,28,2,9%,0%,38%,5%,27%,2%,12%,7%,0%,1,47%,44%,2%,7%,0.42,87%,,,
Northam (incl Appledore),,Shebbear,24,18,Yes,,Hartland,8,Torridge,9,584,611,"2,727",441,17,20,77,0,168,27,63,56,13,4%,5%,17%,0%,38%,6%,14%,13%,3%,0.69,26%,55%,6%,13%,0.36,73%,,,
Northleigh,5,Colyton,9,5,,,Honiton,10,East Devon,6,46,47,240,59,12,14,25,0,5,0,3,0,0,20%,24%,42%,0%,8%,0%,5%,0%,0%,1.05,86%,14%,0%,0%,0.44,90%,,,
