LONDON  WHEAT PRICES 1277/8-1400 (year ending 29Sept): updated April 1999																														
All prices rendered as shillings per 8-bushel quarter																														
Year beg.	Year end	DAY	SOURCE	Original	Pavement	Billingsgate	Queenhithe	London	Westminster	Notes																				
29/9	29/9																													
Assize prices from 1541 to 1593 inclusive were considered to be unreliable by the Beveridge team																													
																													
1593	1594	Jan 15	Bev I5	A Rep 23 				32.67																					
1593	1594	Nov 7	Bev I5	A Rep 23				39.17																					
1593	1594	Dec 28	Bev I5	A Bakers Hall				38.33																					
1594	1595	Jun 12 	Bev I5	A Bakers Hall				34.57																					
1594	1595	Jul 1	Bev I5	A Rep 23				44.17		Suspect - apparently calculated from a load half wheat half rye 																			
1594	1595	Sep 27	Bev I5	GR						"'Owing to good harvest wheat should be under 26s8d qtr, rye under 20s.'"																			
1595	1596	Dec 9	Bev I5	A Rep 24				48.37																					
1596	1597	Nov 15	Bev I5	A Rep 24				57																					
1597	1598	Jun 15	Bev I5	A Rep 24				40																					
1597	1598	Aug 26	Bev I5	A Rep 24				36																					
1597	1598	Nov 16	Bev I5	A Rep 24				27.5																					
1598	1599	Mar 13	Bev I5	A Rep 24				27.5																					
1598	1599	Mar 22	Bev I5	A Rep 24				27.5																					
1598	1599	Sep 25	Bev I5	A Rep 24				22																					
1599	1600	May 9	Bev I5	A Rep 25				36																					
1599	1600	Aug 19	Bev I5	A Rep 25				27.5																					
1600	1601	May 7	Bev I5	A Rep 25				30																					
1600	1601	Sep 24	Bev I5	A Rep 25				27.5																					
1601	1602	Feb 18	Bev I5	A Rep 25				23.5																					
1601	1602	Apr 20	Bev I5	A Rep 25				22																					
1601	1602	Nov 23	Bev I5	A Rep 26				22																					
1602	1603	May 26	Bev I5	A Rep 26				25.5																					
1603	1604	Apr 3	Bev I5	A Bakers Hall Bk 56				25.5																					
1603	1604	Jul 17	Bev I5	A Rep 26				25.5																					
1603	1604	Oct 23	Bev I5	A Rep 26				30																					
1604	1605	Aug 15	Bev I5	A Rep 27				25.5																					
1605	1606	Apr 1	Bev I5	A Rep 27				23.5																					
1606	1607	Jun 30	Bev I5	A Rep 28				27.5																					
1606	1607	Nov 10	Bev I5	A Rep 28				33																					
1607	1608	Mar 17	Bev I5	A Rep 28				36																					
1607	1608	May 31	Bev I5	A Rep 28				50																					
1607	1608	Jun 30	Bev I5	A Rep 28				44.5																					
1607	1608	Jul 26	Bev I5	A Rep 28				44.5										
1607	1608	Sep 28	Bev I5	A Rep 28				44.5										
1608	1609	Feb 7	Bev I5	A Rep 28				40										
1608	1609	Jul 20	Bev I5	A Rep 29				40										
1608	1609	Sep 19	Bev I5	A Rep 29				36										
1608	1609	Oct 12	Bev I5	A Rep 29				33										
1609	1610	Jan 15	Bev I5	A Rep 29				30										
1609	1610	Jun 19	Bev I5	A Rep 29				25.5										
1609	1610	Sep 11	Bev I5	A Rep 29				27.5										
1609	1610	Dec 13	Bev I5	A Rep 30				25.5										
1610	1611	Jan 8	Bev I5	A Rep 30				27.5										
1610	1611	Feb 19	Bev I5	A Rep 30				30										
1610	1611	Jun 4	Bev I5	A Rep 30				36										
1610	1611	Aug 5	Bev I5	A Rep 30				33										
1610	1611	Nov 19	Bev I5	A Rep 30				36										
1610	1611	Dec 18	Bev I5	A Rep 30				40										
1611	1612	Jun 23	Bev I5	A Rep 30				44.5										
1611	1612	Aug 4	Bev I5	A Rep 30				40										
1612	1613	May 6	Bev I5	A Rep 30				36										
1613	1614	Mar 3	Bev I5	A Rep 31				36										
1613	1614	Mar 23	Bev I5	A Rep 31				40										
1613	1614	Jul 1	Bev I5	A Rep 31				44.5										
1613	1614	Aug 4	Bev I5	A Rep 31				40										
1613	1614	Nov 11	Bev I5	A Rep 32				36										
1614	1615	Feb 7	Bev I5	A Rep 32				33										
1614	1615	May 4	Bev I5	A Rep 32				30										
1614	1615	Jun 22	Bev I5	A Rep 32 				31.5										
1614	1615	Sep 12	Bev I5	A Rep 32				36										
1615	1616																	
1616	1617																	
1617	1618	Jul 21	Bev I5	A Rep 33				40										
1618	1619	Mar 9	Bev I5	A Rep 34				30										
1618	1619	Apr 29	Bev I5	A Rep 34				30										
1618	1619	Jun 8	Bev I5	A Rep 34				27.5										
1618	1619	Aug 30	Bev I5	A Rep 34				27.5										
1618	1619	Nov 4	Bev I5	A Rep 34				25.5										
1619	1620	Jan 18	Bev I5	A Rep 34				23.5										
1620	1621	Jul 31	Bev I5	A Rep 35				25.5										
1620	1621	Aug 17	Bev I5	A Rep 35				30										
1620	1621	Oct 25	Bev I5	A Rep 35				36										
1620	1621	Dec 18	Bev I5	A Rep 36				40										
1620	1621	Apr 16	Bev I5	A Rep 36				44.5										
1620	1621	Aug 9	Bev I5	A Letter Bk HH				40										
1621	1622	Oct 10	Bev I5	A Rep 36				50										
1622	1623	Mar 27	Bev I5	A Rep n37				44.5										
1622	1623	Apr 1	Bev I5	A Rep 37				50										
1622	1623	Aug 26	Bev I5	A Rep 37				36										
1622	1623	Nov 25	Bev I5	A Rep 38				40										
1623	1624	Feb 5	Bev I5	A Rep 38				44.5										
1623	1624	May 11	Bev I5	A Rep 38				40										
1623	1624	Oct 10	Bev I5	A Rep 38				44.5										
1624	1625	Jan 25	Bev I5	A Rep 39				47										
1625	1626	Sep 5	Bev I5	A Rep 40				44.5										
1625	1626	Sep 19	Bev I5	A Rep 40				36										
1626	1627	Jan 9	Bev I5	A Rep 41				30										
1626	1627	Jan 16	Bev I5	A Rep 41				33										
1626	1627	Jun 19	Bev I5	A Rep 41				30										
1627	1628	Jan 8	Bev I5	A Rep 42				25.5										
1627	1628	Oct 21	Bev I5	A Rep 42				30										
1628	1629	Jan 22	Bev I5	A Rep 43				33										
1628	1629	Mar 17	Bev I5	A Rep 43				36										
1628	1629	Nov 24	Bev I5	A Rep 44				40										
1629	1630	May 7	Bev I5	A Rep 44				44.5										
1629	1630	Aug 26	Bev I5	A Rep 44				57										
1630	1631	Jun 9	Bev I5	A Rep 45				66.5										
1630	1631	Jun 28	Bev I5	A Rep 45				57										
1630	1631	Aug 30	Bev I5	A Rep 45				44.5										
1630	1631	Nov 8	Bev I5	A Rep 46				40										
1631	1632	Jun 5	Bev I5	A Rep 46				36										
1631	1632	Jul 10	Bev I5	A Rep 46				40										
1631	1632	Jul 17	Bev I5	A Rep 46				44.5										
1631	1632	Sep 6	Bev I5	A Rep 46				50										
1631	1632	Oct 4	Bev I5	A Rep 46				50										
1631	1632	Dec 13	Bev I5	A Rep 47				44.5										
1632	1633	Apr 4	Bev I5	A Rep 47				44.5										
1632	1633	May 7	Bev I5	A Rep 47				50										
1633	1634	Dec 9	Bev I5	A Rep 49				40										
1634	1635	Mar 12	Bev I5	A Rep 49				44.5										
1634	1635	Jul 9	Bev I5	A REp 49				50										
1634	1635	Nov 24	Bev I5	A Rep 50				44.5										
1635	1636	Jan 12	Bev I5	A Rep 50				50
1635	1636	Oct 20	Bev I5	A Rep 50				44.5
1636	1637	Jun 15	Bev I5	A Rep 51				36
1636	1637	Aug 30	Bev I5	A Rep 51				44.5
1637	1638	Jan 25	Bev I5	A Rep 52				50
1637	1638	Mar 13	Bev I5	A Rep 52				57
1637	1638	Apr 26	Bev I5	A Rep 52				50
1637	1638	Jul 3	Bev I5	A Rep 52				44.5
1637	1638	Sep 25	Bev I5	A Rep 52				40
1638	1639	May 14	Bev I5	A Rep 53				36
1638	1639	Jul 27	Bev I5	A Rep 53				40
1638	1639	Sep 5	Bev I5	A Rep 53				36
1638	1639	Nov 21	Bev I5	A Rep 54				33
1638	1639	Dec 10	Bev I5	A Rep 54				30.25
1638	1639	Dec 17	Bev I5	A Rep 54				33
1639	1640	May 5	Bev I5	A Rep 54				36
1639	1640	Jul 7	Bev I5	A Rep 54				33	
1639	1640	Sep 1	Bev I5	A Rep 54				36	
1639	1640	Sep 22	Bev I5	A Rep 54				40	
									
									
									
Abbreviations:									
A=Assize in Liber de Assisa Panis 									
AA=Assize in Letter Book  A									
AB=Assize in Letter Book B									
AD=Assize in Letter Book D									
"Note: the assize is normally of white bread; the assize of turta is noted, as are other descriptions of wheat"									
"Bev I5 = London School of Economics Archives, Beveridge Prices and Wages collection, Box I5"									
H=Hyde demesne accounts (vicinity of modern Hyde Park)									
"Corn= PRO, E101/5/14 (purchases by cornmongers)"									
"GM=Gilbert Maghfeld's Book (PRO, E101/509/19)"									
GR=Guildhall Remembrancia									
"HG=Higham Gobion (Beds) demesne accounts, sales of wheat in London"									
Rep= Repertories									
"Shill=Shillington (Beds) demesne accounts, sales of wheat in London"									
SP=St Paul's (Hale)									
Sthwk=Southwark									
WA=Wesminster Abbey (+A=Almoner; C=Cellarer; T= Treasurer)									
"D.Farmer=Westminster Abbey obedientiaries accounts, prices from D.Farmer unpub. mss."									
									
									
									
									
									
