"Canterbury, City Chamberlain's a/cs, 1393-1502"							
Prices set for quarter of wheat in official contracts with city miller.							Dates run from Michaelmas to Michaelmas (29/9-29/9)
"Source: LSE Archives, Beveridge Collection, box D3"							
Yr-beg	Yr-end	£	s	d	Dec-s/Qtr	Date	Note
1428	1429	0	6	8	6.67	Mich - Pur	
1428	1429	0	5	8	5.67	Pur - Mich	
1429	1430	0	8	0	8.00	Mich - Pur	
1429	1430	0	10	0	10.00	Pur - Pent	
1429	1430	0	8	0	8.00	Pent - Mich	
1430	1431	0	7	8	7.67	Mich - Pur	
1430	1431	0	7	1	7.08	Pur - Pent	
1430	1431	0	7	4	7.33	Pent - Mich	
1431	1432	0	4	8	4.67	Mich - Pur	assumed from context
1431	1432	0	4	10	4.83	Pur - Pent	assumed from context
1431	1432	0	4	8	4.67	Pent - Mich	assumed from context
1432	1433	0	6	8	6.67	Mich - Pur	assumed from context
1432	1433	0	8	0	8.00	Pur - Pent	assumed from context
1432	1433	0	8	4	8.33	Pent - Mich	assumed from context
1433	1434	0	6	0	6.00	Mich - Pur
1433	1434	0	6	8	6.67	Pur - Pent
1433	1434	0	6	0	6.00	Pent - Mich
1434	1435	0	5	6	5.50	Mich - Pur
1434	1435	0	5	6	5.50	Pur - Pent
1434	1435	0	4	8	4.67	Pent - Mich
1435	1436	0	6	8	6.67	Mich - Pur
1435	1436	0	5	4	5.33	Pur - Pent
1435	1436	0	5	8	5.67	Pent - Mich
1436	1437	0	5	4	5.33	Mich - Pur
1436	1437	0	5	4	5.33	Pur - Pent
1436	1437	0	6	8	6.67	Pent - Mich
1437	1438	0	9	0	9.00	Mich - Pur
1437	1438	0	10	6	10.50	Pur - Easter
1437	1438	0	12	0	12.00	Easter - Pent
1437	1438	0	11	4	11.33	Pent - St Peter ad Vinc
1437	1438	0	10	8	10.67	St Peter - Mich
1438	1439	0	14	6	14.50	
1438	1439	0	15	0	15.00	
1438	1439	0	15	6	15.50	Pent - Trans St Thos Martyr
1438	1439	0	8	10	8.83	St Thos - Mich
1438	1439	0	9	6	9.50	St Thos - Mich
1438	1439	0	7	6	7.50	St Thos - Mich
1438	1439	0	10	2	10.17	St Thos - Mich
1439	1440	0	10	0	10.00	Mich - Pur
1439	1440	0	10	0	10.00	pur - Pent
1439	1440	0	10	0	10.00	pent - St Marg Virg
1439	1440	0	6	8	6.67	St Marg - Mich
1439	1440	0	6	4	6.33	same?
1440	1441	0	4	8	4.67	Mich - Pur
1440	1441	0	4	8	4.67	Pur - Pent
1440	1441	0	4	0	4.00	Pent - Mich
1441	1442	0	5	0	5.00	Mich - Pur	
1441	1442	0	4	8	4.67	Pur - Pent	
1441	1442	0	5	0	5.00	Pent - Mich	
1442	1443	0	4	8	4.67	Mich - Pur	
1442	1443	0	4	8	4.67	Pur - Pent	
1442	1443	0	4	6	4.50	Pent - Mich	
1443	1444	0	4	6	4.50	Mich - Pur	
1443	1444	0	4	4	4.33	Pur - Pent	
1443	1444	0	4	4	4.33	Pent - Mich	22-3 Hen 6
1444	1445					**missing	
1445	1446	0	5	0	5.00	Mich - Pur	24 Hen 6
1445	1446	0	6	0	6.00	Pur - Pent	
1445	1446	0	6	8	6.67	Pent - Mich	
1446	1447	0	6	8	6.67	Mich - Pur	25 Hen 6
1446	1447	0	7	0	7.00	Pur - Pent	
1446	1447	0	6	9	6.75	Pent - Mich	
1447	1448	0	6	0	6.00	Mich - Pur
1447	1448	0	5	0	5.00	Pur - Pent
1447	1448	0	4	6	4.50	Pent - Mich
