"CHESTER - Sales of Grain, malt and peas from the Dee Mills"																		
Source: PRO Class SC6 + Mss notes held by Victoria County History (Chester)																		
"WHEAT: London measure, struck bushel."																		
		Qtty sold			For:													
Yr fr Mich	Yr t Mich	Q_sold	b_sold	Dec-Qtr.	£	s	d	Dec-s/Qtr	S. per Qtr.	Note								
1482	1483	70	2	70.25	38	11	8	771.6666667	10.98									#DIV/0!
1483	1484			0														#DIV/0!
1484	1485	41	2	41.25	13	13	2	273.1666667	6.62									#DIV/0!
1485	1486	69	2.5	69.3125	20	6	1	406.0833333	5.86									#DIV/0!
1486	1487	39	0	39	20	18	2	418.1666667	10.72									#DIV/0!
1487	1488	45	0.875	45.109375	23	15	5	475.4166667	10.54									#DIV/0!
1488	1489	137	0	137	27	11	6	551.5	4.03									#DIV/0!
1489	1490	102	0	102	26	1	2.5	521.2083333	5.11									#DIV/0!
1490	1491	83	0	83	30	15	5	615.4166667	7.41									#DIV/0!
1491	1492	57	4.5	57.5625	21	19	1	439.0833333	7.63									#DIV/0!
1492	1493	33	1	33.125	17	3	7.5	343.625	10.37									#DIV/0!
1493	1494	39	5	39.625	14	5	2	285.1666667	7.20									#DIV/0!
1494	1495	54	5	54.625	15	2	7.5	302.625	5.54									#DIV/0!
1495	1496	47	3	47.375	15	1	10.5	301.875	6.37									#DIV/0!
1496	1497	40	0.5	40.0625	21	1	2	421.1666667	10.51									#DIV/0!
1497	1498	49	7	49.875	13	12	7.5	272.625	5.47									#DIV/0!
1498	1499	42	5	42.625	16	8	9.5	328.7916667	7.71									#DIV/0!
1499	1500	41	0.125	41.015625	17	16	2	356.1666667	8.68									#DIV/0!
1500	1501	43	1.5	43.1875	11	5	6.75	225.5625	5.22									#DIV/0!
1501	1502	42	1.5	42.1875	11	12		232	5.50									#DIV/0!
1502	1503	31	1.5	31.1875	10	7	11	207.9166667	6.67									#DIV/0!
																		
																		
																		
																		
																		
																		
																		
																		
