hundred,unique_id,tot_val_1524,tot_val_1543,tot_val_1581,tot_val_1674,count_1524,count_1543,count_1581,count_1674,max_val_1524,max_val_1543,max_val_1581,max_val_1674,surname_1524,surname_1543,surname_1581,surname_1674,unique_treatment_1524,unique_treatment_1543,unique_treatment_1581,unique_treatment_1674,unique_control_1524,unique_control_1543,unique_control_1581,unique_control_1674,avg_val_1524,avg_val_1543,avg_val_1581,avg_val_1674,tot_val_1840,count_1840,max_val_1840,surname_1840,unique_treatment_1840,unique_control_1840,avg_val_1840
West Budleigh,23976,,,5.0,,,,1.0,,,,5.0,,,,Browne,,,,0.0,,,,0.0,,,,5.0,,2679.0,12.0,732.0,Browne,0.0,0.0,223.25
West Budleigh,24130,,2.0,,,,1.0,,,,2.0,,,,Bussell,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,
West Budleigh,24142,1.0,,,,1.0,,,,1.0,,,,Sayer,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
West Budleigh,24264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32814.0,55.0,2228.0,Pridham,0.0,0.0,596.6181818181818
West Budleigh,24727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7278.0,15.0,1120.0,Lightfoot,0.0,0.0,485.2
West Budleigh,25119,6.0,,3.0,,3.0,,1.0,,3.0,,3.0,,Taylor,,Taylor,,0.0,,0.0,,1.0,,1.0,,2.0,,3.0,,,,,,,,
West Budleigh,25164,2.0,,,,1.0,,,,2.0,,,,Strang,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,,
West Budleigh,25419,,,3.0,,,,1.0,,,,3.0,,,,Adams,,,,1.0,,,,0.0,,,,3.0,,14208.0,53.0,1032.0,Adams,1.0,0.0,268.07547169811323
West Budleigh,25437,,,3.0,,,,1.0,,,,3.0,,,,Smythe,,,,0.0,,,,0.0,,,,3.0,,,,,,,,
West Budleigh,25485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39229.0,61.0,3223.0,Francis,0.0,0.0,643.0983606557377
West Budleigh,25566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10613.0,33.0,1038.0,Martin,0.0,0.0,321.6060606060606
West Budleigh,25660,,,1.0,,,,1.0,,,,1.0,,,,Bidgood,,,,0.0,,,,0.0,,,,1.0,,,,,,,,
West Budleigh,25661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12911.0,24.0,1100.0,Brown,0.0,0.0,537.9583333333334
West Budleigh,25738,3.0,1.0,,,1.0,1.0,,,3.0,1.0,,,Heydon,Heydon,,,0.0,0.0,,,0.0,0.0,,,3.0,1.0,,,,,,,,,
West Budleigh,25853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351426.0,628.0,7806.0,Davie,0.0,0.0,559.5955414012739
West Budleigh,25936,1.0,,,,1.0,,,,1.0,,,,Pyne,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
West Budleigh,25975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109217.0,254.0,1884.0,Melhuish,0.0,1.0,429.98818897637796
West Budleigh,26041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9761.0,21.0,1292.0,Bright,0.0,0.0,464.8095238095238
West Budleigh,26048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28183.0,50.0,1621.0,Harris,0.0,1.0,563.66
West Budleigh,26081,,,1.0,,,,1.0,,,,1.0,,,,Morell,,,,0.0,,,,0.0,,,,1.0,,,,,,,,
West Budleigh,26265,,7.0,,,,1.0,,,,7.0,,,,Daley,,,,0.0,,,,0.0,,,,7.0,,,,,,,,,
West Budleigh,26356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.0,3.0,103.0,Hurford,0.0,0.0,64.33333333333333
West Budleigh,26431,15.0,9.0,,,4.0,1.0,,,6.0,9.0,,,Adam,Adam,,,0.0,0.0,,,0.0,0.0,,,3.75,9.0,,,,,,,,,
West Budleigh,26609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56440.0,106.0,2368.0,Carew,1.0,0.0,532.4528301886793
