hundred,group_id,tot_val_1524,tot_val_1543,tot_val_1581,tot_val_1674,count_1524,count_1543,count_1581,count_1674,max_val_1524,max_val_1543,max_val_1581,max_val_1674,surname_1524,surname_1543,surname_1581,surname_1674,group_treatment_1524,group_treatment_1543,group_treatment_1581,group_treatment_1674,group_control_1524,group_control_1543,group_control_1581,group_control_1674,avg_val_1524,avg_val_1543,avg_val_1581,avg_val_1674,tot_val_1840,count_1840,max_val_1840,surname_1840,group_treatment_1840,group_control_1840,avg_val_1840
South Molton,5929,,27.0,,5.0,,2.0,,4.0,,16.0,,2.0,,Franklyn,,Frankling,,0.0,,0.0,,0.0,,0.0,,13.5,,1.25,39308.0,60.0,3020.0,Franklin,0.0,0.0,655.1333333333333
South Molton,5939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3048.0,7.0,627.0,Freake,0.0,0.0,435.42857142857144
South Molton,5992,,1.0,,,,1.0,,,,1.0,,,,Frost,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,
South Molton,5993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106438.0,132.0,26637.0,Froude,0.0,0.0,806.3484848484849
South Molton,6005,,6.0,,1.0,,1.0,,1.0,,6.0,,1.0,,Fulford,,Fulford,,1.0,,1.0,,0.0,,0.0,,6.0,,1.0,,,,,,,
South Molton,6037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,2.0,72.0,Furze,0.0,0.0,56.0
South Molton,6111,,,,3.0,,,,1.0,,,,3.0,,,,Garbe,,,,0.0,,,,0.0,,,,3.0,,,,,,,
South Molton,6141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140.0,9.0,255.0,Jerrett,0.0,0.0,126.66666666666667
South Molton,6209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2610.0,16.0,458.0,Gay,0.0,0.0,163.125
South Molton,6210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.0,3.0,105.0,Gaydon,0.0,0.0,61.0
South Molton,6288,13.666666666666666,,,1.0,1.0,,,1.0,13.666666666666666,,,1.0,Gifford,,,Gifford,0.0,,,0.0,0.0,,,0.0,13.666666666666666,,,1.0,,,,,,,
South Molton,6305,,,7.0,13.0,,,2.0,7.0,,,4.0,4.0,,,Gill,Gill,,,0.0,0.0,,,0.0,0.0,,,3.5,1.8571428571428572,7696.0,26.0,886.0,Gill,0.0,0.0,296.0
South Molton,6307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8405.0,22.0,946.0,Gillard,0.0,0.0,382.04545454545456
South Molton,6373,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,Glasse,Glasse,,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,,,,,,,
South Molton,6397,,,,1.0,,,,1.0,,,,1.0,,,,Gliddon,,,,0.0,,,,0.0,,,,1.0,,,,,,,
South Molton,6406,,,,1.0,,,,1.0,,,,1.0,,,,Glover,,,,0.0,,,,0.0,,,,1.0,,,,,,,
South Molton,6431,,,,2.0,,,,2.0,,,,1.0,,,,Godfrey,,,,0.0,,,,0.0,,,,1.0,,,,,,,
South Molton,6454,11.0,24.0,2.0,2.0,2.0,7.0,1.0,2.0,6.0,8.0,2.0,1.0,Gold,Gold,Gould,Gould,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,3.4285714285714284,2.0,1.0,42005.0,131.0,1875.0,Gould,0.0,0.0,320.64885496183206
South Molton,6522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,7.0,21.0,Gooding,0.0,0.0,6.428571428571429
South Molton,6533,1.0,,,,1.0,,,,1.0,,,,Godman,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
South Molton,6563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,1.0,34.0,Gornell,0.0,0.0,34.0
South Molton,6567,5.333333333333333,4.0,,,2.0,1.0,,,3.333333333333333,4.0,,,Gorton,Gorton,,,0.0,0.0,,,0.0,0.0,,,2.6666666666666665,4.0,,,,,,,,,
South Molton,6579,4.0,15.0,3.0,,3.0,4.0,1.0,,2.0,8.0,3.0,,Gosse,Gosse,Gosse,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.3333333333333333,3.75,3.0,,,,,,,,
South Molton,6605,,,,1.0,,,,1.0,,,,1.0,,,,Govier,,,,0.0,,,,0.0,,,,1.0,,,,,,,
South Molton,6622,8.333333333333332,23.0,4.0,,5.0,7.0,1.0,,3.0,10.0,4.0,,Graddon,Graddon,Graddon,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.6666666666666665,3.2857142857142856,4.0,,13550.0,46.0,1826.0,Graddon,0.0,0.0,294.5652173913044
