hundred,combined_id,tot_val_1524,tot_val_1543,tot_val_1581,tot_val_1674,count_1524,count_1543,count_1581,count_1674,max_val_1524,max_val_1543,max_val_1581,max_val_1674,surname_1524,surname_1543,surname_1581,surname_1674,combined_treatment_1524,combined_treatment_1543,combined_treatment_1581,combined_treatment_1674,combined_control_1524,combined_control_1543,combined_control_1581,combined_control_1674,avg_val_1524,avg_val_1543,avg_val_1581,avg_val_1674,tot_val_1840,count_1840,max_val_1840,surname_1840,combined_treatment_1840,combined_control_1840,avg_val_1840
South Molton,5326,5.0,,,,3.0,,,,2.0,,,,Horton,,,,0.0,,,,0.0,,,,1.6666666666666667,,,,,,,,,,
South Molton,5329,2.0,,10.0,,1.0,,1.0,,2.0,,10.0,,Horwood,,Horwood,,0.0,,0.0,,0.0,,0.0,,2.0,,10.0,,,,,,,,
South Molton,5335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8746.0,35.0,625.0,Hoskin,0.0,0.0,249.88571428571427
South Molton,5378,20.0,,,,1.0,,,,20.0,,,,Howell,,,,0.0,,,,0.0,,,,20.0,,,,25.0,2.0,16.0,Howel,0.0,0.0,12.5
South Molton,5415,,,,5.0,,,,1.0,,,,5.0,,,,Huggin,,,,0.0,,,,0.0,,,,5.0,,,,,,,
South Molton,5447,,41.0,6.0,1.0,,6.0,2.0,1.0,,10.0,5.0,1.0,,Hunt,Hunt,Hunt,,0.0,0.0,0.0,,0.0,0.0,0.0,,6.833333333333333,3.0,1.0,153.0,8.0,40.0,Hunt,0.0,0.0,19.125
South Molton,5456,2.0,10.0,,5.0,1.0,2.0,,5.0,2.0,8.0,,1.0,Hurd,Hurd,,Heard,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,5.0,,1.0,61.0,3.0,34.0,Heard,0.0,0.0,20.333333333333332
South Molton,5462,,,,2.0,,,,2.0,,,,1.0,,,,Hearle,,,,0.0,,,,0.0,,,,1.0,10400.0,17.0,5087.0,Earl,0.0,0.0,611.7647058823529
South Molton,5486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0,6.0,153.0,Hutchings,0.0,0.0,48.0
South Molton,5495,,,,2.0,,,,2.0,,,,1.0,,,,Huxtable,,,,0.0,,,,0.0,,,,1.0,80265.0,243.0,2208.0,Huxtable,0.0,0.0,330.30864197530866
South Molton,5562,,3.0,,,,1.0,,,,3.0,,,,Isacke,,,,0.0,,,,0.0,,,,3.0,,,,,,,,,
South Molton,5593,,,,1.0,,,,1.0,,,,1.0,,,,James,,,,0.0,,,,0.0,,,,1.0,,,,,,,
South Molton,5595,5.0,3.0,,,1.0,1.0,,,5.0,3.0,,,Jayne,Jane,,,0.0,0.0,,,0.0,0.0,,,5.0,3.0,,,,,,,,,
South Molton,5663,41.0,,,4.0,2.0,,,4.0,40.0,,,1.0,John,,,Jones,0.0,,,0.0,0.0,,,0.0,20.5,,,1.0,10496.0,38.0,988.0,Jones,0.0,0.0,276.2105263157895
South Molton,5664,3.0,2.0,,1.0,1.0,1.0,,1.0,3.0,2.0,,1.0,Jope,Jope,,Jope,0.0,0.0,,0.0,0.0,0.0,,0.0,3.0,2.0,,1.0,,,,,,,
South Molton,5685,,,,12.0,,,,3.0,,,,6.0,,,,Jory,,,,0.0,,,,0.0,,,,4.0,,,,,,,
South Molton,5694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43209.0,155.0,9880.0,Johnson,0.0,0.0,278.76774193548385
South Molton,5715,1.0,,,,1.0,,,,1.0,,,,Geton,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
South Molton,5731,,,,5.0,,,,1.0,,,,5.0,,,,Kee,,,,0.0,,,,0.0,,,,5.0,,,,,,,
South Molton,5752,,,,6.0,,,,1.0,,,,6.0,,,,Kelland,,,,0.0,,,,0.0,,,,6.0,,,,,,,
South Molton,5758,,8.0,,,,1.0,,,,8.0,,,,Colley,,,,0.0,,,,0.0,,,,8.0,,,,,,,,,
South Molton,5790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4123.0,11.0,1078.0,Griffith,0.0,0.0,374.8181818181818
South Molton,5820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12227.0,29.0,1371.0,Keen,0.0,0.0,421.62068965517244
South Molton,5873,,,,11.0,,,,5.0,,,,4.0,,,,King,,,,0.0,,,,0.0,,,,2.2,,,,,,,
