hundred,metaphone_id,tot_val_1524,tot_val_1543,tot_val_1581,tot_val_1674,count_1524,count_1543,count_1581,count_1674,max_val_1524,max_val_1543,max_val_1581,max_val_1674,surname_1524,surname_1543,surname_1581,surname_1674,metaphone_treatment_1524,metaphone_treatment_1543,metaphone_treatment_1581,metaphone_treatment_1674,metaphone_control_1524,metaphone_control_1543,metaphone_control_1581,metaphone_control_1674,avg_val_1524,avg_val_1543,avg_val_1581,avg_val_1674,tot_val_1840,count_1840,max_val_1840,surname_1840,metaphone_treatment_1840,metaphone_control_1840,avg_val_1840
Hartland,6267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12650.0,38.0,966.0,Heddon,1.0,0.0,332.89473684210526
Hartland,6333,5.5,10.0,,,4.0,2.0,,,2.0,8.0,,,Mocke,Moke,,,0.0,0.0,,,0.0,0.0,,,1.375,5.0,,,,,,,,,
Hartland,6442,,,,20.0,,,,1.0,,,,20.0,,,,Robt,,,,0.0,,,,0.0,,,,20.0,,,,,,,
Hartland,6457,,,,3.0,,,,2.0,,,,2.0,,,,Rowland,,,,0.0,,,,0.0,,,,1.5,,,,,,,
Hartland,6521,,1.0,,,,1.0,,,,1.0,,,,Jenkens,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,
Hartland,6523,,2.0,,,,2.0,,,,1.0,,,,Duke,,,,1.0,,,,0.0,,,,1.0,,,,,,,,,
Hartland,6578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39465.0,65.0,3580.0,Turner,0.0,0.0,607.1538461538462
Hartland,6588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5055.0,14.0,1127.0,Fletcher,0.0,0.0,361.07142857142856
Hartland,6603,,,,3.0,,,,3.0,,,,1.0,,,,Coy,,,,0.0,,,,0.0,,,,1.0,11282.0,54.0,919.0,Gay,0.0,0.0,208.92592592592592
Hartland,6609,30.0,,,,1.0,,,,30.0,,,,Fottes,,,,0.0,,,,0.0,,,,30.0,,,,,,,,,,
Hartland,6659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3143.0,14.0,567.0,Borough,0.0,0.0,224.5
Hartland,6662,7.0,14.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,8.0,2.0,1.0,Eyer,Year,Eare,Eare,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.3333333333333335,7.0,2.0,1.0,,,,,,,
Hartland,6663,3.0,,14.0,,1.0,,2.0,,3.0,,11.0,,Chope,,Shapplighe,,0.0,,0.0,,0.0,,0.0,,3.0,,7.0,,92830.0,178.0,3640.0,Chope,0.0,0.0,521.5168539325842
Hartland,6664,4.0,,,,2.0,,,,2.0,,,,Barefote,,,,0.0,,,,0.0,,,,2.0,,,,4513.0,14.0,739.0,Barfoot,0.0,0.0,322.35714285714283
Hartland,6726,,,,1.0,,,,1.0,,,,1.0,,,,Willington,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Hartland,6756,3.0,1.0,,,1.0,1.0,,,3.0,1.0,,,Alyn,Alyn,,,0.0,0.0,,,0.0,0.0,,,3.0,1.0,,,,,,,,,
Hartland,6786,,2.0,,8.0,,1.0,,3.0,,2.0,,3.0,,Sanders,,Saunders,,0.0,,0.0,,0.0,,0.0,,2.0,,2.6666666666666665,3961.0,25.0,507.0,Saunders,0.0,0.0,158.44
Hartland,6838,,,,2.0,,,,1.0,,,,2.0,,,,Church,,,,0.0,,,,0.0,,,,2.0,,,,,,,
Hartland,6852,,,,9.0,,,,4.0,,,,5.0,,,,Bayley,,,,0.0,,,,0.0,,,,2.25,154074.0,433.0,2959.0,Bayley,0.0,0.0,355.82909930715937
Hartland,6866,2.0,5.0,,,1.0,1.0,,,2.0,5.0,,,Farre,Farr,,,0.0,0.0,,,0.0,0.0,,,2.0,5.0,,,,,,,,,
Hartland,6884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30845.0,63.0,2272.0,Trathen,0.0,0.0,489.6031746031746
Hartland,6897,,,,2.0,,,,2.0,,,,1.0,,,,Tombs,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Hartland,6905,,3.0,,,,1.0,,,,3.0,,,,Sherlond,,,,0.0,,,,0.0,,,,3.0,,,,,,,,,
Hartland,6927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1398.0,11.0,478.0,Rice,0.0,0.0,127.0909090909091
Hartland,6940,,,1.0,6.0,,,1.0,4.0,,,1.0,2.0,,,Webbe,Webb,,,0.0,0.0,,,0.0,0.0,,,1.0,1.5,21729.0,65.0,1276.0,Webb,0.0,0.0,334.2923076923077
Hartland,6941,,2.0,,1.0,,1.0,,1.0,,2.0,,1.0,,Martyn,,Martyn,,0.0,,0.0,,0.0,,0.0,,2.0,,1.0,194147.0,242.0,10936.0,Martyn,0.0,0.0,802.2603305785124
Hartland,6948,14.333333333333334,9.0,3.0,9.0,2.0,2.0,1.0,2.0,13.333333333333334,7.0,3.0,8.0,Vely,Vely,Velley,Velly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.166666666666667,4.5,3.0,4.5,,,,,,,
Hartland,6967,1.0,,,,1.0,,,,1.0,,,,Weryng,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
Hartland,6974,,,,1.0,,,,1.0,,,,1.0,,,,Vellet,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Hartland,7099,4.0,4.0,,3.0,1.0,1.0,,1.0,4.0,4.0,,3.0,Hoo,How,,Ha,0.0,0.0,,0.0,0.0,0.0,,0.0,4.0,4.0,,3.0,,,,,,,
Hartland,7183,3.0,1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,1.0,Hooper,Hoper,,Hooper,0.0,0.0,,0.0,0.0,0.0,,0.0,1.5,1.0,,1.0,,,,,,,
Hartland,7246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2122.0,16.0,389.0,Newcombe,0.0,0.0,132.625
Hartland,7299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88200.0,140.0,2562.0,Stevens,0.0,0.0,630.0
Hartland,7303,,,,3.0,,,,1.0,,,,3.0,,,,Black,,,,0.0,,,,0.0,,,,3.0,,,,,,,
Hartland,7304,28.333333333333336,10.0,,,3.0,1.0,,,13.333333333333334,10.0,,,Draper,Draper,,,0.0,0.0,,,0.0,0.0,,,9.444444444444445,10.0,,,,,,,,,
Hartland,7327,1.0,3.0,,2.0,1.0,1.0,,2.0,1.0,3.0,,1.0,Byshoppe,Byshop,,Bishop,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,3.0,,1.0,,,,,,,
Hartland,7331,25.0,48.0,,16.0,5.0,6.0,,6.0,20.0,20.0,,4.0,Trycke,Trycke,,Truck,1.0,1.0,,1.0,0.0,0.0,,0.0,5.0,8.0,,2.6666666666666665,19775.0,42.0,1540.0,Trick,1.0,0.0,470.8333333333333
Hartland,7360,,,,1.0,,,,1.0,,,,1.0,,,,Tricker,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Hartland,7370,,8.0,2.0,,,1.0,1.0,,,8.0,2.0,,,Comar,Comer,,,0.0,0.0,,,0.0,0.0,,,8.0,2.0,,,,,,,,
Hartland,7378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969.0,6.0,368.0,Chanter,0.0,0.0,161.5
Hartland,7382,1.0,4.0,,,1.0,2.0,,,1.0,2.0,,,Forschewer,Furshewere,,,0.0,0.0,,,0.0,0.0,,,1.0,2.0,,,,,,,,,
Hartland,7391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,6.0,132.0,Watts,0.0,0.0,56.0
Hartland,7424,,,,3.0,,,,2.0,,,,2.0,,,,Batt,,,,0.0,,,,0.0,,,,1.5,,,,,,,
Hartland,7449,,,,4.0,,,,2.0,,,,3.0,,,,Mil,,,,0.0,,,,0.0,,,,2.0,,,,,,,
Hartland,7475,,,,1.0,,,,1.0,,,,1.0,,,,Butson,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Hartland,7481,,,,5.0,,,,4.0,,,,2.0,,,,Wilcox,,,,0.0,,,,0.0,,,,1.25,,,,,,,
Hartland,7525,,11.0,,,,3.0,,,,6.0,,,,Whyston,,,,0.0,,,,0.0,,,,3.6666666666666665,,,,,,,,,
Hartland,7549,,8.0,5.0,,,2.0,1.0,,,5.0,5.0,,,Burgez,Burgies,,,0.0,0.0,,,0.0,0.0,,,4.0,5.0,,,,,,,,
Hartland,7554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.0,3.0,334.0,Hambly,0.0,0.0,116.33333333333333
Hartland,7575,5.0,9.0,,14.0,2.0,4.0,,7.0,4.0,4.0,,7.0,Denys,Denys,,Dennis,1.0,1.0,,1.0,0.0,0.0,,0.0,2.5,2.25,,2.0,61754.0,125.0,3006.0,Dennis,1.0,0.0,494.032
Hartland,7596,,,,1.0,,,,1.0,,,,1.0,,,,Braggator,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Hartland,7598,,,,1.0,,,,1.0,,,,1.0,,,,Backway,,,,0.0,,,,0.0,,,,1.0,911465.0,1517.0,9210.0,Buck,0.0,0.0,600.8338826631509
Hartland,7637,276.6666666666667,116.0,19.0,49.0,16.0,14.0,7.0,15.0,200.0,40.0,5.0,7.0,Prust,Pruste,Prust,Prist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.291666666666668,8.285714285714286,2.7142857142857144,3.2666666666666666,140879.0,302.0,3460.0,Prust,0.0,0.0,466.4867549668874
Hartland,7665,2.0,4.0,,,1.0,1.0,,,2.0,4.0,,,Somer,Somer,,,1.0,1.0,,,0.0,0.0,,,2.0,4.0,,,,,,,,,
Hartland,7703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,1.0,22.0,Metherall,0.0,0.0,22.0
Hartland,7729,2.0,11.0,4.0,6.0,2.0,2.0,1.0,3.0,1.0,7.0,4.0,3.0,Galsworthy,Gallysworthy,Galsworthie,Galsworthy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,4.0,2.0,37783.0,86.0,1254.0,Galsworthy,0.0,0.0,439.33720930232556
Hartland,7750,,,,6.0,,,,1.0,,,,6.0,,,,Glass,,,,1.0,,,,0.0,,,,6.0,,,,,,,
Hartland,7806,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0,Smale,,,Small,0.0,,,0.0,0.0,,,0.0,1.0,,,1.0,,,,,,,
Hartland,7856,,1.0,,,,1.0,,,,1.0,,,,Isake,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,
Hartland,7866,,,,1.0,,,,1.0,,,,1.0,,,,Colins,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Hartland,7875,,,,1.0,,,,1.0,,,,1.0,,,,Sunner,,,,0.0,,,,0.0,,,,1.0,11862.0,38.0,858.0,Senior,0.0,0.0,312.1578947368421
Hartland,7876,,,,2.0,,,,2.0,,,,1.0,,,,Bunfunt,,,,0.0,,,,0.0,,,,1.0,,,,,,,
