"FlagID","PersonID","Flags"
5261,61050,"twin"
5262,61150,"twin"
5263,61178,"twin"
5264,61223,"FOUNDLING"
5265,61258,"FOUNDLING"
5266,61280,"FOUNDLING"
5267,61288,"FOUNDLING"
5268,61351,"FOUNDLING"
5269,61357,"FOUNDLING"
5270,61367,"twin"
5271,61368,"twin"
5272,61375,"twin"
5273,61376,"twin"
5274,61555,"twin"
5275,61556,"twin"
5276,61568,"twin"
5277,61569,"twin"
5278,61588,"twin"
5279,61599,"twin"
5280,61660,"illegitimate"
5281,61721,"twin"
5282,61722,"twin"
5283,61794,"twin"
5284,61795,"twin"
5285,61805,"twin"
5286,61806,"twin"
5287,61812,"twin"
5288,61813,"twin"
5289,61850,"illegitimate"
5290,61858,"twin"
5291,61859,"twin"
5292,61901,"twin"
5293,61910,"twin"
5294,61913,"twin"
5295,61914,"twin"
5296,61917,"FOUNDLING"
5297,61918,"twin"
5298,61930,"twin"
5299,61974,"twin"
5300,61984,"twin"
5301,61985,"twin"
5302,62005,"twin"
5303,62006,"twin"
5304,62018,"twin"
5305,62203,"twin"
5306,62204,"twin"
5307,62311,"FOUNDLING"
5308,62367,"twin"
5309,62370,"twin"
5310,62371,"twin"
5311,62376,"twin"
5312,62401,"twin"
5313,62402,"twin"
5314,62467,"twin"
5315,62476,"twin"
5316,62510,"twin"
5317,62511,"twin"
5318,62559,"twin"
5319,62561,"twin"
5320,62562,"twin"
5321,62568,"triplet"
5322,62578,"triplet"
5323,62579,"triplet"
5324,62589,"FOUNDLING"
5325,62603,"twin"
5326,62615,"twin"
5327,62616,"twin"
5328,62634,"twin"
5329,62635,"twin"
5330,62782,"twin"
5331,62783,"twin"
5332,62787,"twin"
5333,62795,"twin"
5334,62802,"twin"
5335,62803,"twin"
5336,62817,"twin"
5337,62818,"twin"
5338,62972,"twin"
5339,62990,"twin"
5340,63010,"twin"
5341,63011,"twin"
5342,63026,"twin"
5343,63077,"FOUNDLING"
5344,63119,"twin"
5345,63136,"twin"
5346,63142,"twin"
5347,63185,"twin"
5348,63186,"twin"
5349,63214,"twin"
5350,63225,"twin"
5351,63237,"illegitimate"
5352,63267,"twin"
5353,63268,"twin"
5354,63309,"FOUNDLING"
5355,63364,"twin"
5356,63365,"twin"
5357,63372,"twin"
5358,63380,"twin"
5359,63449,"FOUNDLING"
5360,63464,"twin"
5361,63467,"FOUNDLING"
5362,63534,"twin"
5363,63553,"FOUNDLING"
5364,63649,"twin"
5365,63650,"twin"
5366,63693,"FOUNDLING"
5367,63784,"twin"
5368,63809,"twin"
5369,63950,"twin"
5370,63951,"twin"
5371,63988,"FOUNDLING"
5372,64164,"twin"
5373,64175,"twin"
5374,64304,"twin"
5375,64306,"FOUNDLING"
5376,64314,"twin"
5377,64349,"twin"
5378,64358,"twin"
5379,64390,"twin"
5380,64391,"twin"
5381,64482,"twin"
5382,64483,"twin"
5383,64523,"illegitimate"
5384,64596,"twin"
5385,64606,"twin"
5386,64623,"twin"
5387,64648,"twin"
5388,64700,"illegitimate"
5389,64777,"twin"
5390,64818,"twin"
5391,64819,"twin"
5392,64829,"twin"
5393,64830,"twin"
5394,64850,"illegitimate"
5395,64910,"twin"
5396,64911,"twin"
5397,65011,"twin"
5398,65012,"twin"
5399,65043,"twin"
5400,65052,"twin"
5401,65103,"twin"
5402,65104,"twin"
5403,65187,"FOUNDLING"
5404,65213,"twin"
5405,65214,"twin"
5406,65215,"twin"
5407,65288,"FOUNDLING"
5408,65292,"FOUNDLING"
5409,65346,"twin"
5410,65354,"twin"
5411,65470,"twin"
5412,65471,"twin"
5413,65535,"twin"
5414,65546,"twin"
5415,65609,"twin"
5416,65611,"twin"
5417,65689,"illegitimate"
5418,65731,"FOUNDLING"
5419,65866,"twin"
5420,65875,"twin"
5421,25008,"married"
5422,25009,"married"
5423,25025,"FOUNDLING"
5424,25090,"illegitimate"
5425,25328,"twin"
5426,25329,"twin"
5427,25355,"twin"
5428,25380,"twin"
5429,25389,"chrisom child"
5430,25477,"posthumous"
5431,25493,"twin"
5432,25494,"twin"
5433,25513,"married"
5434,25517,"FOUNDLING"
5435,25519,"twin"
5436,25580,"twin"
5437,25589,"twin"
5438,25592,"FOUNDLING"
5439,25608,"twin"
5440,25712,"FOUNDLING"
5441,25749,"twin"
5442,25750,"twin"
5443,25756,"FOUNDLING"
5444,25844,"illegitimate"
5445,25849,"illegitimate"
5446,25858,"illegitimate"
5447,25879,"FOUNDLING"
5448,25911,"illegitimate"
5449,25955,"illegitimate"
5450,26057,"illegitimate"
5451,26078,"twin"
5452,26079,"twin"
5453,26144,"illegitimate"
5454,26192,"FOUNDLING"
5455,26280,"twin"
5456,26281,"twin"
5457,26308,"twin"
5458,26309,"twin"
5459,26372,"twin"
5460,26373,"twin"
5461,26374,"FOUNDLING"
5462,26401,"twin"
5463,26402,"twin"
5464,26439,"illegitimate"
5465,26447,"illegitimate"
5466,26533,"FOUNDLING"
5467,26589,"illegitimate"
5468,26607,"FOUNDLING"
5469,26608,"twin"
5470,26609,"twin"
5471,26617,"illegitimate"
5472,26669,"twin"
5473,26694,"twin"
5474,26822,"illegitimate"
5475,26851,"illegitimate"
5476,26878,"chrisom child"
5477,26894,"FOUNDLING"
5478,26985,"twin"
5479,26987,"twin"
5480,26996,"twin"
5481,27006,"twin"
5482,27128,"illegitimate"
5483,27148,"twin"
5484,27159,"twin"
5485,27316,"twin"
5486,27317,"twin"
5487,27350,"twin"
5488,27352,"twin"
5489,27368,"FOUNDLING"
5490,27404,"twin"
5491,27419,"twin"
5492,27420,"twin"
5493,27423,"FOUNDLING"
5494,27432,"twin"
5495,27461,"twin"
5496,27490,"twin"
5497,27611,"twin"
5498,27612,"twin"
5499,27646,"illegitimate"
5500,27653,"illegitimate"
5501,27697,"illegitimate"
5502,27712,"illegitimate"
5503,27716,"illegitimate"
5504,27734,"illegitimate"
5505,27749,"illegitimate"
5506,27764,"foundling chrisom"
5507,27820,"twin"
5508,27821,"twin"
5509,27855,"twin"
5510,27856,"twin"
5511,27879,"twin"
5512,27881,"twin"
5513,27886,"FOUNDLING"
5514,27895,"twin"
5515,27896,"twin"
5516,27936,"illegitimate"
5517,27991,"twin"
5518,27992,"twin"
5519,28027,"FOUNDLING"
5520,28140,"twin"
5521,28141,"twin"
5522,28172,"twin"
5523,28181,"twin"
5524,28209,"triplet quadruplet"
5525,28226,"triplet quadruplet"
5526,28228,"triplet quadruplet"
5527,28234,"chrisom triplet quadruplet"
5528,28278,"twin"
5529,28279,"twin"
5530,28295,"illegitimate"
5531,28308,"illegitimate"
5532,28372,"illegitimate"
5533,28385,"foundling twins"
5534,28408,"foundling twins"
5535,28472,"twin"
5536,28512,"twin"
5537,28513,"twin"
5538,28528,"twin"
5539,28532,"twin"
5540,28555,"twin"
5541,28576,"twin"
5542,28577,"twin"
5543,28719,"FOUNDLING"
5544,28722,"FOUNDLING"
5545,28739,"FOUNDLING"
5546,28746,"FOUNDLING"
5547,28759,"twin"
5548,28760,"twin"
5549,28790,"twin"
5550,28791,"twin"
5551,28843,"twin"
5552,28844,"twin"
5553,28876,"twin"
5554,28885,"twin"
5555,28891,"twin"
5556,28892,"twin"
5557,28896,"FOUNDLING"
5558,28918,"illegitimate"
5559,28943,"FOUNDLING"
5560,29064,"FOUNDLING"
5561,29094,"FOUNDLING"
5562,29174,"FOUNDLING"
5563,29259,"FOUNDLING"
5564,29284,"FOUNDLING"
5565,29294,"FOUNDLING"
5566,29352,"twin"
5567,29355,"FOUNDLING"
5568,29360,"twin"
5569,29472,"FOUNDLING"
5570,29482,"twin"
5571,29483,"twin"
5572,29613,"twin"
5573,29614,"twin"
5574,29632,"illegitimate"
5575,29653,"illegitimate"
5576,29701,"triplet"
5577,29755,"triplet"
5578,29774,"triplet"
5579,29874,"FOUNDLING"
5580,29896,"FOUNDLING"
5581,29918,"illegitimate"
5582,29938,"twin"
5583,29939,"twin"
5584,29940,"FOUNDLING"
5585,30018,"illegitimate"
5586,30061,"twin"
5587,30062,"twin"
5588,30075,"FOUNDLING"
5589,30114,"illegitimate"
5590,30129,"FOUNDLING"
5591,30194,"twin"
5592,30195,"twin"
5593,30198,"twin"
5594,30199,"twin"
5595,30240,"twin"
5596,30241,"twin"
5597,30291,"twin"
5598,30322,"illegitimate"
5599,30333,"illegitimate"
5600,30428,"illegitimate"
5601,30440,"illegitimate"
5602,30502,"deceased"
5603,30517,"illegitimate"
5604,30534,"deceased"
5605,30542,"FOUNDLING"
5606,30553,"twin"
5607,30554,"twin"
5608,30621,"twin"
5609,30626,"illegitimate"
5610,30627,"illegitimate"
5611,30646,"twin"
5612,30730,"deceased"
5613,30735,"deceased"
5614,30738,"twin"
5615,30765,"twin"
5616,30821,"illegitimate"
5617,30844,"illegitimate"
5618,30879,"illegitimate"
5619,30888,"twin"
5620,30942,"twin"
5621,30980,"married"
5622,31137,"twin"
5623,31138,"twin"
5624,31154,"twin"
5625,31155,"twin"
5626,31160,"twin"
5627,31170,"twin"
5628,31183,"twin"
5629,31184,"twin"
5630,31265,"twin"
5631,31266,"twin"
5632,31322,"illegitimate"
5633,31384,"illegitimate"
5634,31389,"FOUNDLING"
5635,31415,"FOUNDLING"
5636,31442,"twin"
5637,31451,"twin"
5638,31465,"illegitimate"
5639,31491,"illegitimate"
5640,31498,"illegitimate"
5641,31545,"twin"
5642,31575,"twin"
5643,31576,"twin"
5644,31589,"illegitimate"
5645,31590,"twin"
5646,31591,"twin"
5647,31599,"illegitimate"
5648,31667,"illegitimate"
5649,31717,"FOUNDLING"
5650,31727,"FOUNDLING"
5651,31787,"FOUNDLING"
5652,31796,"twin"
5653,31800,"FOUNDLING"
5654,32057,"illegitimate"
5655,32060,"twin"
5656,32071,"twin"
5657,32116,"twin"
5658,32118,"twin"
5659,32247,"deceased"
5660,32306,"illegitimate"
5661,32358,"twin"
5662,32359,"twin"
5663,32360,"FOUNDLING"
5664,32375,"FOUNDLING"
5665,32393,"FOUNDLING"
5666,32424,"twin"
5667,32425,"twin"
5668,32506,"FOUNDLING"
5669,32582,"illegitimate"
5670,32706,"illegitimate"
5671,32713,"twin"
5672,32715,"twin"
5673,32716,"twin"
5674,32725,"illegitimate"
5675,32726,"deceased"
5676,32750,"posthumous"
5677,32820,"twin"
5678,32831,"twin"
5679,32906,"twin"
5680,32907,"twin"
5681,32908,"twin"
5682,32909,"twin"
5683,32964,"twin"
5684,33074,"posthumous"
5685,33091,"FOUNDLING"
5686,33103,"FOUNDLING"
5687,33231,"illegitimate"
5688,33245,"twin"
5689,33246,"twin"
5690,33259,"twin"
5691,33300,"illegitimate"
5692,33324,"illegitimate"
5693,33329,"twin"
5694,33334,"twin"
5695,33335,"twin"
5696,33353,"twin"
5697,33354,"twin"
5698,33396,"illegitimate"
5699,33447,"FOUNDLING"
5700,33468,"posthumous"
5701,33472,"FOUNDLING"
5702,33477,"twin"
5703,33488,"twin"
5704,33497,"illegitimate"
5705,33674,"twin"
