u_id,count_1524,rank_1524,count_rank_1524,avg_val_1524,tot_val_1524,count_1543,rank_1543,count_rank_1543,avg_val_1543,tot_val_1543,count_1581,rank_1581,count_rank_1581,avg_val_1581,tot_val_1581,count_1674,rank_1674,count_rank_1674,avg_val_1674,tot_val_1674,count_1840,rank_1840,count_rank_1840,avg_val_1840,tot_val_1840,rank_1524_1543,rank_1543_1581,rank_1581_1674,rank_1674_1840,rank_1524_1674,rank_1524_1840,rank_1543_1674,rank_1543_1840,recipient_surname,found_recipient_surname
3487.0,22.0,424.5,234.0,3.090909090909091,68.0,44.0,169.0,101.5,3.590909090909091,158.0,33.0,37.0,31.5,3.9696969696969697,131.0,126.0,13.0,11.0,2.0,252.0,2674.0,17.0,14.0,453.3236724008975,1212187.5,-255.5,-132.0,-24.0,4.0,-411.5,-407.5,-156.0,-152.0,0,0
709.0,7.0,1139.5,762.5,2.857142857142857,20.0,7.0,259.5,789.0,16.285714285714285,114.0,4.0,822.0,564.5,2.75,11.0,7.0,933.5,660.5,1.4285714285714286,10.0,6.0,2710.0,2262.0,16.166666666666668,97.0,-880.0,562.5,111.5,1776.5,-206.0,1570.5,674.0,2450.5,0,0
277.0,3.0,1416.5,1514.5,4.666666666666667,14.0,12.0,928.0,467.0,2.5,30.0,1.0,1927.0,1850.5,3.0,3.0,2.0,2413.5,1634.5,1.0,2.0,382.0,215.0,340.0,723.9633507853404,276554.0,-488.5,999.0,486.5,-2198.5,997.0,-1201.5,1485.5,-713.0,0,0
2532.0,7.0,1269.5,762.5,2.4285714285714284,17.0,17.0,574.0,332.0,3.117647058823529,53.0,3.0,984.0,753.5,3.0,9.0,12.0,296.5,388.0,2.833333333333333,34.0,385.0,370.0,338.0,446.9844155844156,172089.0,-695.5,410.0,-687.5,73.5,-973.0,-899.5,-277.5,-204.0,0,0
4489.0,2.0,1945.5,1982.5,4.0,8.0,6.0,554.5,905.0,9.166666666666666,55.0,6.0,391.5,368.5,4.166666666666667,25.0,3.0,767.0,1239.5,4.333333333333333,13.0,,,,,,-1391.0,-163.0,375.5,,-1178.5,,212.5,,0,0
1222.0,3.0,2206.0,1514.5,2.0,6.0,2.0,3377.5,2000.5,1.0,2.0,2.0,1466.5,1086.0,2.5,5.0,7.0,510.5,660.5,3.0,21.0,104.0,985.0,920.5,413.88461538461536,43044.0,1171.5,-1911.0,-956.0,474.5,-1695.5,-1221.0,-2867.0,-2392.5,0,0
2251.0,5.0,292.5,1041.0,19.6,98.0,3.0,254.5,1514.5,38.333333333333336,115.0,,,,,,,,,,,,,,,,-38.0,,,,,,,,0,0
2691.0,11.0,700.5,489.5,3.5454545454545454,39.0,13.0,376.5,432.5,6.153846153846154,80.0,5.0,303.0,449.0,6.6,33.0,8.0,721.5,581.0,1.75,14.0,11.0,2103.0,2000.0,139.72727272727272,1537.0,-324.0,-73.5,418.5,1381.5,21.0,1402.5,345.0,1726.5,0,0
4558.0,5.0,1321.5,1041.0,3.2,16.0,10.0,1107.5,561.0,2.4,24.0,1.0,1656.0,1850.5,4.0,4.0,3.0,1497.0,1239.5,1.6666666666666667,5.0,3.0,2752.0,2597.5,27.666666666666668,83.0,-214.0,548.5,-159.0,1255.0,175.5,1430.5,389.5,1644.5,0,0
3394.0,20.0,311.5,266.5,4.65,93.0,20.0,89.5,279.0,12.3,246.0,8.0,133.0,254.0,7.5,60.0,10.0,255.5,466.5,3.9,39.0,188.0,553.0,629.0,559.5053191489362,105187.0,-222.0,43.5,122.5,297.5,-56.0,241.5,166.0,463.5,0,0
