surname_id,surname,metaphone,soundex,mp_se,u_id
,Wetron,ATRN,W03605,ATRN W03605,13038.0
,Whistler,ASTLR,W023406,ASTLR W023406,13039.0
,Whitaker,ATKR,W030206,ATKR W030206,13040.0
,Wolrige,ALRJ,W046020,ALRJ W046020,13041.0
,Wrentomore,RNTMR,W605305060,RNTMR W605305060,13042.0
,Yellard,ALRT,Y04063,ALRT Y04063,13043.0
,Pilkinton,PLKNTN,P04205305,PLKNTN P04205305,13044.0
,Ballanger,PLNKR,B0405206,PLNKR B0405206,13045.0
,Thuillier,0L,T0406,0L T0406,13046.0
,Kroger,KRKR,K60206,KRKR K60206,13047.0
,Wescomb,ASKMP,W02051,ASKMP W02051,13048.0
,Broderick,PRTRK,B6030602,PRTRK B6030602,13049.0
,Eads,ATS,E032,ATS E032,13050.0
,Gresley,KRSL,G60240,KRSL G60240,13051.0
,Lowthian,L0N,L0305,L0N L0305,13052.0
,Menham,MNM,M0505,MNM M0505,13053.0
,Molyneux,MLNKS,M040502,MLNKS M040502,13054.0
,Pillhrow,PLR,P04060,PLR P04060,13055.0
,Pincas,PNKS,P05202,PNKS P05202,13056.0
,Plank,PLNK,P4052,PLNK P4052,13057.0
,Provo,PRF,P6010,PRF P6010,13058.0
,Smark,SMRK,S5062,SMRK S5062,13059.0
,Tessier,TS,T0206,TS T0206,13060.0
,Saterday,STRT,S030630,STRT S030630,13061.0
,Oakford,AKFRT,O021063,AKFRT O021063,13062.0
,Kitchens,KXNS,K032052,KXNS K032052,13063.0
,Charmon,XRMN,C06505,XRMN C06505,13064.0
,Ffey,F,F100,F F100,13065.0
,of,AF,O100,AF O100,13066.0
,Shenston,XNSTN,S052305,XNSTN S052305,13067.0
,Exekiel,AKSKL,E20204,AKSKL E20204,13068.0
,Trelower,TRLR,T60406,TRLR T60406,13069.0
,Sullyvan,SLFN,S040105,SLFN S040105,13070.0
,Adamson,ATMSN,A305205,ATMSN A305205,13071.0
,Kibeith,KP0,K01030,KP0 K01030,13072.0
,Spriddle,SPRTL,S160340,SPRTL S160340,13073.0
,Gillmor,KLMR,G04506,KLMR G04506,13074.0
,Sangins,SNJNS,S052052,SNJNS S052052,13075.0
,Ullacott,ALKT,U40203,ALKT U40203,13076.0
,Kitter,KTR,K0306,KTR K0306,13077.0
,Ffrost,FRST,F16023,FRST F16023,13078.0
,Eades,ATS,E0302,ATS E0302,13079.0
,Allens,ALNS,A4052,ALNS A4052,13080.0
,Wrankmore,RNKMR,W60525060,RNKMR W60525060,13081.0
,Linthorn,LN0RN,L053065,LN0RN L053065,13082.0
,Aggate,AKT,A2030,AKT A2030,13083.0
,Hennesey,HNS,H05020,HNS H05020,13084.0
,Ffarrant,FRNT,F106053,FRNT F106053,13085.0
,Riches,RXS,R0202,RXS R0202,13086.0
,Aeldred,ALTRT,A043603,ALTRT A043603,13087.0
,Affray,AFR,A160,AFR A160,13088.0
,Allsford,ALSFRT,A421063,ALSFRT A421063,13089.0
,Ancutt,ANKT,A5203,ANKT A5203,13090.0
,Anther,AN0R,A5306,AN0R A5306,13091.0
,Antrim,ANTRM,A53605,ANTRM A53605,13092.0
,Atherton,A0RTN,A306305,A0RTN A306305,13093.0
,Ault,ALT,A043,ALT A043,13094.0
,Aylton,ALTN,A04305,ALTN A04305,13095.0
,Babbett,PPT,B0103,PPT B0103,13096.0
,Backhouse,PKS,B02020,PKS B02020,13097.0
,Balfour,PLFR,B04106,PLFR B04106,13098.0
,Bashford,PXFRT,B0201063,PXFRT B0201063,13099.0
,Berks,PRKS,B062,PRKS B062,13100.0
,Bettridge,PTRJ,B0360320,PTRJ B0360320,13101.0
,Bevington,PFNKTN,B01052305,PFNKTN B01052305,13102.0
,Bittern,PTRN,B03065,PTRN B03065,13103.0
,Bohun,PHN,B050,PHN B050,13104.0
,Bolberry,PLPR,B041060,PLPR B041060,13105.0
,Bougins,PJNS,B02052,PJNS B02052,13106.0
,Bourchier,PRX,B06206,PRX B06206,13107.0
,Bracewell,PRSL,B60204,PRSL B60204,13108.0
,Brisniis,PRSNS,B602502,PRSNS B602502,13109.0
,Brixham,PRKSM,B60205,PRKSM B60205,13110.0
,Broadhayes,PRTS,B60302,PRTS B60302,13111.0
,Bromwich,PRMX,B605020,PRMX B605020,13112.0
,Brookham,PRKM,B60205,PRKM B60205,13113.0
,Buchan,PXN,B0205,PXN B0205,13114.0
,Budgett,PJT,B03203,PJT B03203,13115.0
,Bulleigh,PL,B04020,PL B04020,13116.0
,Buncombe,PNKMP,B0520510,PNKMP B0520510,13117.0
,Burleigh,PRL,B064020,PRL B064020,13118.0
,Carnegie,KRNJ,C065020,KRNJ C065020,13119.0
,Carrighan,KRN,C060205,KRN C060205,13120.0
,Cecil,SSL,C0204,SSL C0204,13121.0
,Chaddesley,XTSL,C030240,XTSL C030240,13122.0
,Chance,XNS,C0520,XNS C0520,13123.0
,Chapter,XPTR,C01306,XPTR C01306,13124.0
,Charlton,XRLTN,C064305,XRLTN C064305,13125.0
,Chatham,XTM,C0305,XTM C0305,13126.0
,Cheam,XM,C050,XM C050,13127.0
,Chelsea,XLS,C0420,XLS C0420,13128.0
,Childrey,XLTR,C04360,XLTR C04360,13129.0
,Childs,XLTS,C0432,XLTS C0432,13130.0
,Chiswick,XSK,C0202,XSK C0202,13131.0
,Clan,KLN,C405,KLN C405,13132.0
,Clawson,KLSN,C40205,KLSN C40205,13133.0
,Claxton,KLKSTN,C402305,KLKSTN C402305,13134.0
,Clemow,KLM,C4050,KLM C4050,13135.0
,Clermont,KLRMNT,C4065053,KLRMNT C4065053,13136.0
,Clevland,KLFLNT,C4014053,KLFLNT C4014053,13137.0
,Cobbaton,KPTN,C010305,KPTN C010305,13138.0
,Cockwood,KKT,C0203,KKT C0203,13139.0
,Cofton,KFTN,C01305,KFTN C01305,13140.0
,Colbye,KLP,C0410,KLP C0410,13141.0
,CookHurle,KKRL,C020640,KKRL C020640,13142.0
,Cornborough,KRNPRF,C065106020,KRNPRF C065106020,13143.0
,Cousiss,KSS,C0202,KSS C0202,13144.0
,Craven,KRFN,C60105,KRFN C60105,13145.0
,Creery,KRR,C6060,KRR C6060,13146.0
,Crockford,KRKFRT,C6021063,KRKFRT C6021063,13147.0
,Crookshank,KRKXNK,C602052,KRKXNK C602052,13148.0
,Crosby,KRSP,C60210,KRSP C60210,13149.0
,Croucher,KRXR,C60206,KRXR C60206,13150.0
,Crownley,KRNL,C60540,KRNL C60540,13151.0
,Culkin,KLKN,C04205,KLKN C04205,13152.0
,Dartford,TRTFRT,D0631063,TRTFRT D0631063,13153.0
,Davenham,TFNM,D010505,TFNM D010505,13154.0
,Delamore,TLMR,D0405060,TLMR D0405060,13155.0
,Derriford,TRFRT,D0601063,TRFRT D0601063,13156.0
,Dockings,TKNKS,D02052,TKNKS D02052,13157.0
,Domvil,TMFL,D05104,TMFL D05104,13158.0
,Donore,TNR,D05060,TNR D05060,13159.0
,Dumbleton,TMPLTN,D05140305,TMPLTN D05140305,13160.0
,Durling,TRLNK,D064052,TRLNK D064052,13161.0
,Eason,ASN,E0205,ASN E0205,13162.0
,Eastdowne,ASTN,E023050,ASTN E023050,13163.0
,Eastney,ASTN,E02350,ASTN E02350,13164.0
,Eastwell,ASTL,E02304,ASTL E02304,13165.0
,Ebberly,APRL,E10640,APRL E10640,13166.0
,Ebford,APFRT,E1063,APFRT E1063,13167.0
,Ebourne,APRN,E10650,APRN E10650,13168.0
,Edge,AJ,E320,AJ E320,13169.0
,Eedhill,ATL,E0304,ATL E0304,13170.0
,Eldridge,ALTRJ,E4360320,ALTRJ E4360320,13171.0
,Ellison,ALSN,E40205,ALSN E40205,13172.0
,Elm,ALM,E450,ALM E450,13173.0
,Enford,ANFRT,E51063,ANFRT E51063,13174.0
,Barkentin,PRKNTN,B06205305,PRKNTN B06205305,13175.0
,W,,W000, W000,13176.0
,WP,P,W100,P W100,13177.0
,WF,F,W100,F W100,13178.0
,CULN,KLN,C045,KLN C045,13179.0
,Gawthorpe,K0RP,G030610,K0RP G030610,13180.0
,Gilkes,KLKS,G04202,KLKS G04202,13181.0
,Hems,HMS,H052,HMS H052,13182.0
,Jenman,JNMN,J0505,JNMN J0505,13183.0
,EJ,AJ,E200,AJ E200,13184.0
,WK,K,W200,K W200,13185.0
,WT,T,W300,T W300,13186.0
,I,A,I000,A I000,13187.0
,WJ,J,W200,J W200,13188.0
,HR,R,H600,R H600,13189.0
,Ensign,ANSN,E52025,ANSN E52025,13190.0
,Ensor,ANSR,E5206,ANSR E5206,13191.0
,Esperance,ASPRNS,E21060520,ASPRNS E21060520,13192.0
,Essex,ASKS,E202,ASKS E202,13193.0
,Eurydice,ARTS,E0603020,ARTS E0603020,13194.0
,Exell,AKSL,E204,AKSL E204,13195.0
,Eyland,ALNT,E04053,ALNT E04053,13196.0
,Eynsford,ANSFRT,E0521063,ANSFRT E0521063,13197.0
,Fallapit,FLPT,F040103,FLPT F040103,13198.0
,Farquhar,FRKHR,F06206,FRKHR F06206,13199.0
,FarrCox,FRKKS,F06202,FRKKS F06202,13200.0
,Fausset,FST,F0203,FST F0203,13201.0
,Ferens,FRNS,F06052,FRNS F06052,13202.0
,Fernley,FRNL,F06540,FRNL F06540,13203.0
,Ferryman,FRMN,F060505,FRMN F060505,13204.0
,Fitch,FX,F0320,FX F0320,13205.0
,Flagg,FLK,F402,FLK F402,13206.0
,Flight,FLT,F40203,FLT F40203,13207.0
,Folk,FLK,F042,FLK F042,13208.0
,Fonthill,FN0L,F05304,FN0L F05304,13209.0
,Fulton,FLTN,F04305,FLTN F04305,13210.0
,Garlick,KRLK,G06402,KRLK G06402,13211.0
,Garston,KRSTN,G062305,KRSTN G062305,13212.0
,Gascoigne,KSKN,G020250,KSKN G020250,13213.0
,Glorious,KLRS,G40602,KLRS G40602,13214.0
,Godeck,KTK,G0302,KTK G0302,13215.0
,Godfred,KTFRT,G031603,KTFRT G031603,13216.0
,Goliath,KL0,G04030,KL0 G04030,13217.0
,Gonville,KNFL,G051040,KNFL G051040,13218.0
,Gosney,KSN,G0250,KSN G0250,13219.0
,Grantham,KRNTM,G605305,KRNTM G605305,13220.0
,Greenwich,KRNX,G605020,KRNX G605020,13221.0
,Grespin,KRSPN,G602105,KRSPN G602105,13222.0
,Grimmett,KRMT,G60503,KRMT G60503,13223.0
