name,surname,surname_id,recipient_match,control_match,recipient_surname,control_surname,surname_metaphone,surname_soundex,surname_mp_se,mp_se_id,u_id,found_control_group,recipient_control_group,found_treatment_group,recipient_treatment_group,metaphone,unique_id,group_id,combined_id,metaphone_id,master_id,unique_treatment,unique_control,group_treatment,group_control,combined_treatment,combined_control,metaphone_treatment,metaphone_control,master_treatment,master_control,unique_control2_group,group_control2_group,combined_control2_group,metaphone_control2_group,master_control2_group
"Lyon, H.M.S., 246",Lyon,,0.0,0.0,0.0,0.0,LN,L050,LN L050,2816.0,2816.0,1,0,0,0,LN,24462,9539,6152,1824,6152,0,0,0,0,0,0,0,0,0,0,,,1.0,0.0,4.0
"Lyons, Lyouns, Helen, 104; Patrick, 92",Lyons,2817.0,0.0,0.0,0.0,0.0,LNS,L052,LNS L052,2817.0,2817.0,0,0,0,0,LNS,12837,8885,6152,611,6152,0,0,0,0,0,0,0,0,0,0,,1.0,1.0,,4.0
"MacAllum, Hamilton, 21",Macallum,13273.0,0.0,0.0,0.0,0.0,MKLM,M020405,MKLM M020405,13273.0,13273.0,0,0,0,0,MKLM,54214,36920,32223,2379,6919,0,0,0,0,0,0,0,0,0,0,,,,,
"Macan, Henry, 244",Macan,,0.0,0.0,0.0,0.0,MKN,M0205,MKN M0205,8674.0,8674.0,0,0,0,0,MKN,54215,36921,32224,49,6776,0,0,0,0,0,0,0,0,0,0,,,,,
"MacArthur, Maxwell, 291",Macarthur,8086.0,0.0,0.0,0.0,0.0,MKR0R,M0206306,MKR0R M0206306,8086.0,8086.0,0,0,0,0,MKR0R,54216,36922,32225,10359,6546,0,0,0,0,0,0,0,0,0,0,,,,,
"MacDonald, Allan, 112, 118; Flora, 112, 118; John, 112, 118",Macdonald,,0.0,0.0,0.0,0.0,MKTNLT,M02305043,MKTNLT M02305043,7023.0,7023.0,0,0,0,0,MKTNLT,50469,32912,28216,9770,11854,0,0,0,0,0,0,0,0,0,0,,,,,
"Mackay, P., 242",Mackay,,0.0,0.0,0.0,0.0,MK,M020,MK M020,3065.0,3065.0,0,1,0,0,MK,54217,36923,32226,6333,6869,0,0,0,0,0,0,0,0,0,0,,,,,
"Mackenzie, Maud, 141",Mackenzie,6923.0,0.0,0.0,0.0,0.0,MKNS,M020520,MKNS M020520,6923.0,6923.0,0,0,0,0,MKNS,50138,32843,28147,419,6776,0,0,0,0,0,0,0,0,0,0,,,,,
"Mackey, Hugh, 133; Joseph, 296(2); Sophia, 296(2); William, 296(2)",Mackey,,0.0,0.0,0.0,0.0,MK,M020,MK M020,3065.0,3065.0,0,1,0,0,MK,54218,36924,32227,6333,6869,0,0,0,0,0,0,0,0,0,0,,,,,
"MacKinnon, Isabella, 5",Mackinnon,8087.0,0.0,0.0,0.0,0.0,MKNN,M020505,MKNN M020505,8087.0,8087.0,0,0,0,0,MKNN,54219,36925,32228,10360,6776,0,0,0,0,0,0,0,0,0,0,,,,,
"MacKintosh, John, 181",Mackintosh,,0.0,0.0,0.0,0.0,MKNTX,M02053020,MKNTX M02053020,7743.0,7743.0,0,0,0,0,MKNTX,53525,36230,31534,10149,6776,0,0,0,0,0,0,0,0,0,0,,,,,
"Mackrell, Sarah, Sophia, Thomas, 212",Mackrell,11195.0,0.0,0.0,0.0,0.0,MKRL,M02604,MKRL M02604,11195.0,11195.0,0,0,0,0,MKRL,2194,9571,6544,3624,6544,0,0,0,0,0,0,0,0,0,0,,,,,
"Maclean, A., Alice, 215; Angus, 76; Archibald, 215; John, 215(2); Marion, 215",Maclean,,0.0,0.0,0.0,0.0,MKLN,M02405,MKLN M02405,6307.0,6307.0,0,0,0,0,MKLN,50318,33023,28327,5380,6878,0,0,0,0,0,0,0,0,0,0,,,,,
"Macleod, Catherine, 335; Donald, 215; Elizabeth, 335; Helen, 215; Norman, 335",Macleod,12040.0,0.0,0.0,0.0,0.0,MKLT,M02403,MKLT M02403,12040.0,12040.0,0,0,0,0,MKLT,54220,36926,32229,2136,6813,0,0,0,0,0,0,0,0,0,0,,,,,
"MacMichael, William, 185",Macmichael,8088.0,0.0,0.0,0.0,0.0,MKMKL,M0250204,MKMKL M0250204,8088.0,8088.0,0,0,0,0,MKMKL,54221,36927,32230,10361,12008,0,0,0,0,0,0,0,0,0,0,,,,,
"Macnamara, Louise, 46",Macnamara,8089.0,0.0,0.0,0.0,0.0,MKNMR,M02505060,MKNMR M02505060,8089.0,8089.0,0,0,0,0,MKNMR,54222,36928,32231,10362,12009,0,0,0,0,0,0,0,0,0,0,,,,,
"MacPherson, Florence, Martin, 337",Macpherson,13274.0,0.0,0.0,0.0,0.0,MKFRSN,M02106205,MKFRSN M02106205,13274.0,13274.0,0,0,0,0,MKFRSN,54223,36929,32232,10158,12010,0,0,0,0,0,0,0,0,0,0,,,,,
"Madden, Lewis, 174",Madden,,0.0,0.0,0.0,0.0,MTN,M0305,MTN M0305,3071.0,3071.0,0,0,0,0,MTN,31101,9578,6784,5429,6784,0,0,0,0,0,0,0,0,0,0,,,,,
"Maddock, Maddocks, Dennis, 47(2); Elsie, 200; Ralph, 46",Maddock,2826.0,0.0,0.0,0.0,0.0,MTK,M0302,MTK M0302,2826.0,2826.0,0,0,0,0,MTK,16369,9584,6560,879,6560,0,0,0,0,0,0,0,0,0,0,,,,,
"Madehurst, Sussex, vicar of, 299",Madehurst,8090.0,0.0,0.0,0.0,0.0,MTHRST,M030623,MTHRST M030623,8090.0,8090.0,0,0,0,0,MTHRST,54224,36930,32233,10363,6814,0,0,0,0,0,0,0,0,0,0,,,,,
"Madge, Mary, Robert, 58; Tom, 200",Madge,,0.0,0.0,0.0,0.0,MJ,M0320,MJ M0320,5072.0,5072.0,0,0,0,0,MJ,24458,9589,6565,3801,6565,0,0,0,0,0,0,0,0,0,0,,,,,
"Madron, Cornwall, 22(2)",Madron,13275.0,0.0,0.0,0.0,0.0,MTRN,M03605,MTRN M03605,13275.0,13275.0,0,0,0,0,MTRN,6410,9595,6569,203,6569,0,0,0,0,0,0,0,0,0,0,,,,,
"Mahew, Amy, 50; Frances, 203, 250; Jeronimy, 203, 250",Mahew,,0.0,0.0,0.0,0.0,MH,M000,MH M000,13013.0,13013.0,0,0,0,0,MH,54225,36931,32234,6230,6632,0,0,0,0,0,0,0,0,0,0,,,,,
"Mahoney, Bernard, 236",Mahoney,,0.0,0.0,0.0,0.0,MHN,M050,MHN M050,10301.0,10301.0,0,0,0,0,MHN,54226,36932,32235,5569,6839,0,0,0,0,0,0,0,0,0,0,,,,,
"Maitland, Augustus, Elizabeth, 301",Maitland,,0.0,0.0,0.0,0.0,MTLNT,M034053,MTLNT M034053,2923.0,2923.0,0,0,0,0,MTLNT,26663,9617,6585,6826,6585,0,0,0,0,0,0,0,0,0,0,,,,,
"Majendie, Henry, 312",Majendie,8091.0,0.0,0.0,0.0,0.0,MJNT,M020530,MJNT M020530,8091.0,8091.0,0,0,0,0,MJNT,54227,36933,32236,9230,6776,0,0,0,0,0,0,0,0,0,0,,,,,
"Major, William, 226",Major,,0.0,0.0,0.0,0.0,MJR,M0206,MJR M0206,2927.0,2927.0,0,0,0,0,MJR,24385,9618,6574,3003,6574,0,0,0,0,0,0,0,0,0,0,,,,,
"Malabar, H.M.S., 224",Malabar,13276.0,0.0,0.0,0.0,0.0,MLPR,M040106,MLPR M040106,13276.0,13276.0,0,0,0,0,MLPR,26493,9639,6597,5845,6597,0,0,0,0,0,0,0,0,0,0,,,,,
"Malet, Mallet, Mallett, Anne, 302; L., 332; Lucas, 66; Mary, 155; William, 155(2), 302",Malet,2904.0,0.0,0.0,0.0,0.0,MLT,M0403,MLT M0403,2904.0,2904.0,0,0,0,0,MLT,19895,9643,7039,5139,7039,0,0,0,0,0,0,0,0,0,0,,,,,17.0
"Mallinson, Elsie, Olive, 180",Mallinson,8092.0,0.0,0.0,0.0,0.0,MLNSN,M0405205,MLNSN M0405205,8092.0,8092.0,0,0,0,0,MLNSN,15631,9649,6979,122,6979,0,0,0,0,0,0,0,0,0,0,,,,,
"Mallock, Charles, 72(2); Elizabeth, Emma, George, H., Iris, John, Mary, 72; Richard, 72(3)",Mallock,,0.0,0.0,0.0,0.0,MLK,M0402,MLK M0402,8414.0,8414.0,0,0,0,0,MLK,8919,9643,7039,5664,7039,0,0,0,0,0,0,0,0,0,0,,,,,17.0
"Mallowan, Agatha, 64",Mallowan,,0.0,0.0,0.0,0.0,MLN,M0405,MLN M0405,2932.0,2932.0,0,0,0,0,MLN,54228,36934,32237,4406,7044,0,0,0,0,0,0,0,0,0,0,,,,,
"Malstone, 318",Malstone,8093.0,0.0,0.0,0.0,0.0,MLSTN,M0423050,MLSTN M0423050,8093.0,8093.0,0,0,0,0,MLSTN,54229,36935,32238,7619,7045,0,0,0,0,0,0,0,0,0,0,,,,,
"Malvern, Great, cemetery, 180",Malvern,8094.0,0.0,0.0,0.0,0.0,MLFRN,M041065,MLFRN M041065,8094.0,8094.0,0,0,0,0,MLFRN,28961,9662,6613,4528,6613,0,0,0,0,0,0,0,0,0,0,,,,,
"Manadon, 247, 248(4)",Manadon,,0.0,0.0,0.0,0.0,MNTN,M050305,MNTN M050305,2849.0,2849.0,0,0,0,0,MNTN,43415,26001,21308,1053,6840,0,0,0,0,0,0,0,0,0,0,,,,,
"Manchester, St. Peter, rector of, 209",Manchester,8095.0,0.0,0.0,0.0,0.0,MNXSTR,M05202306,MNXSTR M05202306,8095.0,8095.0,0,0,0,0,MNXSTR,31224,9666,6618,6192,6618,0,0,0,0,0,0,0,0,0,0,,,,,
"Manley, Henry, 149; Orlando, 101(2)",Manley,2854.0,0.0,0.0,0.0,0.0,MNL,M0540,MNL M0540,2854.0,2854.0,0,0,0,0,MNL,22255,9687,7085,7015,7085,0,0,0,0,0,0,0,0,0,0,,,,,
"Manlove, Leonard, Maude, Simeon, 225",Manlove,13277.0,0.0,0.0,0.0,0.0,MNLF,M054010,MNLF M054010,13277.0,13277.0,0,0,0,0,MNLF,26367,9688,6632,5532,6632,0,0,0,0,0,0,0,0,0,0,,,,,
"Mann, family, 282; Elizabeth, William, 38, 187",Mann,,0.0,0.0,0.0,0.0,MN,M050,MN M050,3060.0,3060.0,0,0,1,1,MN,28288,9689,6615,4493,6615,0,0,0,0,0,0,1,0,0,0,,2.0,,11.0,
"Mannaford, 291",Mannaford,13278.0,0.0,0.0,0.0,0.0,MNFRT,M0501063,MNFRT M0501063,13278.0,13278.0,0,0,0,0,MNFRT,54230,36936,32239,1323,6639,0,0,0,0,0,0,0,0,0,0,,,,,
"Mannamead, 234",Mannamead,13279.0,0.0,0.0,0.0,0.0,MNMT,M050503,MNMT M050503,13279.0,13279.0,0,0,0,0,MNMT,54231,36937,32240,10364,7085,0,0,0,0,0,0,0,0,0,0,,,,,
"Manning, Elizabeth, 41; Emily, 179; Harriett, 254; Thomas, 41",Manning,2855.0,0.0,0.0,0.0,0.0,MNNK,M05052,MNNK M05052,2855.0,2855.0,0,0,0,0,MNNK,13715,9693,6627,6021,6627,0,0,0,0,0,0,0,0,0,0,,,,,
"Mansfield, Charles, 109; Rose, 15",Mansfield,6864.0,0.0,0.0,0.0,0.0,MNSFLT,M0521043,MNSFLT M0521043,6864.0,6864.0,0,0,0,0,MNSFLT,27951,9702,6644,440,6644,0,0,0,0,0,0,0,0,0,0,,,,,
"March, Harry, 314",March,3068.0,0.0,0.0,0.0,0.0,MRX,M0620,MRX M0620,3068.0,3068.0,0,0,0,0,MRX,32271,9726,6658,3300,6658,0,0,0,0,0,0,0,0,0,0,,,,,
"Marchington, John, 73",Marchington,8096.0,0.0,0.0,0.0,0.0,MRXNKTN,M062052305,MRXNKTN M062052305,8096.0,8096.0,0,0,0,0,MRXNKTN,4835,9729,6660,2920,6660,0,0,0,0,0,0,0,0,0,0,,,,,
"Margaret, Princess, 82",Margaret,6269.0,0.0,0.0,0.0,0.0,MRKRT,M0620603,MRKRT M0620603,6269.0,6269.0,0,0,0,0,MRKRT,10355,9749,6671,4274,6671,0,0,0,0,0,0,0,0,0,0,,,,,
"Marindin, Philip, 107",Marindin,13280.0,0.0,0.0,0.0,0.0,MRNTN,M0605305,MRNTN M0605305,13280.0,13280.0,0,0,0,0,MRNTN,54232,36938,32241,10104,7011,0,0,0,0,0,0,0,0,0,0,,,,,
"Mariott, Basil, Frances, Randolf, 172",Mariott,,0.0,0.0,0.0,0.0,MRT,M0603,MRT M0603,2948.0,2948.0,0,0,0,0,MRT,54233,36939,32242,3394,6847,0,0,0,0,0,0,0,0,0,0,,,,,
"Maristowe, 26, 325; Chapel, 198",Maristowe,8097.0,0.0,0.0,0.0,0.0,MRST,M060230,MRST M060230,8097.0,8097.0,0,0,0,0,MRST,54234,36940,32243,10365,6847,0,0,0,0,0,0,0,0,0,0,,,,,
"Marker, Elizabeth, 222; Frances, 146; Henry, 222(2); John, 146(2), 222(2); Mary, 146; Thomas, 146(2)",Marker,2942.0,0.0,0.0,0.0,0.0,MRKR,M06206,MRKR M06206,2942.0,2942.0,0,0,0,0,MRKR,17915,9757,6677,6814,6677,0,0,0,0,0,0,0,0,0,0,,,,,
"Markis, Ellen, 202",Markis,,0.0,0.0,0.0,0.0,MRKS,M06202,MRKS M06202,4814.0,4814.0,0,0,0,0,MRKS,54235,36941,32244,3979,7089,0,0,0,0,0,0,0,0,0,0,,,,,
"Marks, Harold, 189",Marks,11304.0,0.0,0.0,0.0,0.0,MRKS,M062,MRKS M062,11304.0,11304.0,0,0,0,0,MRKS,11477,9766,6681,3979,6681,0,0,0,0,0,0,0,0,0,0,,,,,
"Marlands, 178",Marlands,8098.0,0.0,0.0,0.0,0.0,MRLNTS,M0640532,MRLNTS M0640532,8098.0,8098.0,0,0,0,0,MRLNTS,54236,36942,32245,10366,6687,0,0,0,0,0,0,0,0,0,0,,,,,
"Marlborough, bishop of, 82",Marlborough,8099.0,0.0,0.0,0.0,0.0,MRLPRF,M064106020,MRLPRF M064106020,8099.0,8099.0,0,0,0,0,MRLPRF,7345,9772,6689,4329,6689,0,0,0,0,0,0,0,0,0,0,,,,,
