name,surname,surname_id,recipient_match,control_match,recipient_surname,control_surname,surname_metaphone,surname_soundex,surname_mp_se,mp_se_id,u_id,found_control_group,recipient_control_group,found_treatment_group,recipient_treatment_group,metaphone,unique_id,group_id,combined_id,metaphone_id,master_id,unique_treatment,unique_control,group_treatment,group_control,combined_treatment,combined_control,metaphone_treatment,metaphone_control,master_treatment,master_control,unique_control2_group,group_control2_group,combined_control2_group,metaphone_control2_group,master_control2_group
"Abbot, Arthur, Harriet, 70",Abbot,2.0,1.0,0.0,0.0,0.0,APT,A103,APT A103,2.0,2.0,0,0,0,0,APT,2622,9,5969,2573,5969,0,0,0,0,0,0,0,0,0,0,,,,,
"Abbotsbury, 348",Abbotsbury,7824.0,0.0,0.0,0.0,0.0,APTSPR,A10321060,APTSPR A10321060,7824.0,7824.0,0,0,0,0,APTSPR,53753,36459,31762,10193,11832,0,0,0,0,0,0,0,0,0,0,,,,,
"Abbott, Ann, 211; Anne, 157, 159; Sir Charles, 44; George, 211; William, 157",Abbott,,1.0,0.0,0.0,0.0,APT,A103,APT A103,2.0,2.0,0,0,0,0,APT,12020,9,5969,2573,5969,0,0,0,0,0,0,0,0,0,0,,,,,
"Abingdon, Berks., 55",Abingdon,,0.0,0.0,0.0,0.0,APNKTN,A1052305,APNKTN A1052305,5.0,5.0,0,0,0,0,APNKTN,53754,36460,31763,6227,10,0,0,0,0,0,0,0,0,0,0,,,,,
"Aboukir, H.M.S., 87, 277",Aboukir,7825.0,0.0,0.0,0.0,0.0,APKR,A10206,APKR A10206,7825.0,7825.0,0,0,0,0,APKR,53755,36461,31764,10194,4627,0,0,0,0,0,0,0,0,0,0,,,,,
"Abyssinia, barque, 8",Abyssinia,7826.0,0.0,0.0,0.0,0.0,APSN,A102050,APSN A102050,7826.0,7826.0,0,0,0,0,APSN,53756,36462,31765,3490,4,0,0,0,0,0,0,0,0,0,0,,,,,15.0
"Achym, Cecily, 312",Achym,,0.0,0.0,0.0,0.0,AXM,A205,AXM A205,6032.0,6032.0,0,0,0,0,AXM,53757,36463,31766,974,3314,0,0,0,0,0,0,0,0,0,0,,,,,2.0
"Ackland, Acland, Arthur, 167; Clara, 270; Henry, 47; Thomas, Sir Thomas, 167; William, 270",Ackland,,0.0,0.0,0.0,0.0,AKLNT,A24053,AKLNT A24053,12.0,12.0,0,0,0,0,AKLNT,9168,43,4632,4400,4632,0,0,0,0,0,0,0,0,0,0,,,,,
"Acland-Troyte, Sir Gilbert, H., John, Marjorie, 167",Aclandtroyte,7827.0,0.0,0.0,0.0,0.0,AKLNTRT,A240536030,AKLNTRT A240536030,7827.0,7827.0,0,0,0,0,AKLNTRT,53758,36464,31767,10195,11947,0,0,0,0,0,0,0,0,0,0,,,,,
"Acraman, Laura, 274",Acraman,,0.0,0.0,0.0,0.0,AKRMN,A260505,AKRMN A260505,10549.0,10549.0,0,0,0,0,AKRMN,23282,40,28,6032,28,0,0,0,0,0,0,0,0,0,0,,,,,
"Adams, Addems, Beverley, 63; Edward, Harriette, 160; Henry, 340; Isabel, 145; Jane, 314; John, 314, 320, 340(2); Mary, 306; Nicholas, 60; Robert, 145; Rose, 46; S., 50; Sidney, 340; William, 160, 331",Adams,15.0,0.0,0.0,1.0,0.0,ATMS,A3052,ATMS A3052,15.0,15.0,0,0,0,1,ATMS,25419,57,42,6133,42,1,0,1,0,1,0,1,0,1,0,14.0,4.0,5.0,29.0,8.0
"Addington, Charles, 324; Edward, Georgiana, 322; Gerald, 324; Gertrude, 322; Henry, 322(2); Hilary, Leonard, Lietitia, Mary, 322; William, 322(3), 324",Addington,16.0,0.0,0.0,0.0,0.0,ATNKTN,A3052305,ATNKTN A3052305,16.0,16.0,0,0,0,0,ATNKTN,5363,66,37,624,37,0,0,0,0,0,0,0,0,0,0,,,,,
"Aeldred, 101",Aeldred,13087.0,0.0,0.0,0.0,0.0,ALTRT,A043603,ALTRT A043603,13087.0,13087.0,0,0,0,0,ALTRT,53759,36465,31768,6763,112,0,0,0,0,0,0,0,0,1,0,,,,,1.0
"Æthelheard, King, 82",Aethelheard,7828.0,0.0,0.0,0.0,0.0,0LRT,Æ304063,0LRT Æ304063,7828.0,7828.0,0,0,0,0,A0LRT,53760,36466,31769,10196,11280,0,0,0,0,0,0,0,0,1,0,,,,,23.0
"Affray, H.M. Submarine, 88",Affray,13088.0,0.0,0.0,0.0,0.0,AFR,A160,AFR A160,13088.0,13088.0,0,0,0,0,AFR,53761,36467,31770,2865,350,0,0,0,0,0,0,0,0,0,0,,,,,
"Afton, 266",Afton,7829.0,0.0,0.0,0.0,0.0,AFTN,A1305,AFTN A1305,7829.0,7829.0,0,0,0,0,AFTN,8471,92,50,2173,50,0,0,0,0,0,0,0,0,0,0,,,,,
"Agget, W. & Son, 162",Agget,,0.0,0.0,0.0,0.0,AKT,A203,AKT A203,29.0,29.0,0,0,0,0,AKT,19739,103,55,5061,55,0,0,0,0,0,0,0,0,0,0,,,,,
"Agra, Judge of the High Court of, 195",Agra,,0.0,0.0,0.0,0.0,AKR,A260,AKR A260,12609.0,12609.0,0,0,0,0,AKR,53762,36468,31771,4259,75,0,0,0,0,0,0,0,0,0,0,,,,,
"Albanian, S.S., 8",Albanian,7830.0,0.0,0.0,0.0,0.0,ALPNN,A410505,ALPNN A410505,7830.0,7830.0,0,0,0,0,ALPNN,53763,36469,31772,10197,2817,0,0,0,0,0,0,0,0,0,0,,,,,
"Aldenham, Herts., 41",Aldenham,7831.0,0.0,0.0,0.0,0.0,ALTNM,A430505,ALTNM A430505,7831.0,7831.0,0,0,0,0,ALTNM,53764,36470,31773,10198,11356,0,0,0,0,0,0,0,0,0,0,,,,,
"Aldershot, Hants., 9",Aldershot,7832.0,0.0,0.0,0.0,0.0,ALTRXT,A4306203,ALTRXT A4306203,7832.0,7832.0,0,0,0,0,ALTRXT,53765,36471,31774,10199,11280,0,0,0,0,0,0,0,0,1,0,,,,,23.0
"Aldridge, Joseph, 251(2); Mary, 251; Raymond, 88",Aldridge,12026.0,0.0,0.0,0.0,0.0,ALTRJ,A4360320,ALTRJ A4360320,12026.0,12026.0,0,0,0,0,ALTRJ,21880,168,11280,3632,11280,0,0,0,0,0,0,0,0,1,0,,,,,23.0
"Alexander, Edith, 288; Emma, 277; Eva, Harvey, 288; Hilda, 269; R., 277; Ralph, 269",Alexander,54.0,0.0,0.0,0.0,0.0,ALKSNTR,A40205306,ALKSNTR A40205306,54.0,54.0,0,0,0,0,ALKSNTR,30288,174,98,5202,98,0,0,0,0,0,0,0,0,0,0,,,,,
"Alfington, 2, 348",Alfington,,0.0,0.0,0.0,0.0,ALFNKTN,A41052305,ALFNKTN A41052305,10877.0,10877.0,0,0,0,0,ALFNKTN,53766,36472,31775,7709,3314,0,0,0,0,0,0,0,0,0,0,,,,,2.0
"Alford, Lincs., 275",Alford,55.0,0.0,0.0,0.0,0.0,ALFRT,A41063,ALFRT A41063,55.0,55.0,0,0,0,0,ALFRT,33305,180,122,271,122,0,0,0,0,0,0,0,0,0,0,,,,,
"Alford, Ann, Arthur, 340; Daniel, 293; Francis, 340; Mary, 226; Richard, 340; William, 101",Alford,55.0,0.0,0.0,0.0,0.0,ALFRT,A41063,ALFRT A41063,55.0,55.0,0,0,0,0,ALFRT,33305,180,122,271,122,0,0,0,0,0,0,0,0,0,0,,,,,
"Alfordisworthy, 40",Alfordisworthy,7833.0,0.0,0.0,0.0,0.0,ALFRTSR0,A41063020630,ALFRTSR0 A41063020630,7833.0,7833.0,0,0,0,0,ALFRTSR0,53767,36473,31776,10200,11948,0,0,0,0,0,0,0,0,0,0,,,,,
"Algar, Edward, 297; Reuben, 62",Algar,,0.0,0.0,0.0,0.0,ALKR,A4206,ALKR A4206,57.0,57.0,0,0,0,0,ALKR,17353,184,51,5031,51,0,0,0,0,0,0,0,0,0,0,,,,,
"Allard, Clarissa, John, 179",Allard,,0.0,0.0,0.0,0.0,ALRT,A4063,ALRT A4063,77.0,77.0,0,0,0,0,ALRT,17625,194,112,981,112,0,0,0,0,0,0,0,0,1,0,,,,,1.0
"Allcock, A., Mary, 27",Allcock,,0.0,0.0,0.0,0.0,ALKK,A4202,ALKK A4202,48.0,48.0,0,0,0,0,ALKK,53768,36474,31777,4686,3314,0,0,0,0,0,0,0,0,0,0,,,,,2.0
"Allen, Alleyne, Allin, Etheldreda, 322; George, 286, 340(2); Georgiana, 170, 176(2); Harold, 189; James, 322; John, 176, 274, 286; Katherine, 340; Les, 37; Marianne, 286; Mim, 37; William, 170, 322",Allen,80.0,0.0,0.0,0.0,0.0,ALN,A405,ALN A405,80.0,80.0,0,0,0,0,ALN,2084,209,120,6756,120,0,0,0,0,0,0,0,0,0,0,,,17.0,,0.0
"Allington, East, 2-5; rector of, 2",Allington,66.0,0.0,0.0,0.0,0.0,ALNKTN,A4052305,ALNKTN A4052305,66.0,66.0,0,0,0,0,ALNKTN,3853,220,128,6726,128,0,0,0,0,0,0,0,0,0,0,,,,,
"Allsford, R., 80",Allsford,13089.0,0.0,0.0,0.0,0.0,ALSFRT,A421063,ALSFRT A421063,13089.0,13089.0,0,0,0,0,ALSFRT,53769,36475,31778,4293,145,0,0,0,0,0,0,0,0,0,0,,,,,
"Allwork, A., 49",Allwork,7834.0,0.0,0.0,0.0,0.0,ALRK,A4062,ALRK A4062,7834.0,7834.0,0,0,0,0,ALRK,32229,237,137,6491,137,0,0,0,0,0,0,0,0,0,0,,,,,
"Alusaker, Astrid, Glen, Kirsty, Neal, Norma, 106",Alusaker,7835.0,0.0,0.0,0.0,0.0,ALSKR,A4020206,ALSKR A4020206,7835.0,7835.0,0,0,0,0,ALSKR,53770,36476,31779,10201,105,0,0,0,0,0,0,0,0,0,0,,,,,
"Alvington, West, 5-6, 7",Alvington,10877.0,0.0,0.0,0.0,0.0,ALFNKTN,A41052305,ALFNKTN A41052305,10877.0,10877.0,0,0,0,0,ALFNKTN,53771,36477,31780,7709,3314,0,0,0,0,0,0,0,0,0,0,,,,,2.0
"Amethyst, H.M.S., 246",Amethyst,7836.0,0.0,0.0,0.0,0.0,AM0ST,A503023,AM0ST A503023,7836.0,7836.0,0,0,0,0,AM0ST,53772,36478,31781,10202,156,0,0,0,0,0,0,0,0,0,0,,,,,
"Amy, H., 205",Amy,,0.0,0.0,0.0,0.0,AM,A500,AM A500,82.0,82.0,0,0,0,0,AM,21441,269,6019,575,6019,0,0,0,0,0,0,0,0,0,0,,,,,
"Ancutt, Wilfred, 284",Ancutt,13090.0,0.0,0.0,0.0,0.0,ANKT,A5203,ANKT A5203,13090.0,13090.0,0,0,0,0,ANKT,53773,36479,31782,7512,4718,0,0,0,0,0,0,0,0,0,0,,,,,
"Anderson, Clara, 268; Eliza, 199; Elizabeth, 286; Emily, 199; J., 130; Sir John, 199; Larz, 268; Melvill, 269; Richard, Robert, 268",Anderson,7116.0,0.0,0.0,0.0,0.0,ANTRSN,A5306205,ANTRSN A5306205,7116.0,7116.0,0,0,0,0,ANTRSN,19006,289,172,6797,172,0,0,0,0,0,0,0,0,0,0,,,,,
"Anderton, Cornwall, 239",Anderton,,0.0,0.0,0.0,0.0,ANTRTN,A5306305,ANTRTN A5306305,90.0,90.0,0,0,0,0,ANTRTN,17542,291,168,2646,168,0,0,0,0,0,0,0,0,0,0,,,,,
"Andrew, family, 11; Caroline, 78(2), 170; Emily, 155; Frank, 165; George, 62; James, 312; S., 155; William, 170(2)",Andrew,94.0,0.0,0.0,0.0,0.0,ANTR,A5360,ANTR A5360,94.0,94.0,0,0,0,0,ANTR,49928,16707,12053,4763,169,0,0,0,0,0,0,0,0,0,0,,,,1.0,
"Andrews, Colin, 331; Gertrude, 46; Irene, 15; Margaret, 60; William, 84",Andrews,,0.0,0.0,0.0,0.0,ANTRS,A53602,ANTRS A53602,5978.0,5978.0,0,0,0,0,ANTRS,15799,296,171,5720,171,0,0,0,0,0,0,0,0,0,0,,,,,
"Anne, Millington, 157, 159; William, 157",Anne,8445.0,0.0,0.0,0.0,0.0,AN,A500,AN A500,8445.0,8445.0,0,0,0,0,AN,8046,319,190,3512,190,0,0,0,0,0,0,0,0,0,0,,,,15.0,
"Anning, Ann, 178; George, T., 76; William, 178(3)",Anning,10966.0,0.0,0.0,0.0,0.0,ANNK,A5052,ANNK A5052,10966.0,10966.0,0,0,0,0,ANNK,8802,324,193,3014,193,0,0,0,0,0,0,0,0,0,0,,,,,
"Anstey, East, 6, 8; West, 8; rector of, 8",Anstey,105.0,0.0,0.0,0.0,0.0,ANST,A5230,ANST A5230,105.0,105.0,0,0,0,0,ANST,10521,335,5263,3395,5263,0,0,0,0,0,0,0,0,0,0,,,,,
"Anstie, William, 87",Anstie,,0.0,0.0,0.0,0.0,ANST,A5230,ANST A5230,105.0,105.0,0,0,0,0,ANST,3988,335,5263,3395,5263,0,0,0,0,0,0,0,0,0,0,,,,,
"Anstis, George, 173",Anstis,106.0,0.0,0.0,0.0,0.0,ANSTS,A52302,ANSTS A52302,106.0,106.0,0,0,0,0,ANSTS,11855,336,200,7535,200,0,0,0,0,0,0,0,0,0,0,,,,,
"Antelope, H.M.S., 247",Antelope,7837.0,0.0,0.0,0.0,0.0,ANTLP,A5304010,ANTLP A5304010,7837.0,7837.0,0,0,0,0,ANTLP,53774,36480,31783,10203,150,0,0,0,0,0,0,0,0,0,0,,,,,
"Anther House, 62",Anther,13091.0,0.0,0.0,0.0,0.0,AN0R,A5306,AN0R A5306,13091.0,13091.0,0,0,0,0,AN0R,53775,36481,31784,10204,3474,0,0,0,0,0,0,0,0,0,0,,,,,
"Antrim, H.M.S., 246",Antrim,13092.0,0.0,0.0,0.0,0.0,ANTRM,A53605,ANTRM A53605,13092.0,13092.0,0,0,0,0,ANTRM,53776,36482,31785,10205,11949,0,0,0,0,0,0,0,0,0,0,,,,,
"Appledore, 8-9; vicar of, 8",Appledore,,0.0,0.0,0.0,0.0,APTR,A1403060,APTR A1403060,11416.0,11416.0,0,0,0,0,APTR,53777,36483,31786,6958,643,0,0,0,0,0,0,0,0,0,0,,,,,2.0
"Appropriated brasses and slabs, 13, 14, 66, 68, 286",Appropriated,7838.0,0.0,0.0,0.0,0.0,APPRTT,A160160303,APPRTT A160160303,7838.0,7838.0,0,0,0,0,APPRTT,53778,36484,31787,10206,11950,0,0,0,0,0,0,0,0,0,0,,,,,
"Ararat, S.S., 8",Ararat,7839.0,0.0,0.0,0.0,0.0,ARRT,A60603,ARRT A60603,7839.0,7839.0,0,0,0,0,ARRT,53779,36485,31788,10207,8318,0,0,0,0,0,0,0,0,0,0,,,,,
"Archer, Amy, 245; Fanny, 282; Fulbert, 245; Mary, 318; R., 161",Archer,118.0,0.0,0.0,0.0,0.0,ARXR,A6206,ARXR A6206,118.0,118.0,0,0,0,0,ARXR,19902,372,4816,1534,4816,0,0,0,0,0,0,0,0,0,0,,,,,
"Ardent, H.M.S., 247",Ardent,7840.0,0.0,0.0,0.0,0.0,ARTNT,A63053,ARTNT A63053,7840.0,7840.0,0,0,0,0,ARTNT,53780,36486,31789,10208,232,0,0,0,0,0,0,0,0,0,0,,,,,
"Ardrossan, Ayrshire, 10",Ardrossan,7841.0,0.0,0.0,0.0,0.0,ARTRSN,A6360205,ARTRSN A6360205,7841.0,7841.0,0,0,0,0,ARTRSN,53781,36487,31790,10209,88,0,0,0,0,0,0,0,0,0,0,,,,,
"Arethusa, H.M.S., 212",Arethusa,7842.0,0.0,0.0,0.0,0.0,AR0S,A603020,AR0S A603020,7842.0,7842.0,0,0,0,0,AR0S,53782,36488,31791,10210,11280,0,0,0,0,0,0,0,0,1,0,,,,,23.0
"Argonaut, H.M.S., 247",Argonaut,7843.0,0.0,0.0,0.0,0.0,ARKNT,A620503,ARKNT A620503,7843.0,7843.0,0,0,0,0,ARKNT,53783,36489,31792,10211,7404,0,0,0,0,0,0,0,0,0,0,,,,,
"Ark Royal, H.M.S., 88",Ark,,0.0,0.0,0.0,0.0,ARK,A620,ARK A620,11529.0,11529.0,0,0,0,0,ARK,53784,36490,31793,335,368,0,0,0,0,0,0,0,0,0,0,,,,,
"Arkwright, M., 322",Arkwright,7844.0,0.0,0.0,0.0,0.0,ARKRT,A62060203,ARKRT A62060203,7844.0,7844.0,0,0,0,0,ARKRT,19565,388,4829,1256,4829,0,0,0,0,0,0,0,0,0,0,,,,,
"Armstrong, Bewes, Gen., 45",Armstrong,7845.0,0.0,0.0,0.0,0.0,ARMSTRNK,A65236052,ARMSTRNK A65236052,7845.0,7845.0,0,0,0,0,ARMSTRNK,22848,404,248,5458,248,0,0,0,0,0,0,0,0,0,0,,,,,
"Arnold, F., 225; Leonore, 30; Reuben, 6",Arnold,127.0,0.0,0.0,0.0,0.0,ARNLT,A65043,ARNLT A65043,127.0,127.0,0,0,0,0,ARNLT,49939,18993,14321,8319,261,0,0,0,0,0,0,0,0,0,0,,,,,
"Arscott, 39; Frederick, 73; John, 39; Thomas, 326",Arscott,,0.0,0.0,0.0,0.0,ARSKT,A6203,ARSKT A6203,129.0,129.0,0,0,0,0,ARSKT,25707,413,5055,6851,5055,0,0,0,0,0,0,0,0,0,0,,,,,
"Arthur, Doreen, 11; Florence, 13(3); J., James, 13; Jessie, 106; John, 226; Mary, 13, 226; Thomas, 13; William, 13(3), 106",Arthur,131.0,0.0,0.0,0.0,0.0,AR0R,A6306,AR0R A6306,131.0,131.0,0,0,0,0,AR0R,49969,22299,17612,8311,11280,0,0,0,0,0,0,0,0,1,0,,,,29.0,23.0
"Arundell, Elizabeth, 30, 32; Sarah, 60; Sir Thomas, 30; William, 60",Arundell,132.0,0.0,0.0,0.0,0.0,ARNTL,A605304,ARNTL A605304,132.0,132.0,0,0,0,0,ARNTL,29684,420,261,4880,261,0,0,0,0,0,0,0,0,0,0,,,,3.0,
"Ash, Celia, 195; William, 262",Ash,145.0,0.0,0.0,0.0,0.0,AX,A200,AX A200,145.0,145.0,0,0,0,0,AX,23053,423,3502,5791,3502,0,0,0,0,0,0,0,0,0,0,,,,,
"Ashill, 348",Ashill,,0.0,0.0,0.0,0.0,AXL,A204,AXL A204,137.0,137.0,0,0,0,0,AXL,53785,36491,31794,2540,264,0,0,0,0,0,0,0,0,0,0,,,,,
"Ashbrittle, 66",Ashbrittle,7846.0,0.0,0.0,0.0,0.0,AXPRTL,A20160340,AXPRTL A20160340,7846.0,7846.0,0,0,0,0,AXPRTL,53786,36492,31795,10212,5506,0,0,0,0,0,0,0,0,0,0,,,,,
"Ashcombe Hall, Cheshire, 146",Ashcombe,7847.0,0.0,0.0,0.0,0.0,AXKMP,A2020510,AXKMP A2020510,7847.0,7847.0,0,0,0,0,AXKMP,26075,431,263,2896,263,0,0,0,0,0,0,0,0,0,0,,,,,
"Ashdown Park, Berks., 203",Ashdown,,0.0,0.0,0.0,0.0,AXTN,A20305,AXTN A20305,144.0,144.0,0,0,0,0,AXTN,26197,433,270,4871,270,0,0,0,0,0,0,0,0,0,0,,,,,
"Ashridge, 294",Ashridge,142.0,0.0,0.0,0.0,0.0,AXRJ,A2060320,AXRJ A2060320,142.0,142.0,0,0,0,0,AXRJ,53787,36493,31796,8847,368,0,0,0,0,0,0,0,0,0,0,,,,,
"Ashurst Lodge, Kent, 33",Ashurst,7848.0,0.0,0.0,0.0,0.0,AXRST,A20623,AXRST A20623,7848.0,7848.0,0,0,0,0,AXRST,5684,452,281,6601,281,0,0,0,0,0,0,0,0,0,0,,,,,
"Ashworth, Doreen, 38; E., 237; Thomas, 299",Ashworth,12156.0,0.0,0.0,0.0,0.0,AXR0,A20630,AXR0 A20630,12156.0,12156.0,0,0,0,0,AXR0,33281,455,283,6323,283,0,0,0,0,0,0,0,0,0,0,,,,,
"Aspinall, Clara, 82; John, 164",Aspinall,7849.0,0.0,0.0,0.0,0.0,ASPNL,A210504,ASPNL A210504,7849.0,7849.0,0,0,0,0,ASPNL,32930,471,291,6187,291,0,0,0,0,0,0,0,0,0,0,,,,,
"Aston, North, Oxon., 215",Aston,151.0,0.0,0.0,0.0,0.0,ASTN,A2305,ASTN A2305,151.0,151.0,0,0,0,0,ASTN,11759,484,270,7525,270,0,0,0,0,0,0,0,0,0,0,,,,0.0,
"Atherley, Arthur, 130, 133, 135",Atherley,7182.0,0.0,0.0,0.0,0.0,A0RL,A30640,A0RL A30640,7182.0,7182.0,0,0,0,0,A0RL,20944,7252,4947,1742,4947,0,0,0,0,0,0,0,0,0,0,,,,,
"Atherton, Edward, 256",Atherton,13093.0,0.0,0.0,0.0,0.0,A0RTN,A306305,A0RTN A306305,13093.0,13093.0,0,0,0,0,A0RTN,21123,5390,317,612,317,0,0,0,0,0,0,0,0,0,0,,,,,
"Atkins, Henry, 303; Richard, 256",Atkins,153.0,0.0,0.0,0.0,0.0,ATKNS,A32052,ATKNS A32052,153.0,153.0,0,0,0,0,ATKNS,17297,501,70,4535,70,0,0,0,0,0,0,0,0,0,0,,,,,
"Ault, H., M., 276",Ault,13094.0,0.0,0.0,0.0,0.0,ALT,A043,ALT A043,13094.0,13094.0,0,0,0,0,ALT,53788,36494,31797,243,7382,0,0,0,0,0,0,0,0,0,0,,,,,
"Auton, Charles, Joe, 340",Auton,,0.0,0.0,0.0,0.0,ATN,A0305,ATN A0305,172.0,172.0,0,0,0,0,ATN,49660,28410,23716,5334,369,0,0,0,0,0,0,1,0,0,1,,,,10.0,21.0
"Avery, Elizabeth, James, Mary, 164; Thomas, 164(2)",Avery,168.0,0.0,0.0,0.0,0.0,AFR,A1060,AFR A1060,168.0,168.0,0,0,0,0,AFR,13683,554,350,2865,350,0,0,0,0,0,0,0,0,0,0,,,,,
"Avonwick, 15; priest-in-charge of, 15",Avonwick,7850.0,0.0,0.0,0.0,0.0,AFNK,A10502,AFNK A10502,7850.0,7850.0,0,0,0,0,AFNK,53789,36495,31798,2422,3528,0,0,0,0,0,0,0,0,0,0,,,,,
"Aylesbury, Bucks., 275",Aylesbury,7851.0,0.0,0.0,0.0,0.0,ALSPR,A04021060,ALSPR A04021060,7851.0,7851.0,0,0,0,0,ALSPR,30248,581,97,3364,97,0,0,0,0,0,0,0,0,0,0,,,,,
"Aylesbury, Henry, 84",Aylesbury,7851.0,0.0,0.0,0.0,0.0,ALSPR,A04021060,ALSPR A04021060,7851.0,7851.0,0,0,0,0,ALSPR,30248,581,97,3364,97,0,0,0,0,0,0,0,0,0,0,,,,,
"Aylton, Herefs., 275",Aylton,13095.0,0.0,0.0,1.0,0.0,ALTN,A04305,ALTN A04305,13095.0,13095.0,0,0,0,0,ALTN,53790,36496,31799,2366,3314,0,0,0,0,0,0,0,0,0,0,,,,,2.0
"Ayre, H., 203",Ayre,177.0,0.0,0.0,0.0,0.0,AR,A060,AR A060,177.0,177.0,0,0,0,0,AR,11052,590,6155,6662,6155,0,0,0,0,0,0,0,0,0,0,,,,5.0,
"Ayshford, 54",Ayshford,8522.0,0.0,0.0,0.0,0.0,AXFRT,A0201063,AXFRT A0201063,8522.0,8522.0,0,0,0,0,AXFRT,30945,441,368,6402,368,0,0,0,0,0,0,0,0,0,0,,,,,
"Babbacombe, 306",Babbacombe,,0.0,0.0,0.0,0.0,PPKMP,B01020510,PPKMP B01020510,181.0,181.0,0,0,0,0,PPKMP,44830,27490,22796,8437,906,0,0,0,0,0,0,0,0,0,0,,,,,
"Babbage, Percy, 197",Babbage,,0.0,0.0,0.0,0.0,PPJ,B01020,PPJ B01020,459.0,459.0,0,0,0,0,PPJ,20332,596,371,2818,371,0,0,0,0,0,0,0,0,0,0,,,,,
"Babbett, Robert, 313, 315",Babbett,13096.0,0.0,0.0,0.0,0.0,PPT,B0103,PPT B0103,13096.0,13096.0,0,0,0,0,PPT,53791,36497,31800,5066,385,0,0,0,0,0,0,0,0,0,0,,,,,25.0
"Baber, Elizabeth, Mary, 70",Baber,,0.0,0.0,0.0,0.0,PPR,B0106,PPR B0106,460.0,460.0,0,0,0,0,PPR,4888,600,372,8023,372,0,0,0,0,0,0,0,0,0,0,,,,,
"Babington, Howard, J., Mary, 215; Somerset, 16; Walter, 215",Babington,184.0,0.0,0.0,0.0,0.0,PPNKTN,B01052305,PPNKTN B01052305,184.0,184.0,0,0,0,0,PPNKTN,30108,1149,599,3540,599,0,0,0,0,0,0,0,0,0,0,,,,,
"Back, E., 130",Back,,0.0,0.0,0.0,0.0,PK,B020,PK B020,688.0,688.0,0,0,0,0,PK,3903,604,578,7598,578,0,0,0,0,0,0,0,0,0,0,,,,4.0,
"Backhouse, Horace, Lionel, 111",Backhouse,13097.0,0.0,0.0,0.0,0.0,PKS,B02020,PKS B02020,13097.0,13097.0,0,0,0,0,PKS,3266,605,377,646,377,0,0,0,0,0,0,0,0,0,0,,,,,
"Backs, J., 158",Backs,,0.0,0.0,0.0,0.0,PKS,B020,PKS B020,565.0,565.0,0,0,0,0,PKS,16072,898,578,646,578,0,0,0,0,0,0,0,0,0,0,,,,,
"Bacon, Percy & Bros., 43",Bacon,193.0,0.0,0.0,0.0,0.0,PKN,B0205,PKN B0205,193.0,193.0,0,0,0,0,PKN,4530,610,381,2609,381,0,0,0,0,0,0,0,0,0,0,,,,,
"Badcock, Elizabeth, 132; Ethel, 332; Samuel, 132",Badcock,194.0,0.0,0.0,0.0,0.0,PTKK,B03202,PTKK B03202,194.0,194.0,0,0,0,0,PTKK,826,613,385,2984,385,0,0,0,0,0,0,0,0,0,0,,,,,25.0
"Baddow, Little, Essex, 203",Baddow,,0.0,0.0,0.0,0.0,PT,B030,PT B030,734.0,734.0,0,0,0,0,PT,53792,36498,31801,7424,396,0,0,0,0,0,0,0,0,0,0,,,,,
"Bag Park, 336",Bag,,0.0,0.0,0.0,0.0,PK,B020,PK B020,688.0,688.0,0,0,0,0,PK,53793,36499,31802,7598,692,0,0,0,0,0,0,0,0,0,0,,,,4.0,12.0
"Bailey, Winifred, 9",Bailey,698.0,0.0,0.0,0.0,0.0,PL,B040,PL B040,698.0,698.0,0,0,0,0,PL,8893,640,610,6852,610,0,0,0,0,0,0,0,0,0,0,,,,,
"Baker, Alice, 202; Anthony, 181; Arthur, Caroline, 35; Cecil, 181; Charlotte, 211; Elizabeth, 225(2); Emma, 33; Fleur, 294; Frances, 33; Frederick, 203, 211(2); George, 294; Henry, 26, 35; Holway, 26; James, 35; Jane, 33; John, 33, 268; Kington, 181; Mary, 181, 301; Nathaniel, 181(2); R., 247; Robert, 26; Samuel, 240; Thomas, 33; Sir Thomas, 35; William, 33, 202",Baker,473.0,0.0,0.0,1.0,0.0,PKR,B0206,PKR B0206,473.0,473.0,0,1,0,0,PKR,22841,652,416,4825,416,0,0,0,0,0,0,0,0,0,0,5.0,4.0,5.0,7.0,8.0
"Baker-Beall, Kathleen, 21",Bakerbeall,7852.0,0.0,0.0,0.0,0.0,PKRPL,B0206104,PKRPL B0206104,7852.0,7852.0,0,0,0,0,PKRPL,53794,36500,31803,10213,553,0,0,0,0,0,0,0,0,0,0,,,,,
"Baldwin, Prewdence, 101",Baldwin,,0.0,0.0,0.0,0.0,PLTN,B04305,PLTN B04305,9369.0,9369.0,0,0,0,0,PLTN,47946,18520,13855,4573,781,0,0,0,0,0,0,0,0,0,0,,,,,0.0
"Bale, Eliza, 84;Emma, 340; J., 1; James, 340; John, 84; W., 20",Bale,698.0,0.0,0.0,0.0,0.0,PL,B040,PL B040,698.0,698.0,0,0,0,0,PL,19057,669,610,6852,610,0,0,0,0,0,0,0,0,0,0,,,,,
"Balfour, George, 275-6; Georgiana, 275",Balfour,13098.0,0.0,0.0,0.0,0.0,PLFR,B04106,PLFR B04106,13098.0,13098.0,0,0,0,0,PLFR,53795,36501,31804,6114,553,0,0,0,0,0,0,0,0,0,0,,,,,
